Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance,Downlink,Uplink,Uplink Tone,County,Call,Use,On-air,Coverage,Sponsor,Features,Coordination,Last update,,Links,Nets,Op Status,Downlink Tone,Notes,Feed,Web links,Affiliate,AllStar,EchoLink,IRLP,Commands,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,WIRES-X,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA
0,AA0L 147.135,147.135,+,0.6,Tone,100,88.5,23,23,NN,FM,5,,1.2,147.1350,147.7350,100.0,El Paso,AA0L,OPEN,,,AA0L,"6,065'.",CCARC,2016-04-08,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AA0L 448.300,448.3,-,5,Tone,100,88.5,23,23,NN,FM,5,,0,448.3000,443.3000,100.0,El Paso,AA0L,OPEN,,,AA0L,,CCARC,2016-08-10,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AA0SP 147.180,147.18,+,0.6,Tone,100,88.5,23,23,NN,FM,5,,10.2,147.1800,147.7800,100.0,El Paso,AA0SP,PRIVATE,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,E-power (solar).,CCARC,2017-03-09,,,,On-Air,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB0BX 447.225,447.225,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,,12.7,447.2250,"442.2250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",141.3,Douglas,AB0BX,OPEN,,8-15 miles,,"AllStar, EchoLink, 25ft",CCARC,2016-11-26,,,Amateur Satellite net 7PM MST thursday,Off-Air,141.3,,,,,"41967 
   
     n/a",373051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CARN 449.150,449.15,-,5,,88.5,88.5,23,23,NN,DIG,5,,10,449.1500,444.1500,,Arapahoe,WR0AEN,OPEN,,,Colorado Amateur Repeater Network (CARN),,CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
5,CARN 449.650,449.65,-,5,,88.5,88.5,23,23,NN,DIG,5,,0.3,449.6500,"444.6500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Denver,WR0AEN,OPEN,,,Colorado Amateur Repeater Network (CARN),,CCARC,"2012-11-16   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
6,CARN 449.675,449.675,-,5,,88.5,88.5,23,23,NN,DIG,5,,0.3,449.6750,"444.6750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Denver,WR0AEN,OPEN,,,Colorado Amateur Repeater Network (CARN),,CCARC,"2012-11-16   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,"7708 
          n/a",,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
7,CC 145.130,145.13,-,0.6,TSQL,88.5,123,23,23,NN,FM,5,,6.5,145.1300,144.5300,88.5,El Paso,KB0VJJ,OPEN,,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,"9,350', e-power.",CCARC,2016-04-03,,Full-time to the  Colorado Connection System .,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",On-Air,123.0,Linked into the Colorado Connection System,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CDS 1283.963,1283.9625,-,20,,88.5,88.5,23,23,NN,DIG,5,,12.9,1283.9625,"1263.9625  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Jefferson,W0CDS,OPEN,,,Colorado D-Star,,CCARC,"2014-01-03   
     Please help us confirm this repeater!",,,,On-Air,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
9,CDS 1299.900,1299.9,,"0 MHz  b 
          The offset has been calculated based on the band plan. If the offset is incorrect, please update the downlink record.",,88.5,88.5,23,23,NN,DIG,5,,12.9,1299.9000,"1299.9000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Jefferson,W0CDS,OPEN,,,Colorado D-Star,,,"2014-01-03   
     Please help us confirm this repeater!",,,,On-Air,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
