Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance,Downlink,Uplink,Uplink Tone,County,Call,Use,On-air,Coverage,Sponsor,Features,Coordination,Last update,,Links,Nets,Op Status,Downlink Tone,Notes,Feed,Web links,Affiliate,AllStar,EchoLink,IRLP,Commands,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,WIRES-X,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA
0,AA0L 147.135,147.135,+,0.6,Tone,100,88.5,23,23,NN,FM,5,,1.2,147.1350,147.7350,100.0,El Paso,AA0L,OPEN,,,AA0L,"6,065'.",CCARC,2016-04-08,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AA0L 448.300,448.3,-,5,Tone,100,88.5,23,23,NN,FM,5,,0,448.3000,443.3000,100.0,El Paso,AA0L,OPEN,,,AA0L,,CCARC,2016-08-10,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AA0SP 147.180,147.18,+,0.6,Tone,100,88.5,23,23,NN,FM,5,,10.2,147.1800,147.7800,100.0,El Paso,AA0SP,PRIVATE,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,E-power (solar).,CCARC,2017-03-09,,,,On-Air,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB0BX 447.225,447.225,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,,12.7,447.2250,"442.2250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",141.3,Douglas,AB0BX,OPEN,,8-15 miles,,"AllStar, EchoLink, 25ft",CCARC,2016-11-26,,,Amateur Satellite net 7PM MST thursday,Off-Air,141.3,,,,,"41967 
   
     n/a",373051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AC0KC 224.960,224.96,-,1.6,,88.5,88.5,23,23,NN,FM,5,,25.7,224.9600,223.3600,CSQ,Weld,AC0KC,OPEN,,,AC0KC,,CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AC0KC 447.300,447.3,-,5,Tone,107.2,88.5,23,23,NN,FM,5,,22.6,447.3000,"442.3000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Weld,AC0KC,OPEN,,,,,CCARC,"2013-01-07   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,405804 AC0KC-R,"3887 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ARA 147.120,147.12,+,0.6,TSQL,88.5,88.5,23,23,NN,FM,5,,24.8,147.1200,147.7200,88.5,Jefferson,N0ARA,OPEN,,Denver metro and east.,Aurora Repeater Association,E-power.,CCARC,2016-01-17,,,,On-Air,88.5,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ARA 447.500,447.5,-,5,TSQL,88.5,88.5,23,23,NN,FM,5,,21.6,447.5000,"442.5000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",88.5,Jefferson,N0OWY,OPEN,,Wide area.,Aurora Repeater Association,E-power.,CCARC,"2014-04-28   
     Please help us confirm this repeater!",,,,On-Air,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ARAR 147.150,147.15,+,0.6,TSQL,100,100,23,23,NN,FM,5,,18.2,147.1500,147.7500,100.0,Jefferson,W0CBI,OPEN,,"Denver metro, central front range",Aurora Repeater Assoc (ARA),e-power,CCARC,2016-01-17,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",ARA: Wed at 20:00.,On-Air,100.0,,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ARAR 224.740,224.74,-,1.6,TSQL,88.5,88.5,23,23,NN,FM,5,,18.1,224.7400,223.1400,88.5,Jefferson,N0POH,OPEN,,,Aurora Repeater Assoc,e-power,CCARC,2016-01-17,,,ARA: Wed at 2000.,On-Air,88.5,,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
