Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Coordination,Last update,YSF Digital Enabled,DG-ID,Features,Mixed-Mode,Web links,D-STAR Enabled,Node,Sources,Links,Affiliate,EchoLink,IRLP,AllStar,Notes,Grid,Nets,Feed,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,WIRES-X,Location Photo,Commands,On-air,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Denver Regional,Northern Colorado,English,TAC 310,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Europe,Southwest USA,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Hytera USA,Parrott,Audio Test,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Amarillo WIRES-X
147.175,0.6,141.3,NM5EM,"Des Moines, Sierra Grande",NM,OPEN,,46.4,SE,,147.175,147.775,141.3,,Union,On-Air,,NMEMA ARC,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,N5BOP,Des Moines,NM,OPEN,,46.4,SE,,146.85,146.25,100,,Union,Off-Air,Wide area.,Sierra Grande RC,NMFCC,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,77,N5BOP,Des Moines,NM,OPEN,,46.4,SE,,444.8,449.8,77,,Union,Off-Air,Wide area.,Sierra Grande Repeater Club,NMFCC,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,110.9,N5GDR,Cimarron,NM,OPEN,A,50.9,SSW,,145.21,144.61,110.9,110.9,Colfax,On-Air,,"Gary Reynolds N5GDR, Dale Finley KB5NFT",NMFCC,,,,,,,,,,,,,,46298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,52.9,WSW,,145.25,144.65,123,,Taos,On-Air,,Taos ARC,NMFCC,,,,,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,56.2,SW,,147.04,147.64,141.3,,Colfax,On-Air,,NMEMA ARC,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,100,NM5ML,"Eagle Nest, Iron Mountain",NM,OPEN,,57.1,SW,,444.35,449.35,100,,Colfax,On-Air,,,NMFCC,,,,,,,,,,Full-time to the  Mega-Link System .,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,59.7,N,,449.975,444.975,100,100,Pueblo,On-Air,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",K0JSC,CCARC,,,,2,,K0JSC dot Com,,,,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",,363976,7301,28368,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,DM78SA18,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,64.9,WSW,,145.39,144.79,100,,Taos,On-Air,Wide area.,Taos ARC,NMFCC,,,,"E-power, linked.",,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,67,NM5ML,"Taos, Ski Valley",NM,OPEN,,65.5,SW,,147.14,147.74,67,,Taos,On-Air,,,,,,,11,,http://www.taosarc.com/,,,,Full-time to the  Mega-Link System .,TaosARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,123,N5TSV,"Taos, Wheeler Peak",NM,OPEN,,66,SW,,444.975,449.975,123,,Taos,On-Air,,N5TSV,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,100,N5LEM,"Angel Fire, Agua Fria Peak",NM,OPEN,,68.3,SW,,147.34,147.94,100,,Colfax,On-Air,Wide area.,Taos ARC,NMFCC,,,,E-power.,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,70.9,NNW,,224.32,222.72,88.5,,Custer,Off-Air,,Pueblo Ham Club,CCARC,,,,11,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,70.9,NNW,,449.625,444.625,107.2,,Custer,On-Air,,,CCARC,,,,E-power.,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,70.9,NNW,,447.175,442.175,88.5,,Pueblo,Off-Air,Wide area: Southeast Colorado.,Pueblo HC,CCARC,,,,11,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,73.6,N,,147.24,147.84,103.5,CSQ,Pueblo,Off-Air,Pueblo and Fremont Counties,TARA,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,73.6,N,,446.9875,441.9875,,,Pueblo,Off-Air,,,CCARC,,,,,,Rocky Mountain Ham Radio,,,,Full-time to the  Colorado TRBO System .,RMHAM,,,,,,,,,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,73.6,N,,447.275,442.275,100,100,Pueblo,On-Air,,,CCARC,,,,,,The Fun Machine,,,,Full-time to the  The Fun Machine System .,The Fun Machine,,,,"Moved to Pueblo.  Now called ""Pueblo Metro""",,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,75.2,N,,449.725,444.725,100,,El Paso,On-Air,,N0PWZ,CCARC,,,,,,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,75.2,N,,145.115,144.515,88.5,,Pueblo,Off-Air,,Pueblo Ham Club,CCARC,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,75.2,N,,447.7,442.7,210.7,210.7,Pueblo,Off-Air,,,CCARC,,,,,Yes; analog capable.,,,,,,,,7389,29228,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,75.2,N,,146.655,146.055,123,CSQ,Pueblo,On-Air,,K0ST,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,75.2,N,,146.88,146.28,88.5,CSQ,Pueblo,On-Air,Wide area.,Pueblo HC,CCARC,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,78.2,NE,,147.36,147.96,,123,Otero,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,,,,Open ↑ / Open ↓,E-power,Yes; analog capable.,,,,,,KC0ITF,,,,Digital Wires-X,,,,,,,,,,11360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC0,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,,78.2,NE,,446.75,441.75,,,Otero,On-Air,La Junta,,,,,Open ↑ / Open ↓,E-power.,,,,KC0ITF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,KC0ITF,,,,Please use Busy Channel LockOut,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,78.9,N,,147,147.6,,,Pueblo,On-Air,,Carl Higbee,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,79.4,N,,448.975,443.975,100,100,Pueblo,On-Air,,,CCARC,,,,,,http://www.k0jsc.com,,,,Full-time to the  The Fun Machine System .,,363976,7301,28368,Off air.  Will return to service,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,100,N7JNI,Wagon Mound,NM,OPEN,,81,S,,444.4,449.4,100,,Mora,Off-Air,,Mora ARC,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,84.6,N,,447.95,442.95,88.5,,Pueblo,On-Air,Wide area.,Pueblo Ham Club,CCARC,,,,E-power.,,Pueblo Ham Club,,,,,,,,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,84.6,N,,146.79,146.19,88.5,CSQ,Pueblo,On-Air,Wide area.,Pueblo HC,CCARC,,,,E-power.,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,84.6,N,,224.26,222.66,88.5,CSQ,Pueblo,Off-Air,Wide area.,Pueblo Ham Club,CCARC,,,,E-power.,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,67,NM5ML,"Wagon Mound, Turkey Mountain",NM,OPEN,,84.8,SSW,,147.2,147.8,67,,Mora,On-Air,,,,,,,8,,http://nm5ml.com/,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,141.3,NM5EM,"Wagon Mound, Turkey Mtn",NM,OPEN,,84.9,SSW,,145.37,144.77,141.3,,Mora,Off-Air,,NMEMA ARC,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,85,NW,,448.15,443.15,103.5,103.5,Custer,On-Air,,Royal George ARC,CCARC,,,,E-power.,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,85,NW,,147.06,147.66,77,77,Custer,On-Air,,http://www.qsl.net/rghc,CCARC,,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,85,NW,,927.775,902.775,D116,D116,Custer,On-Air,,Royal Gorge Amateur Radio Club,CCARC,,,,,,,,,,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,85.1,NW,,919.1,894.1,88.5,CSQ,Pueblo,Off-Air,Wide area.,Pueblo HC,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,85.1,NW,,448.325,443.325,100,100,Custer,On-Air,,,,,,,,,,,,,Full-time to the  The Fun Machine System .,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,86.4,WSW,,147.22,147.82,100,,Rio Arriba,On-Air,Wide area.,New Mexico Mega Link Assoc,NMFCC,,,,10,,,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras,  San Antonio Mountain",NM,OPEN,,86.5,WSW,,146.76,146.16,67,,Rio Arriba,On-Air,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",Taos ARC,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,88.7,WSW,,145.175,144.575,141.3,,Taos,Off-Air,,NMEMA ARC,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,88.7,WSW,,146.76,146.16,67,,Taos,On-Air,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",Taos ARC,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,67,KF5PFO,"Taos, Picuris Peak",NM,OPEN,E,90.2,SW,,147.12,147.72,67,,Taos,On-Air,Wide area.,Taos Amateur Radio Club,NMFCC,,,,E-power.,,http://taosarc.org/,,,,,ARRL,828279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.875,-5,123,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,90.3,SW,,449.875,444.875,123,,Taos,Off-Air,,Taos ARC,NMFCC,,,,"Linked to 147.34, E-Power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.4,-1.6,225.7,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,90.3,SW,,224.4,222.8,225.7,,Taos,On-Air,,Taos ARC,NMFCC,,,,,,http://taosarc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5,0,100,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,90.3,SW,,51.5,51.5,100,,Taos,On-Air,,Taos ARC,,,,,,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett,  Tator Butte",CO,OPEN,,91.3,ESE,,146.64,146.04,100,100,Las Animas,Off-Air,Wide area: West BACA and East Las Animas counties.,,CCARC,,,,,,KZ0DEM Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,95.8,NNW,,447.975,442.975,100,100,Fremont,On-Air,"Canon City area. 
   Repeater Coverage Map",K0JSC,CCARC,,,,Autopatch.,,http://www.k0jsc.com,,,,Full-time to the  The Fun Machine System .,,363976,7301,28368,,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,96.2,NNW,,449.975,444.975,100,100,Fremont,On-Air,,K0JSC,CCARC,,,,Simulcast TX / Voted RX with Cedarwood and Salida,,http://www.k0jsc.com,,,,Full-time to the  The Fun Machine System .,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,97,WNW,,146.64,146.04,77,77,Rio Grande,On-Air,Low level local coverage,,,,,,,,,,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,97.2,WNW,,447.1,442.1,77,,Saguache,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,98.6,NNW,,927.7,902.7,D114,D114,Fremont,On-Air,,Royal Gorge ARC,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,98.7,NNW,,223.96,222.36,103.5,103.5,Fremont,On-Air,"Wide area. 
   Repeater Coverage Map",RGARC,CCARC,,,,"E-power (Bat), Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,98.7,NNW,,447.75,442.75,103.5,103.5,Fremont,On-Air,,RGARC,CCARC,,,,E-power (Bat),,Royal Gorge Amateur Radio Club,,,,,,,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,98.7,NNW,,145.49,144.89,103.5,103.5,Fremont,On-Air,,Royal Gorge Amateur Radio Club,CCARC,,,,E-power (Bat),,Royal Gorge Amateur Radio Club,,,,,Colorado ARES Region 5 District 1,,,,,DM78ik,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,98.7,NNW,,446.7375,441.7375,,,Fremont,On-Air,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,CCARC,,,,IPSC Link to the Colorado network on Talk Slot 2.,,http://www.k0jsc.com,,,,Full-time to the  Colorado TRBO System .,Rocky Mountain Ham Radio,,,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,DM78ii,,,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,98.7,NNW,,447.25,442.25,100,100,Fremont,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,CCARC,,,,,,K0JSC dot Com,,,,Full-time to the  The Fun Machine System .,,363976,7301,28368,,DM78ik,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,98.7,NNW,,53.03,51.33,88.5,88.5,Fremont,On-Air,,WB0WDF,CCARC,,,,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,Http://www.qsl.net/rghc,,,,,RGARC,,,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,KD5PX,"Dixon, Cerro Abajo",NM,OPEN,,102.1,SW,,147.18,147.78,100,100,Rio Arriba,On-Air,Dixon Embudo Ojo Sarco St Rd 68 Rio Grande Canyon,,NMFCC,,,,,,,,,,,,,,,,DM76BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
