Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Last update,Downlink Tone,Coverage,AllStar,Sponsor,Notes,Coordination,Grid,Affiliate,Links,Web links,Features,EchoLink,IRLP,Nets,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,On-air,Location Photo,Feed,Denver Regional,Mixed-Mode,Commands,YSF Digital Enabled,DG-ID,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Local/Cluster,Northern Colorado,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Mountain Reg USA
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,57.1,NNE,yes,147.285,147.885,88.5,Chaffee,On-Air,yes,123,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,Colorado Connection,,CCARC,,,Full-time to the  Colorado Connection System .,,11,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,57.2,N,yes,145.325,144.725,100,Chaffee,On-Air,yes,,wide area,,Chaffee Lake Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,57.7,E,yes,448.325,443.325,100,Custer,On-Air,yes,100,,,,,,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,57.7,E,yes,919.1,894.1,88.5,Pueblo,Off-Air,yes,CSQ,Wide area.,,Pueblo HC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,57.8,WNW,yes,147.135,146.535,123,Hinsdale,On-Air,yes,,,,,,CCARC,,,,http://www.sjcham.com,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,57.8,E,yes,927.775,902.775,D116,Custer,On-Air,yes,D116,,,Royal Gorge Amateur Radio Club,System uses digital PL,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,57.8,E,yes,448.15,443.15,103.5,Custer,On-Air,yes,103.5,,,Royal George ARC,,CCARC,,,,http://www.qsl.net/rghc,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,57.8,E,yes,147.06,147.66,77,Custer,On-Air,yes,77,,,http://www.qsl.net/rghc,,CCARC,,,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras,  San Antonio Mountain",NM,OPEN,,59.5,SSE,yes,146.76,146.16,67,Rio Arriba,On-Air,yes,,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,Taos ARC,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,59.5,SSE,yes,147.22,147.82,100,Rio Arriba,On-Air,yes,,Wide area.,,New Mexico Mega Link Assoc,,NMFCC,,,Full-time to the  Mega-Link System .,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,62.2,NNE,yes,446.975,441.975,,Chaffee,On-Air,yes,,,,Crestone Amateur Radio Emergency Services,,CCARC,,Crestone Amateur Radio Emergency Services,,KD0QPG,,,,,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,62.2,NNE,yes,446.8125,441.8125,,Chaffee,On-Air,yes,,,,RMHAM,,,,,,,,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,62.5,SW,yes,145.43,144.83,136.5,Rio Arriba,On-Air,yes,,,,SJC EMCOMM,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,65.3,N,yes,447.65,442.65,151.4,Gunnison,On-Air,yes,151.4,Gunnison valley and along East and west on Highway 50.,,KB0YNA,,CCARC,,,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,67.5,NNW,yes,449.95,444.95,,Gunnison,,yes,,,,K5GF,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,67.5,NNW,yes,147.12,147.72,,Gunnison,On-Air,yes,,,,W0VTL,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,68.5,E,yes,447.175,442.175,88.5,Pueblo,Off-Air,yes,,Wide area: Southeast Colorado.,,Pueblo HC,,CCARC,,,,Pueblo Ham Club,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,68.5,E,yes,224.32,222.72,88.5,Custer,Off-Air,yes,,,,Pueblo Ham Club,,CCARC,,,,PHC repeaters,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,68.5,E,yes,449.625,444.625,107.2,Custer,On-Air,yes,,,,,,CCARC,,,,CMRG Repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,70.1,W,yes,147.375,147.975,156.7,San Juan,On-Air,yes,,Wide area.,,,,CCARC,,,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",http://www.sjcham.com,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,71.9,N,yes,146.745,146.145,100,Chaffee,Off-Air,yes,,,,CLARA,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,72.2,W,yes,447.525,442.525,127.3,San Juan,On-Air,yes,,Wide area.,,KB5ITS,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,72.2,W,yes,444,449,67,San Juan,On-Air,yes,,,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,72.2,W,yes,145.325,144.725,127.3,San Juan,On-Air,yes,,,,,,CCARC,,,,http://www.sjcham.com,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,74.4,SSE,yes,145.175,144.575,141.3,Taos,Off-Air,yes,,,,NMEMA ARC,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,74.4,SSE,yes,146.76,146.16,67,Taos,On-Air,yes,,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,Taos ARC,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,74.7,ESE,yes,145.355,144.755,100,Huerfano,On-Air,yes,,,,N0JPX,,CCARC,,,,,"E-power, linked.",,3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,75.7,WNW,yes,147.27,147.87,127.3,Ouray,On-Air,yes,,,,,,CCARC,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,76.5,SE,yes,449.75,444.75,100,Las Animas,On-Air,yes,100,,28368,N0ZSN,,CCARC,,The Fun Machine,Full-time to the  The Fun Machine System .,The Fun Machine,,363976,7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,78.8,NE,yes,223.96,222.36,103.5,Fremont,On-Air,yes,103.5,"Wide area. 
   Repeater Coverage Map",,RGARC,,CCARC,,,,,"E-power (Bat), Remote Base",,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,78.8,NE,yes,447.75,442.75,103.5,Fremont,On-Air,yes,103.5,,,RGARC,,CCARC,,,,Royal Gorge Amateur Radio Club,E-power (Bat),,3081,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,78.8,NE,yes,145.49,144.89,103.5,Fremont,On-Air,yes,103.5,,,Royal Gorge Amateur Radio Club,,CCARC,DM78ik,Colorado ARES Region 5 District 1,,Royal Gorge Amateur Radio Club,E-power (Bat),,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,78.8,NE,yes,53.03,51.33,88.5,Fremont,On-Air,yes,88.5,,,WB0WDF,Split site Fremont peak transmitter and 8 mile mountain reciever.,CCARC,,RGARC,,Http://www.qsl.net/rghc,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,78.8,NE,yes,447.25,442.25,100,Fremont,On-Air,yes,100,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",28368,,,CCARC,DM78ik,,Full-time to the  The Fun Machine System .,K0JSC dot Com,,363976,7301,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,yes,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,78.8,NE,yes,446.7375,441.7375,,Fremont,On-Air,yes,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,CCARC,DM78ii,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,http://www.k0jsc.com,IPSC Link to the Colorado network on Talk Slot 2.,,,,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,79,NE,yes,927.7,902.7,D114,Fremont,On-Air,yes,D114,,,Royal Gorge ARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,79.4,W,yes,147.27,147.87,127.3,San Juan,On-Air,yes,,Wide area.,,KB5ITT,,CCARC,,Durango ARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,80.1,NE,yes,447.975,442.975,100,Fremont,On-Air,yes,100,"Canon City area. 
   Repeater Coverage Map",28368,K0JSC,,CCARC,,,Full-time to the  The Fun Machine System .,http://www.k0jsc.com,Autopatch.,363976,7301,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,80.3,WSW,yes,147.15,147.75,100,La Plata,On-Air,yes,,Bayfield,,,,CCARC,,,,http://www.sjcham.com,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,80.7,WSW,yes,146.7,146.1,100,La Plata,On-Air,yes,100,Local.,,Durango ARC,,CCARC,,,,http://durangoarc.org/,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,80.7,NE,yes,449,444,67,Fremont,On-Air,yes,67,,,WB0WDF,North of the Royal Gorge Bridge.,CCARC,,,Full-time to the  Mega-Link System .,Mega Link,"E-power (Solar, Wind)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,80.7,WSW,yes,147.345,147.945,88.5,La Plata,On-Air,yes,123,Durango and north towards Molas Divide.,,Colorado Connection,,CCARC,,,Full-time to the  Colorado Connection System .,,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,81.4,WSW,yes,445.1375,440.1375,,La Plata,On-Air,yes,,,,K2AD,Talkgroup 700 TS 1 Talkgroup 719 TS 2,CCARC,,Rocky Mountain Ham Radio,,http://www.rmham.org/,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,82.3,SE,yes,145.39,144.79,100,Taos,On-Air,yes,,Wide area.,,Taos ARC,,NMFCC,,,,Taos Amateur Radio Club,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,82.5,NE,yes,449.975,444.975,100,Fremont,On-Air,yes,100,,,K0JSC,,CCARC,,The Fun Machine,Full-time to the  The Fun Machine System .,http://www.k0jsc.com,Simulcast TX / Voted RX with Cedarwood and Salida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,85.6,SE,yes,145.25,144.65,123,Taos,On-Air,yes,,,,Taos ARC,,NMFCC,,,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,86.3,NNE,yes,448.575,443.575,103.5,Park,Off-Air,yes,103.5,Western Park County,,,,CCARC,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,87,NW,yes,448.65,443.65,,Montrose,On-Air,yes,151.4,Wide area.,,KB0YNA,,,,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,87,NW,yes,447.2,442.2,107.2,Montrose,On-Air,yes,107.2,Delta/Montrose,,,Closed IRLP out - Ask for a control op,CCARC,,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,GMRA Repeaters,9,,3710,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,88.2,WSW,yes,448.625,443.625,131.8,La Plata,On-Air,yes,131.8,Wide area.,,KC5EVE,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,88.2,WSW,yes,449.85,444.85,100,La Plata,On-Air,yes,100,,,DARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,89.9,WSW,yes,147.135,147.735,100,La Plata,On-Air,yes,100,,,,,CCARC,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,67,NM5ML,"Taos, Ski Valley",NM,OPEN,,89.9,SE,yes,147.14,147.74,67,Taos,On-Air,yes,,,,,,,,TaosARC,Full-time to the  Mega-Link System .,http://www.taosarc.com/,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,90.9,WNW,yes,449.7,444.7,107.2,San Miguel,On-Air,yes,107.2,Wide Area via links - Western Colorado - Eastern Utah,,Grand Mesa Repeater Association ( GMRA ),Closed IRLP out - Ask for a control Op,CCARC,,,Full-time to the  GMRA Open System .,,E-power.,,3710,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,92.4,SW,yes,147.36,147.96,100,San Juan,On-Air,yes,,,,,,NMFCC,,,Full-time to the  San Juan Connection System .,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,92.7,W,yes,146.67,146.07,100,La Plata,On-Air,yes,,Wide area.,,Durango ARC,Linked active in the summer months only.,CCARC,,,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",DARC Repeaters,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,123,N5TSV,"Taos, Wheeler Peak",NM,OPEN,,93.2,SE,yes,444.975,449.975,123,Taos,On-Air,yes,,,,N5TSV,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,95.5,WSW,yes,145.37,144.77,100,La Plata,On-Air,yes,100,,,,,CCARC,,,,http://www.sjcham.com,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,100,NM5ML,"Eagle Nest, Iron Mountain",NM,OPEN,,96.2,SE,yes,444.35,449.35,100,Colfax,On-Air,yes,,,,,11,NMFCC,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,96.4,WSW,yes,147.06,147.66,100,San Juan,On-Air,yes,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,97.5,NE,yes,147.015,147.615,107.2,Teller,On-Air,yes,,,,Mountain ARC,,CCARC,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,E-power.,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,97.5,NE,yes,1287.7,1267.7,67,Teller,Testing,yes,,,,WB0WDF,Testing in Canon City,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,97.5,NE,yes,145.46,144.86,67,Teller,On-Air,yes,,,,WB0WDF,,CCARC,,RGARC,,,"E-power, 100% Solar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
