Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,EchoLink,IRLP,Coordination,Last update,Coverage,Sponsor,Web links,Downlink Tone,Grid,Affiliate,Features,Links,AllStar,Notes,Nets,Feed,YSF Digital Enabled,DG-ID,WIRES-X,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,Mixed-Mode,DMR Enabled,Color Code,Wide Network,Local Network,P25 Digital Enabled,NAC,Default Reflector,On-air,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Talkgroup Network,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide English,Wyoming,WyLOCAL,Location Photo
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,17.7,S,,448.5,443.5,100,Denver,On-Air,,,CCARC,,Greater Denver area.,Castle Rock Repeater Group,,,,,E-power.,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,17.7,S,,448.275,443.275,156.7,Arapahoe,On-Air,,,CCARC,,,W0BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,17.7,S,,448.825,443.825,,Arapahoe,On-Air,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,18.2,SSW,,447.175,442.175,100,Denver,On-Air,201712,,CCARC,,,W0JRL,,100,,,,,29997,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,18.5,WNW,,146.76,146.16,100,Boulder,On-Air,,,CCARC,,Wide area.,Rocky Mtn VHF Soc,,,,Boulder County ARES,5,,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,19.1,SSW,,448.55,443.55,82.5,Denver,Off-Air,,,CCARC,,,HPRA,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,19.1,SSW,,145.475,144.875,100,Jefferson,On-Air,,,CCARC,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,Intermountain Repeater Group,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,19.1,SSW,,146.715,146.115,123,Denver,On-Air,,,CCARC,,,EARS,,123,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,19.1,SSW,,448.075,443.075,123,Denver,On-Air,,,CCARC,,,W0IG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,19.2,SSW,,449.65,444.65,,Denver,On-Air,,,CCARC,,,Colorado Amateur Repeater Network (CARN),,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,19.2,SSW,,449.675,444.675,,Denver,On-Air,,7708,CCARC,,,Colorado Amateur Repeater Network (CARN),,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,19.2,SSW,,447.9,442.9,CSQ,Denver,Off-Air,,,CCARC,,,WB0TPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,19.2,SSW,,447.925,442.925,100,Denver,On-Air,,,CCARC,,,RADOPS El Jebel Shriners,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,19.4,NW,,448.525,443.525,151.4,Boulder,On-Air,223853,,CCARC,,,N0EPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,19.4,NW,,448.8,443.8,88.5,Boulder,On-Air,,,CCARC,,,Longmont ARC,,88.5,,,30,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,,LARC: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,19.4,NW,,147.27,147.87,100,Boulder,On-Air,,,CCARC,,Wide area: Northern Colorado.,Longmont ARC (LARC),http://w0eno.org/?q=node/11,100,,,"Closed autopatch, e-power, EchoLink.","Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,19.9,S,,449.15,444.15,,Arapahoe,On-Air,,,CCARC,,,Colorado Amateur Repeater Network (CARN),,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,22,W,,145.3875,144.7875,,Boulder,On-Air,,,CCARC,,20,Boulder County ARES,http://bouldercountyares.org/technical/d-star,,,,E-power.,,,,,,,,,,,,,,,,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,22,W,,1283.8625,1263.8625,,Boulder,On-Air,,,CCARC,,20,Boulder County ARES,,,,,E-power.,,,,,,,,,,,,,,,,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,22.8,SW,,448.35,443.35,,Jefferson,On-Air,,,CCARC,,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),http://www.DWARC.com,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,22.8,SW,,147.21,147.81,100,Jefferson,On-Air,,3241,,,,Denver Water Amateur Radio Club,http://www.dwarc.com,100,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,22.9,WNW,,146.73,146.13,91.5,Boulder,Off-Air,115482,,CCARC,,Local,BARC,http://www.ked-wireless.com/products1.htm,91.5,DN70jb,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,23.9,W,,449.55,444.55,100,Boulder,On-Air,217336,,CCARC,,Denver metro area.,Rocky Mtn VHF Soc,,,,,8,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,23.9,W,,1299.5,1279.5,,Boulder,On-Air,,,CCARC,,,Boulder County ARES,,,,,E-power.,,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,23.9,W,,446.8,441.8,,Boulder,On-Air,,,CCARC,,Wide area.,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,,,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,23.9,W,,446.8625,441.8625,,Boulder,On-Air,,,CCARC,,,Boulder County ARES,,,,,,,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,23.9,W,,449.4,444.4,91.5,Boulder,Off-Air,,,CCARC,,,BARC,http://www.ked-wireless.com/products1.htm,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,24.1,W,,448.9,443.9,100,Boulder,On-Air,,,CCARC,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,24.1,W,,146.61,146.01,100,Boulder,Off-Air,,7007,CCARC,,,Boulder Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,24.3,W,,146.7,146.1,100,Boulder,On-Air,,,CCARC,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,BARC Repeaters,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,24.8,SW,,447.825,442.825,D073,Jefferson,On-Air,,,CCARC,,,Denver Radio Club,,D073,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,24.9,S,,145.19,144.59,151.4,Arapahoe,On-Air,10079,,,,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,,131.8,,,Autopatch (please contact trustee).,,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,25.1,WSW,,446.975,441.975,,Jefferson,On-Air,,,,,Denver Metro Area,W0DMR,http://www.w0dmr.org/,,,,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,25.2,SW,,448.75,443.75,100,Jefferson,On-Air,,,CCARC,,Local.,,,100,,N0ELY,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,25.7,S,,449.425,444.425,D023,Arapahoe,Off-Air,,,,,,K0PWO,,D023,,,,,29791,Colorado SNP (Shared non-protected pair),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,26.5,SW,,448.975,443.975,123,Jefferson,On-Air,,,CCARC,,Wide area.,FRG,,,,,Linkable VHF/UHF Remote Base,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,26.5,SW,,927.7875,902.7875,156.7,Jefferson,On-Air,,,,,Golden and Denver.,N0PYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,26.5,S,,145.4,144.6,100,Arapahoe,On-Air,,,CCARC,,Greater Denver area.,Castle Rock Repeater Group,,,,,"Autopatch, e-power.","Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,26.5,SW,,448.125,443.125,107.2,Jefferson,On-Air,,,CCARC,,,Denver PD EEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,27,SW,,449.775,444.775,100,Jefferson,On-Air,,,CCARC,,Metro Denver,Denver Radio Club,Denver Radio Club,100,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,27,SW,,224.38,222.78,100,Jefferson,On-Air,,,CCARC,,,Denver Radio Club,DRC Repeaters,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,27,SW,,147.33,147.93,100,Jefferson,On-Air,,,CCARC,,Metro Denver and the foothills.,Denver Radio Club,DRC Repeaters,,,,E-power.,,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,27.3,SW,,53.09,51.39,107.2,Jefferson,On-Air,,,CCARC,,Metro Denver area.,Denver Radio Club,DRC Repeaters,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,28,SW,,446.8375,441.8375,,Jefferson,On-Air,,,CCARC,,,WA2YZT,,,,,200,Full-time to the  Colorado TRBO System .,,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,28.1,SW,,145.25,144.65,,Jefferson,On-Air,,,CCARC,,,Colorado D-Star,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,28.1,SW,,1283.9625,1263.9625,,Jefferson,On-Air,,,CCARC,,,Colorado D-Star,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,28.1,SW,,145.37,144.77,,Jefferson,On-Air,,,CCARC,,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,,,,,,,See the website for programming information.,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,28.1,SW,,1299.9,1299.9,,Jefferson,On-Air,,,,,,Colorado D-Star,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,28.1,SW,,446.9625,441.9625,,Jefferson,On-Air,,,CCARC,,,Colorado D-Star,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,28.2,SW,,449.625,444.625,141.3,Jefferson,On-Air,,3750,CCARC,,,Rocky Mountain Ham Radio,,141.3,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,28.9,WNW,,447.75,442.75,141.3,Boulder,On-Air,,3450,CCARC,,,Rocky Mountain Ham Radio,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,28.9,WNW,,145.46,144.86,107.2,Boulder,On-Air,347086,3990,CCARC,,Boulder/Denver Metro,Colorado Repeater Association (CRA),,107.2,,CRA VHF Link System,"Closed autopatch, e-power.","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,28.9,WNW,,447.975,442.975,107.2,Boulder,On-Air,,,CCARC,,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),,107.2,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,28.9,WNW,,224.02,222.42,,Boulder,On-Air,217336,,CCARC,,Denver metro area.,Rocky Mtn VHF Soc,RMVHS repeaters,,,,8,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,28.9,WNW,,446.9875,441.9875,,Boulder,On-Air,,,,,,Rocky Mountain Ham Radio,,,,,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,28.9,WNW,,445.05,440.05,,Boulder,On-Air,,,CCARC,,Wide area,Rocky Mountain Ham Radio,,,,,BrandMeister Network,,,,,,,,,,,,,,,,,,,,1,BrandMeister,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,29.6,NNE,,449.725,444.725,127.3,Weld,On-Air,,,CCARC,,,K0OJ,,,,,"Autopatch, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,29.6,NNE,,146.85,146.25,100,Weld,On-Air,,,CCARC,,,Northern Colorado ARC,,100,,,"E-power, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,29.6,S,,448.7,443.7,146.2,Douglas,On-Air,,,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,30.2,SW,,53.17,51.47,107.2,Jefferson,On-Air,,,CCARC,,"I-70,I-76,I-25,I-225",N6LXX,,CSQ,,N6LXX,,Full-time to the  N6LXX System .,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,30.2,SW,,447.875,442.875,107.2,Jefferson,On-Air,,,CCARC,,"I-70,I-76,I-25,I-225",N6LXX,,107.2,,N6LXX,,Full-time to the  N6LXX System .,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,30.5,WSW,,224.74,223.14,88.5,Jefferson,On-Air,,,CCARC,,,Aurora Repeater Assoc,ARA Repeaters,88.5,,,e-power,,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,30.5,WSW,,145.22,144.62,103.5,Jefferson,On-Air,,,CCARC,,Wide area.,Rocky Mtn Radio League,Repeater,103.5,,,8,,,Talk-Group of $FFFF.,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,293,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,30.5,WSW,,449.75,444.75,103.5,Jefferson,On-Air,,,CCARC,,,Rocky Mtn Radio League,Repeater,103.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,30.6,WSW,,147.15,147.75,100,Jefferson,On-Air,,,CCARC,,"Denver metro, central front range",Aurora Repeater Assoc (ARA),ARA Repeaters,100,,,e-power,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,30.6,WSW,,224,222.4,103.5,Jefferson,On-Air,,,CCARC,,,Rocky Mountain Radio League,Repeater,103.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,30.6,WSW,,448.85,443.85,88.5,Jefferson,On-Air,,,CCARC,,"Denver metro, central front range",Aurora Repeater Assoc,ARA Repeaters,88.5,,,e-power.,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
