Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Downlink Tone,Grid,Affiliate,Links,AllStar,Features,Web links,Coverage,On-air,IRLP,Nets,DMR Enabled,Color Code,Wide Network,EchoLink,Talkgroups,Colorado,Southern Colorado,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Commands,Denver Regional,Northern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Mountain Reg USA
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,46.3,SSW,yes,146.61,146.01,123,Archuleta,On-Air,,,CCARC,yes,,,,,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,48.1,N,yes,449.95,444.95,,Gunnison,,K5GF,,CCARC,yes,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,48.1,N,yes,147.12,147.72,,Gunnison,On-Air,W0VTL,,CCARC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,49.1,WSW,yes,147.27,147.87,127.3,San Juan,On-Air,KB5ITT,,CCARC,yes,,,Durango ARC,,,E-power.,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,55.1,NW,yes,448.65,443.65,,Montrose,On-Air,KB0YNA,,,yes,151.4,,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,55.1,NW,yes,447.2,442.2,107.2,Montrose,On-Air,,Closed IRLP out - Ask for a control op,CCARC,yes,107.2,,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,,9,GMRA Repeaters,Delta/Montrose,,3710,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,55.3,NE,yes,145.325,144.725,100,Chaffee,On-Air,Chaffee Lake Amateur Repeater Association,,,yes,,,,,,,,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,56.7,SW,yes,146.7,146.1,100,La Plata,On-Air,Durango ARC,,CCARC,yes,100,,,,,9,http://durangoarc.org/,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,56.7,NNE,yes,447.65,442.65,151.4,Gunnison,On-Air,KB0YNA,,CCARC,yes,151.4,,,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",,Gunnison valley and along East and west on Highway 50.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,57.5,SW,yes,147.345,147.945,88.5,La Plata,On-Air,Colorado Connection,,CCARC,yes,123,,,Full-time to the  Colorado Connection System .,,,,Durango and north towards Molas Divide.,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,57.6,SW,yes,445.1375,440.1375,,La Plata,On-Air,K2AD,Talkgroup 700 TS 1 Talkgroup 719 TS 2,CCARC,yes,,,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,57.8,W,yes,449.7,444.7,107.2,San Miguel,On-Air,Grand Mesa Repeater Association ( GMRA ),Closed IRLP out - Ask for a control Op,CCARC,yes,107.2,,,Full-time to the  GMRA Open System .,,E-power.,,Wide Area via links - Western Colorado - Eastern Utah,,3710,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,63.4,S,yes,145.43,144.83,136.5,Rio Arriba,On-Air,SJC EMCOMM,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,63.8,SW,yes,147.15,147.75,100,La Plata,On-Air,,,CCARC,yes,,,,,,E-power.,http://www.sjcham.com,Bayfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,64.6,NE,yes,449.975,444.975,100,Chaffee,On-Air,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,CCARC,yes,100,DM68xk,,Full-time to the  The Fun Machine System .,28368,2,K0JSC.COM,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,7301,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,363976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,64.6,NE,yes,449.65,444.65,107.2,Chaffee,On-Air,,,CCARC,yes,,,,,,E-power.,CMRG Repeaters,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,64.6,NE,yes,449.925,444.925,103.5,Chaffee,On-Air,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,CCARC,yes,103.5,,Colorado ARES,,,E-power (Bat),,"Upper Arkansas and Platte Rivers, and the SLV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,65.2,NE,yes,147.285,147.885,88.5,Chaffee,On-Air,Colorado Connection,,CCARC,yes,123,,,Full-time to the  Colorado Connection System .,,11,,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,65.2,NE,yes,145.295,144.695,107.2,Chaffee,On-Air,Cheyenne Mtn Repeater Group,,CCARC,yes,,DM78ik,,,,,CMRG Repeaters,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,65.5,SW,yes,448.625,443.625,131.8,La Plata,On-Air,KC5EVE,,CCARC,yes,131.8,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,65.6,SW,yes,449.85,444.85,100,La Plata,On-Air,DARC,,CCARC,yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,66.5,WSW,yes,146.67,146.07,100,La Plata,On-Air,Durango ARC,Linked active in the summer months only.,CCARC,yes,,,,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,11,DARC Repeaters,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,67.3,SW,yes,147.135,147.735,100,La Plata,On-Air,,,CCARC,yes,100,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,67.5,NW,yes,146.91,146.31,107.2,Montrose,On-Air,,,CCARC,yes,107.2,,,,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,67.5,NW,yes,146.79,146.19,107.2,Montrose,On-Air,KC0UXX,,CCARC,yes,107.2,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,67.6,SSE,yes,147.08,147.68,162.2,Rio Arriba,On-Air,SFARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,69.1,NE,yes,446.8125,441.8125,,Chaffee,On-Air,RMHAM,,,yes,,,,,,,,,,,,yes,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,69.1,NE,yes,446.975,441.975,,Chaffee,On-Air,Crestone Amateur Radio Emergency Services,,CCARC,yes,,,Crestone Amateur Radio Emergency Services,,,,KD0QPG,,,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,71.3,WSW,yes,145.37,144.77,100,La Plata,On-Air,,,CCARC,yes,100,,,,,E-power.,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,71.5,NNE,yes,146.745,146.145,100,Chaffee,Off-Air,CLARA,,CCARC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,75,WSW,yes,442.375,447.375,100,Montezuma,On-Air,San Juan Connection,,,yes,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,79.1,NNW,yes,147.33,147.93,107.2,Delta,On-Air,North Fork Repeater Assoc.,,CCARC,yes,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,80.2,SW,yes,147.06,147.66,100,San Juan,On-Air,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,80.9,WSW,yes,145.325,144.725,100,Montezuma,On-Air,,Full time to the San Juan Connection,CCARC,yes,,,,,,E-power.,http://www.sjcham.com,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,81.9,E,yes,919.1,894.1,88.5,Pueblo,Off-Air,Pueblo HC,,CCARC,yes,CSQ,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,81.9,E,yes,448.325,443.325,100,Custer,On-Air,,,,yes,100,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,81.9,SSW,yes,147.36,147.96,100,San Juan,On-Air,,,NMFCC,yes,,,,Full-time to the  San Juan Connection System .,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,82,E,yes,448.15,443.15,103.5,Custer,On-Air,Royal George ARC,,CCARC,yes,103.5,,,,,E-power.,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,82,E,yes,147.06,147.66,77,Custer,On-Air,http://www.qsl.net/rghc,,CCARC,yes,77,,,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,82,E,yes,927.775,902.775,D116,Custer,On-Air,Royal Gorge Amateur Radio Club,System uses digital PL,CCARC,yes,D116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,82.3,WSW,yes,446.7375,441.7375,,Montezuma,On-Air,RMHAM,Talkgroup 700 TS 1 Talkgroup 719 TS 2,CCARC,yes,,,,,,,http://www.rmham.org,,,,,yes,6,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,84.6,SE,yes,147.22,147.82,100,Rio Arriba,On-Air,New Mexico Mega Link Assoc,,NMFCC,yes,,,,Full-time to the  Mega-Link System .,,10,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras,  San Antonio Mountain",NM,OPEN,,84.6,SE,yes,146.76,146.16,67,Rio Arriba,On-Air,Taos ARC,,,yes,,,,,,11,,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,89.5,NE,yes,448.575,443.575,103.5,Park,Off-Air,,,CCARC,yes,103.5,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,Western Park County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,90.1,WSW,yes,145.19,144.59,100,Montezuma,On-Air,,,CCARC,yes,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,90.1,WSW,yes,447.275,442.275,100,Montezuma,On-Air,,,,yes,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,90.7,NW,yes,147.36,147.96,100,Delta,,W0ALC,,CCARC,yes,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,90.7,NW,yes,449.825,444.825,100,Delta,,W0ALC,,CCARC,yes,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,90.7,NW,yes,147.195,147.795,107.2,Delta,,,,,yes,,,Colorado District 25 ARES,,,,,Local.,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,91.8,N,yes,447.05,442.05,136.5,Pitkin,On-Air,Roaring Fork Amateur Repeater Cooperative,,CCARC,yes,136.5,,,,,,,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,92,SW,yes,447.45,442.45,107.2,San Juan,On-Air,KB5ITS,,NMFCC,yes,,,,,,"E-power, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,92,SW,yes,146.88,146.28,100,San Juan,On-Air,,,NMFCC,yes,,,,Full-time to the  San Juan Connection System .,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,92,SW,yes,146.74,146.14,100,San Juan,On-Air,Totah ARC,,NMFCC,yes,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,,92,SW,yes,442.25,447.25,,San Juan,On-Air,,,NMFCC,yes,,,,,,,http://www.aztrbonet.com/MinimalNetwatch,,,,,yes,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,94,SW,yes,1291.1,1271.1,,Bernalillo,On-Air,San Juan County,,NMFCC,yes,,,,,,DV only,,,,,,,,,,,,,yes,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,94.1,SW,yes,145.115,144.515,,San Juan,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,94.2,N,yes,146.67,146.07,107.2,Pitkin,On-Air,Ski Country ARC,,CCARC,yes,,,,,,Linked.,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,95.5,SSW,yes,1292.3,1272.3,,San Juan,On-Air,San Juan County,,NMFCC,yes,,,,,,,,,,,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,95.8,ESE,yes,449.625,444.625,107.2,Custer,On-Air,,,CCARC,yes,,,,,,E-power.,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,95.8,ESE,yes,447.175,442.175,88.5,Pueblo,Off-Air,Pueblo HC,,CCARC,yes,,,,,,11,Pueblo Ham Club,Wide area: Southeast Colorado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,95.8,ESE,yes,224.32,222.72,88.5,Custer,Off-Air,Pueblo Ham Club,,CCARC,yes,,,,,,11,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,97.1,WSW,yes,449.175,444.175,127.3,Montezuma,Off-Air,KD5LWU,,CCARC,yes,,,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,97.1,WSW,yes,146.79,146.19,127.3,Montezuma,On-Air,KD5LWU,,CCARC,yes,127.3,,,,29317,,,,,,4,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,97.3,NW,yes,447.35,442.35,107.2,Delta,,Grand Mesa Repeater Assoc (GMRA),,CCARC,yes,,,,,,,GMRA Repeaters,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,97.8,SW,yes,448.65,443.65,127.3,San Juan,On-Air,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,97.8,SW,yes,146.92,146.32,100,San Juan,On-Air,San Juan County OEM,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,98,E,yes,449,444,67,Fremont,On-Air,WB0WDF,North of the Royal Gorge Bridge.,CCARC,yes,67,,,Full-time to the  Mega-Link System .,,"E-power (Solar, Wind)",Mega Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
