Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,EchoLink,IRLP,Notes,Nets,Coverage,Downlink Tone,Links,DMR Enabled,Color Code,Wide Network,Affiliate,Web links,Commands,Talkgroups,Colorado,Northern Colorado,YSF Digital Enabled,DG-ID,Grid,Mixed-Mode,D-STAR Enabled,Node,Sources,Denver Regional,AllStar,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,TAC 310,Mountain Reg USA,WIRES-X,Worldwide,English,Feed,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Wyoming,WyLOCAL,Local Network,Southern Colorado,Bandwidth,Local or Reflector,CKRG,KansasLink,Kansas,Location Photo,BYRG
146.865,-0.6,,KR0A,Broken Bow,NE,OPEN,,139.3,E,yes,146.865,146.265,,Custer,,KR0A,,,yes,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,KR0A,Broken Bow,NE,OPEN,,139.3,E,yes,147.06,147.66,,Custer,,KR0A,,,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,,KD0AN,Edison,NE,OPEN,E,139.4,SE,yes,146.745,146.145,,Furnas,,,,WB0CMC,yes,On-Air,882742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,141,W,yes,447.2,442.2,82.5,Weld,,N6RFI,,CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,141.7,WSW,yes,449.925,444.925,114.8,Weld,,KD0RG,,CCARC,yes,On-Air,448035,,,,,114.8,,,,,K0UPS Club,,,,,,,,DN70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,141.9,W,yes,446.775,441.775,,Larimer,,W0DMR - NoCo C-bridge Network,,CCARC,yes,On-Air,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,"Fort Collins east side, into Red Feather Lakes area.",,,yes,2,,Brandmeister Network,W0DMR,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.","Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,,,,,,,,,,BrandMeister US,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,143.5,WSW,yes,147.39,147.99,,Larimer,,KT0L - NoCo C-Bridge Network,,CCARC,yes,On-Air,,,,Tac 310 Net: Sun at 18:00.,"Fort Collins east side, into Red Feather Lakes area.",,,yes,2,,,Documentation,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,144.8,W,yes,448.325,443.325,110.9,Larimer,,,,CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,145.6,WSW,yes,447.625,442.625,100,Adams,,Intermountain Repeater Group,,,yes,On-Air,,,,,Local/North Metro,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,147.6,WSW,yes,448.025,443.025,100,Larimer,,Northern Colorado ARC,,CCARC,yes,On-Air,,,,,,100,,,,,,,,,,,yes,Open ↑ / Open ↓,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,147.7,WSW,yes,224.96,223.36,CSQ,Weld,,AC0KC,,CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.6,5,146.2,WA0VJR,Wallace,KS,OPEN,I,147.7,SSE,yes,444.6,449.6,146.2,Wallace,,WA0VJR,,,yes,On-Air,,3148,Dial 9335 to access K-Link,,"US-40 
   Repeater Coverage Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,148.3,WSW,yes,447.3,442.3,107.2,Weld,,,,CCARC,yes,On-Air,405804,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,148.3,SSW,yes,447,442,103.5,Lincoln,,Delbert Noakes (KC0VJD),APRS repeater &amp; I-Gate / Weather station,,yes,On-Air,,,,,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",,,,,,,,,,,,yes,Open ↑ / Open ↓,DM89gb,Yes; analog capable.,,,,,,,,,,,,,,30534,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,123,K0PCA,Loomis,NE,OPEN,,148.6,SE,yes,146.895,146.295,123,Phelps,,Region 15 ARES/RACES,E-power.,WB0CMC,yes,On-Air,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,149.9,W,yes,147.36,147.96,100,Larimer,,CO State Univ ARC,Closed autopatch.,CCARC,yes,On-Air,,,,,Map,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,150.1,W,yes,449.85,444.85,100,Larimer,,CO State Univ ARC,Closed autopatch.,CCARC,yes,On-Air,,,,,Map,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,150.7,W,yes,446.8125,441.8125,,Larimer,,W0QEY CSU,D-Star Gateway,CCARC,yes,On-Air,,,Free Star,,Fort Collins Local Area,,,,,,,,,,,,,,,,yes,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,151.2,WSW,yes,447.725,442.725,131.8,Larimer,,W7RF,,CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,152.7,WSW,yes,224.32,222.72,100,Larimer,,KN6VV,"Closed autopatch, e-power.",CCARC,yes,Off-Air,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,152.7,WSW,yes,449.575,444.575,100,Larimer,,Loveland Rptr Assoc,"Closed autopatch, e-power.",CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,154.4,WSW,yes,1283.55,1263.55,100,Larimer,,K1TJ Repeater System,,CCARC,yes,On-Air,,,,,Northern Colorado Front Range,,,,,,,http://www.k1tj.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,KB7SWR,Cheyenne,WY,OPEN,,154.4,W,yes,448.15,443.15,100,Laramie,,KB7SWR,,WRCG,yes,Off-Air,,,,,,,"Full-time to  
        145.23500 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,154.4,WSW,yes,447.45,442.45,123,Larimer,,,,CCARC,yes,On-Air,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,154.4,WSW,yes,446.7375,441.7375,,Larimer,,N0AOL - NoCo C-Bridge Network,DMR-MARC World Wide Network,CCARC,yes,On-Air,,,Repeater ID: 310803,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",Wide area: North Front Range.,,,yes,2,,,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,1,,2,2,1,,,1,1,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,154.5,WSW,yes,448.15,443.15,141.3,Denver,,K0GUR,E-power (batt).  2 meter and 70cm channel steerable remote bases.,CCARC,yes,On-Air,24340,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.","Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",141.3,Full-time to the  The Fun Machine System .,,,,,k0jsc.com,,,,,,,DM79pt,,,,,,29436,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,
146.88,-0.6,162.2,N0KOM,"Lenora, K-Link",KS,OPEN,I,154.9,SE,yes,146.88,146.28,162.2,Norton,,N0KOM,"e-power, K-Link. 
IRLP node 7426.",Kansas Repeater Council,yes,On-Air,,7426,"IRLP prefix = A 
Disconnect = 73 
Dial 9335 when finished.",ARES: Sat @ 21:00 local,Click for coverage map.  50 mi radius.,162.2,Full-time to the  K-Link System .,,,,,K-Link Repeater Network,,,,,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,155.3,WSW,yes,147.195,147.795,100,Larimer,,Loveland Repeater Assoc,"Closed autopatch, e-power.",CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,155.3,SW,yes,147.105,147.705,107.2,Elbert,,ARES of Douglas and Elbert Counties,Linked to CRA 447.150 - Conifer,CCARC,yes,On-Air,,,,,"I-70, E. Arapahoe, Elbert, Lincoln Counties",107.2,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,Colorado Repeater Association,http://www.w0cra.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,155.7,W,yes,446.75,441.75,,Larimer,,Rocky Mountain Ham Radio,,CCARC,yes,On-Air,,,See website for complete info on color codes/time slot assignment.,,,,Full-time to the  Colorado TRBO System .,yes,7,,,http://www.rmham.org,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,155.7,W,yes,145.265,144.665,,Larimer,,W0DMR - NoCo C-bridge Network,,CCARC,yes,On-Air,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,Northern Colorado Front Range Wide Area coverage.,,,yes,2,,Brandmeister Network,http://www.w0dmr.org/,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.","Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,,,,,,,,,,BrandMeister US,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,156.5,W,yes,927.825,902.825,100,Larimer,,AB0SF,,CCARC,yes,On-Air,,,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,156.5,W,yes,145.115,144.515,100,Larimer,,Northern Colorado ARC,7,CCARC,yes,On-Air,4236,,,,Wide area.,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,156.5,W,yes,224.52,222.92,100,Larimer,,Northern Colorado ARC,E-power.,CCARC,yes,Off-Air,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,156.5,W,yes,447.275,442.275,100,Larimer,,Northern Colorado ARC,"Closed autopatch, e-power.",CCARC,yes,On-Air,,,,,Wide area.,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,156.6,W,yes,927.95,902.95,100,Larimer,,K1TJ Repeater System,25,CCARC,yes,On-Air,,,,,Northern Front Range,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WA7SNU,Wheatland,WY,OPEN,,157.3,WNW,yes,146.88,146.28,100,Platte,,GPARA,,WRCG,yes,On-Air,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.68,-1.6,,AE7AF,Wheatland,WY,OPEN,,157.4,WNW,yes,224.68,223.08,,Platte,,,,,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,157.4,SW,yes,927.8375,902.025,,Douglas,,,,CCARC,yes,On-Air,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,
449.625,-5,151.4,WA7SNU,Wheatland,WY,OPEN,,157.4,WNW,yes,449.625,444.625,151.4,Platte,,,,,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,159.3,WSW,yes,448.525,443.525,151.4,Boulder,,N0EPA,,CCARC,yes,On-Air,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,159.3,WSW,yes,147.27,147.87,100,Boulder,,Longmont ARC (LARC),"Closed autopatch, e-power, EchoLink.",CCARC,yes,On-Air,,,,,Wide area: Northern Colorado.,100,"Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,,,,http://w0eno.org/?q=node/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,159.3,WSW,yes,448.8,443.8,88.5,Boulder,,Longmont ARC,30,CCARC,yes,On-Air,,,,LARC: Sun at 20:00.,,88.5,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,160.6,W,yes,449.425,444.425,94.8,Larimer,,,,,yes,On-Air,,,,,,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,160.6,W,yes,927.875,902.875,D114,Larimer,,WA6IMI,,CCARC,yes,Off-Air,,,Down due to lightning strike. Scheduled to return end of June 2012.,,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,160.7,SW,yes,449.425,444.425,D023,Arapahoe,,K0PWO,,,yes,Off-Air,,,Colorado SNP (Shared non-protected pair),,,D023,,,,,,,,,,,,,,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,160.7,WSW,yes,448.5,443.5,100,Denver,,Castle Rock Repeater Group,E-power.,CCARC,yes,On-Air,,,,,Greater Denver area.,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,160.7,WSW,yes,448.4,443.4,94.8,Arapahoe,,,,CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,160.7,WSW,yes,448.275,443.275,156.7,Arapahoe,,W0BG,,CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,160.7,WSW,yes,448.825,443.825,,Arapahoe,,,,,yes,On-Air,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,30584,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,225.7,WM0L,Ainsworth,NE,OPEN,I,160.8,NE,yes,147.36,147.96,225.7,Brown,,WM0L,WX radio with alerts.,,yes,On-Air,,3142,100,Nebraska IRLP Net Sunday night at 8:30 pm local time on 9875 reflector,Coverage not as good to the South.  30 mi radius.,225.7,Full-time to the  Nebraska Hub System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,161,WSW,yes,449.15,444.15,,Arapahoe,,Colorado Amateur Repeater Network (CARN),,CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,161.5,SW,yes,145.19,144.59,151.4,Arapahoe,,N0OBA,Autopatch (please contact trustee).,,yes,On-Air,10079,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)","Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,161.7,SW,yes,145.4,144.6,100,Arapahoe,,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,yes,On-Air,,,,,Greater Denver area.,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,162.1,W,yes,447.7,442.7,100,Larimer,,Northern Colorado Amateur Radio Club,,,yes,On-Air,,,,,Wide Area Coverage,100,"Linkable to  
        146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .
 


Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Full-time to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,http://ncarc.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,162.2,WSW,yes,147.045,147.645,123,Adams,,Northglenn RA,E-power.,CCARC,yes,On-Air,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,162.2,W,yes,146.625,146.025,100,Larimer,,Northern Colorado ARC,E-power.,CCARC,yes,On-Air,,,,,Wide area: Northern front range.,100,"Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Linkable to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,162.2,W,yes,224.84,223.24,100,Larimer,,Northern Colorado ARC,"E-power, 25 watts.",,yes,On-Air,,,,,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",100,"Full-time to  
        447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.205,-0.6,CSQ,KA0RCZ,Alma,NE,OPEN,,164.2,SE,yes,145.205,144.605,CSQ,Harlan,,,Linked to 444.625 Axtel.,WB0CMC,yes,On-Air,,,,,,CSQ,,,,,,http://w0ky.club/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,165,WSW,yes,146.76,146.16,100,Boulder,,Rocky Mtn VHF Soc,5,CCARC,yes,On-Air,,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,Wide area.,,,,,,Boulder County ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,165.7,WSW,yes,448.925,443.925,131.8,Boulder,,W0LMA,,CCARC,yes,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,165.7,WSW,yes,449.825,444.825,103.5,Boulder,,Rocky Mountain Radio League,6,CCARC,yes,On-Air,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Along the foothills and into Boulder where the 94 repeater is shadowed.,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,166,SW,yes,448.7,443.7,146.2,Douglas,,,,,yes,On-Air,,,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.225,-5,CC11,WY7EOC,"Laramie, Pilot Hill",WY,CLOSED,,166,W,yes,447.225,442.225,,Albany,,Laramie County EM,,WRCG,yes,On-Air,,,,,Wide area.,,,yes,11,,Wyoming DMR Project,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,Wyoming DMR Project,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,166.1,SSW,yes,449.9,444.9,107.2,Lincoln,,,,CCARC,yes,On-Air,,,,,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
