Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Affiliate,Links,Grid,Coverage,EchoLink,Web links,Notes,Nets,DMR Enabled,Color Code,Wide Network,IRLP,AllStar,Commands,D-STAR Enabled,Node,Sources,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,Wyoming,WyLOCAL,Worldwide,North America,English,Local/Cluster,Mountain Reg USA,Feed,Location Photo,Local Network,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English,DCI Bridge,N. Colorado,TAC 310,WIRES-X,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Europe,Local
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,50.8,SE,,447.1,442.1,107.2,Garfield,,Ski Country ARC,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,50.8,SE,,449.6,444.6,107.2,Garfield,,,e-power Linked to GMRA open system,CCARC,,,On-Air,,,,Wide area.,,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,50.8,SE,,146.85,146.25,88.5,Garfield,,Colorado Connection,70,CCARC,,123,On-Air,,,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,54.3,SE,,147.39,147.99,107.2,Garfield,,Roaring Fork Amateur Repeater Cooperative,,,,,On-Air,,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,54.3,SE,,449.725,444.725,179.9,Garfield,,Roaring Fork Amateur Repeater Cooperative (RFARC),EchoLink.,CCARC,,,On-Air,,,,Wide area.,,,,,,,,3722,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,55.1,S,,449.5,444.5,107.2,Mesa,,Grand Mesa Repeater Association (GMRA),E-power.,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,60.6,SE,,447.15,442.15,136.5,Garfield,,,,,,,On-Air,,,,,8150,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,63.5,WSW,,447,442,107.2,Garfield,,,8,CCARC,,,On-Air,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,64.8,E,,147.165,147.765,88.5,Routt,,Colorado Connection,,,,123,On-Air,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,64.8,E,,449.625,444.625,123,Routt,,"Colorado Connection Repeaters, Inc.",Statewide Linked System,,,123,On-Air,,,,Local Steamboat Area,,http://colcon.org,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,64.9,E,,147.21,147.81,107.2,Routt,,SSARC,"Linked, WX.",CCARC,,107.2,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,67.1,S,,449.65,444.65,151.4,Mesa,,Keri Washburn,NWS weather alert system.,CCARC,,151.4,On-Air,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,Wide area coverage,,,,,,,,8162,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,67.1,S,,145.355,144.755,88.5,Mesa,,Colorado Connection,E-power.,CCARC,,123,On-Air,,Full-time to the  Colorado Connection System .,,"Rifle to the east, several miles east of Green River, Utah to the west.",,,Colorado Connection system of repeaters,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,67.6,SSW,,446.9125,441.9125,,Mesa,,Bill Frost,,,,,On-Air,,,,"Grand Junction, I70",,,Brandmeister network,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,136.5,W7BYU,Vernal,UT,OPEN,,68.7,WNW,,449.7,444.7,136.5,Uintah,Unknown,W7BYU,8,UVHFS,,,,,,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,136.5,W7BYU,Roosevelt,UT,OPEN,E,68.8,WNW,,146.92,146.32,136.5,Duchesne,,,E-power.,UVHFS,,,Off-Air,,,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",458695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,136.5,W7BAR,"Vernal, Blue Mountain",UT,OPEN,EI,68.8,WNW,,147.1,147.7,136.5,Uintah,,""">Borderline ARC","Autopatch, e-power.",UVHFS,,,On-Air,,"Full-time to  
        147.34000 (KG7DSO) at Vernal, Tabby Mountain, UT .",,"Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",458414,,8,,,,,3577,,"IRLP: No access code, bring up your node by it's node no. and bring it down with a 73.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,70.3,SSW,,449.3,444.3,107.2,Mesa,,,e-power Linked to GMRA Open System,CCARC,,107.2,On-Air,,,,Wide Area I-70 West Rifle to Western Utah,,http://www.gmra.org/,Closed IRLP out,RACES Wed 1930 hrs,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,71.4,SSW,,145.175,144.575,107.2,Mesa,,,"E-power,",CCARC,,,On-Air,,,,Greater grand Junction area.,,,,,,,,3161,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,72.1,S,,447.35,442.35,107.2,Delta,Unknown,Grand Mesa Repeater Assoc (GMRA),,CCARC,,,,,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,75.3,SSW,,147.39,147.99,107.2,Mesa,Unknown,KE0TY,Linked.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,75.3,SSW,,146.82,146.22,107.2,Mesa,,,,CCARC,,,On-Air,,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,28515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,75.4,SSW,,145.22,144.62,107.2,Mesa,Unknown,KE0TY,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,75.4,SSW,,447.5,442.5,114.8,Mesa,Unknown,KC0ARV,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,75.4,SSW,,449.775,444.775,173.8,Mesa,,,,CCARC,,88.5,On-Air,,,,,7572,,,,,,,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,75.4,SSW,,147.105,147.705,,Mesa,,K0SSI,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,75.4,SSW,,449,444,,Mesa,,KB0SW,,CCARC,,107.2,On-Air,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,75.4,SSW,,446.775,441.775,,Mesa,,,,,,,On-Air,,,,,,,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,76.4,SSW,,147.355,146.755,88.5,Mesa,,Colorado Connection,,CCARC,,123,On-Air,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,77.1,SE,,146.67,146.07,107.2,Pitkin,,Ski Country ARC,Linked.,CCARC,,,On-Air,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,136.5,W7BAR,"Vernal, Uintah County EOC",UT,OPEN,I,77.6,W,,449.9,444.9,136.5,Uintah,Unknown,Borderline Amateur Radio Club,,,,,,,,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,78.5,S,,147.195,147.795,107.2,Delta,Unknown,,,,,,,Colorado District 25 ARES,,,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,78.5,S,,449.825,444.825,100,Delta,Unknown,W0ALC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,78.5,S,,147.36,147.96,100,Delta,Unknown,W0ALC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,80.5,SW,,146.94,146.34,107.2,Mesa,,Western Colorado Amateur Radio Club,E-power and autopatch for WCARC members,CCARC,,107.2,On-Air,,,,Grand Junction 30-50 mi,,http://w0rrz.org,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,80.5,SW,,449.575,444.575,131.8,Mesa,,,e-power. Linked to GMRA Open System,CCARC,,131.8,On-Air,Grand Mesa Repeater Assoc,,,Grand Junction,,GMRA Repeaters,Closed IRLP out,Wed RACES Net 1930 Hrs,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,80.7,ESE,,147.075,147.675,88.5,Grand,,Colorado Connection,,CCARC,,123,On-Air,,Full-time to the  Colorado Connection System .,,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,,,Part of the Colorado Connection system of Repeaters,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,81.6,SE,,147.345,147.945,88.5,Eagle,,Colorado Connection,9,CCARC,,123,On-Air,,Full-time to the  Colorado Connection System .,,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,,,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,82.6,SE,,445.075,440.075,,Eagle,,K2AD,,CCARC,,,On-Air,Rocky Mountain Ham Radio,,,,,http://www.rmham.org/,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,82.6,SSE,,147.33,147.93,107.2,Delta,,North Fork Repeater Assoc.,,CCARC,,,On-Air,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,82.9,SE,,447.05,442.05,136.5,Pitkin,,Roaring Fork Amateur Repeater Cooperative,,CCARC,,136.5,On-Air,,,,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,84.6,SSW,,448.15,443.15,100,Mesa,,,,CCARC,,,On-Air,,,,,312189,,,,,,,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,86.1,SE,,449.9,444.9,107.2,Eagle,,ECHO,,CCARC,,107.2,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,86.1,SE,,224.8,223.2,,Eagle,,ECHO,,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,87.8,SE,,146.61,146.01,107.2,Eagle,,ECHO,11,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,91,E,,145.16,144.56,88.5,Jackson,,Colorado Connection,8,CCARC,,123,On-Air,,Full-time to the  Colorado Connection System .,,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",,,Part of the Colorado Connection system of repeaters.,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,136.5,W7BAR,"Vernal, Grizzly Ridge",UT,OPEN,,95.8,WNW,,147.04,147.64,136.5,Uintah,,Borderline ARC,E-power.,UVHFS,,,On-Air,,Full-time to the  Sinbad Desert (SDARC) System .,,"Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,136.5,K7HEN,"Vernal, Grizzly Ridge",UT,OPEN,,96.4,WNW,,145.49,144.89,136.5,Uintah,,"W7BYU,  Borderline ARC","Autopatch, 8,506', linked to (147.320).",UVHFS,,,On-Air,,,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,101.9,SE,,147.24,147.84,156.7,Lake,,,,CCARC,,156.7,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,104.4,ESE,,146.82,146.22,123,Grand,Unknown,GCARA,E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,104.4,ESE,,446.875,441.875,,Clear Creek,,,,,,,On-Air,RMHAM,,,,,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,105.7,SE,,145.445,144.845,88.5,Lake,,Colorado Connection,E-power (solar).,CCARC,,,On-Air,,Full-time to the  Colorado Connection System .,,,,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,106.4,SE,,445.05,440.05,,Lake,,K2AD,,CCARC,,,On-Air,Rocky Mountain Ham Radio,,,,,http://www.rmham.org/,,,,7,,,,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,106.7,SE,,146.7,146.1,107.2,Summit,,GRARC,E-power.,CCARC,,,On-Air,,,,,,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,107.7,S,,146.79,146.19,107.2,Montrose,,KC0UXX,E-power.,CCARC,,107.2,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,107.7,S,,146.91,146.31,107.2,Montrose,,,E-Power,CCARC,,107.2,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,108.3,SSW,,449.4,444.4,131.8,Mesa,,"WA4HND,  Grand Mesa Repeater Association",E-power.,CCARC,,131.8,On-Air,,Full-time to the  GMRA Open System .,,Wide area via links - Western Colorado - Eastern Utah,,http://www.gmra.org,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,110.2,SE,,445.0875,440.0875,,Fremont,,K2AD,,,,,On-Air,Rocky Mountain Ham Radio,,,,,http://www.rmham.org/,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
