Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Links,EchoLink,IRLP,Coordination,Last update,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Features,Mixed-Mode,Notes,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Grid,Web links,AllStar,Nets,Talkgroups,Colorado,Denver Regional,On-air,Commands,Feed,Southern Colorado,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,Northern Colorado,Location Photo,Talkgroup Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,English,Texas,COMM 1,Texas/Oklahoma Regional USA,Kansas,Bandwidth,Local or Reflector,CKRG,KansasLink,Wyoming,WyLOCAL
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,96.2,W,yes,447.95,442.95,88.5,,Pueblo,On-Air,Wide area.,Pueblo Ham Club,,,,CCARC,yes,,,,,E-power.,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,141.3,WA0OQA,Scott City,KS,OPEN,A,97.5,ESE,yes,146.7,146.1,141.3,141.3,Scott,On-Air,"Scott, Finney and Kearny counties",Sand Hills ARC,"Full-time to  
        146.91000 (WA0OQA) at Garden City, KS .",,,Kansas Repeater Council,yes,yes,Open ↑ / Open ↓,,,E-power.,Yes; analog capable.,Comet GP-6 @ 125'.,,,,,,,DM98,,48589,Tue at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,97.6,WSW,yes,449.975,444.975,100,100,Pueblo,On-Air,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",K0JSC,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",363976,7301,CCARC,yes,,,,,2,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,,,,,,,DM78SA18,K0JSC dot Com,28368,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,K0ECT,Ulysses,KS,OPEN,,99.4,SE,yes,147.06,147.66,,,Grant,On-Air,Local,SKECT,,,,Kansas Repeater Council,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,100.2,W,yes,146.655,146.055,123,CSQ,Pueblo,On-Air,,K0ST,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,100.2,W,yes,447.7,442.7,210.7,210.7,Pueblo,Off-Air,,,,,7389,CCARC,yes,,,,,,Yes; analog capable.,,,,,yes,0,,,,29228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,100.2,W,yes,449.725,444.725,100,,El Paso,On-Air,,N0PWZ,,,3043,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,100.2,W,yes,145.115,144.515,88.5,,Pueblo,Off-Air,,Pueblo Ham Club,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,100.2,W,yes,146.88,146.28,88.5,CSQ,Pueblo,On-Air,Wide area.,Pueblo HC,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,100.3,W,yes,147,147.6,,,Pueblo,On-Air,,Carl Higbee,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,W0MI,"Scott City, K-Link",KS,OPEN,I,100.5,ESE,yes,444.95,449.95,100,100,Scott,On-Air,Click for coverage map.  35 mi radius.,SHARC,Full-time to the  K-Link System .,,7356,,yes,,,,,"Linked to K-Link Repeater Network 
IRLP node 7356.",,"IRLP direct dial, 73 to disconnect. 
Please return to 9335 when finished.",,,,,,,,http://ks0lnk.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,100.6,W,yes,446.9875,441.9875,,,Pueblo,Off-Air,,,Full-time to the  Colorado TRBO System .,,,CCARC,yes,,,,RMHAM,,,,,,,yes,6,,,Rocky Mountain Ham Radio,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,100.6,W,yes,447.275,442.275,100,100,Pueblo,On-Air,,,Full-time to the  The Fun Machine System .,,,CCARC,yes,,,,The Fun Machine,,,"Moved to Pueblo.  Now called ""Pueblo Metro""",,,,,,,,The Fun Machine,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,100.6,W,yes,147.24,147.84,103.5,CSQ,Pueblo,Off-Air,Pueblo and Fremont Counties,TARA,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,141.3,K0ECT,Elkader,KS,OPEN,,102.6,E,yes,444.3,449.3,141.3,141.3,Logan,On-Air,,SKECT,Full-time to the  SKECT System .,,,Kansas Repeater Council,yes,,,,,E-power.,,,,,,,,,,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,103.3,WSW,yes,146.73,146.13,88.5,,Huerfano,On-Air,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",Pueblo Ham Club,,,,CCARC,yes,,,,,6,,,,,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,103.4,WNW,yes,447.2,442.2,,,El Paso,Testing,"Falcon, Black Forest, Peyton Areas",GGARC,,,,,yes,yes,Open ↑ / Open ↓,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,105.8,WNW,yes,447.625,442.625,100,100,El Paso,On-Air,,KD0MDP,Full-time to the  The Fun Machine System .,363976,7301,,yes,,,,The Fun Machine,Linked.,,,,,,,,,,,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,106.4,W,yes,448.975,443.975,100,100,Pueblo,On-Air,,,Full-time to the  The Fun Machine System .,363976,7301,CCARC,yes,,,,,,,Off air.  Will return to service,,,,,,,,http://www.k0jsc.com,28368,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.525,5,141.3,K0ECT,"Ulysses, Wagon Bed Springs",KS,OPEN,,108.5,SE,yes,444.525,449.525,141.3,141.3,Grant,On-Air,,SKECT,Full-time to the  SKECT System .,,,Kansas Repeater Council,yes,,,,,E-power.,,,,,,,,,,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,141.3,WA0OQA,Garden City,KS,OPEN,A,109.4,SE,yes,146.91,146.31,141.3,141.3,Finney,On-Air,"Finney, Scott and Kearney counties.",Sand Hills ARC,"Full-time to  
        146.70000 (WA0OQA) at Scott City, KS .",,,Kansas Repeater Council,yes,,,,,E-power.,,Linked full time to Scott City 146.700 and Lakin 146.985 repeaters.,,,,,,,,,48588,Tue at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.5,5,141.3,K0ECT,"Garden City, Tennis",KS,OPEN,I,109.6,ESE,yes,442.5,447.5,141.3,141.3,Finney,On-Air,,SKECT,Full-time to the  SKECT System .,,3885,Kansas Repeater Council,yes,,,,,E-power.,,,,,,,,,,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,110.5,NE,yes,444.75,449.75,162.2,162.2,Thomas,,"Wide area. 
 Click for coverage map.  50 mi radius.",,,,,Kansas Repeater Council,yes,,,,K-Link Repeater Network,"Linked to K-Link Repeater Network 
E-power (batt) 
Allstar 46010",,"Repeater is intermittently off-air, and the Allstar node is down.",,,,,,,,K-Link Repeater Network,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,111.3,NE,yes,146.82,146.22,156.7,156.7,Thomas,On-Air,Local,TARC,,,7552,Kansas Repeater Council,yes,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,111.7,WNW,yes,147.135,147.735,100,,El Paso,On-Air,,AA0L,,,,CCARC,yes,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,141.3,K0ECT,Colby,KS,OPEN,,112.1,NE,yes,444.4,449.4,141.3,,Thomas,On-Air,,,Full-time to the  SKECT System .,,,Kansas Repeater Council,yes,,,,,,,"Repeater has zero hang-time, which gives the appearance that it's down.  It does work!",,,,,,,,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,112.6,WNW,yes,224.72,223.12,103.5,103.5,El Paso,On-Air,Local,w0mog,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,112.7,WNW,yes,449.575,444.575,,,El Paso,On-Air,,RMHARC,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,112.7,WNW,yes,448.3,443.3,100,,El Paso,On-Air,,AA0L,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,112.7,WNW,yes,447.35,442.35,151.4,,El Paso,On-Air,,GGARC,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,112.7,WNW,yes,224.06,222.46,,,El Paso,,Wide area.,Pikes Peak FM Association (PPFMA),,,,CCARC,yes,,,,,"E-power, linked.",,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,112.7,WNW,yes,447.025,442.025,123,,El Paso,Off-Air,,Colorado Springs ARA,,,,CCARC,yes,,,,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,112.7,WNW,yes,448.25,443.25,123,,El Paso,Off-Air,Colorado Springs,,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,112.7,WNW,yes,447.475,442.475,107.2,,El Paso,,,Mountain ARC (MARC),"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,CCARC,yes,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,MARC/PCRC: Tue at 1930.,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,112.7,WNW,yes,448.6,443.6,114.8,,El Paso,,,W0MOG,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,112.7,WNW,yes,927.8,902.8,D116,,Teller,On-Air,,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,CCARC,yes,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,112.7,WNW,yes,447.55,442.55,123,,El Paso,On-Air,,WA6IFI,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,112.8,WNW,yes,147.27,147.87,,,El Paso,On-Air,,TRA,,,,,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,112.8,WNW,yes,146.91,146.31,151.4,151.4,El Paso,On-Air,,GGARC,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,112.8,WNW,yes,147.39,147.99,103.5,,El Paso,On-Air,,W0MOG,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,112.8,WNW,yes,146.85,146.25,103.5,,El Paso,On-Air,,W0RSH,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,113.5,W,yes,448.725,443.725,123,,El Paso,On-Air,,KA0TTF,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,113.8,W,yes,145.13,144.53,88.5,123,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,Full-time to the  Colorado Connection System .,,,CCARC,yes,,,,,9,,Linked into the Colorado Connection System,,,,,,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,113.8,W,yes,145.375,144.77,,,El Paso,Off-Air,wide area,Cheyenne Mountain Repeater Group (CMRG),,,,CCARC,yes,,,,,,,Repeater off air for now.,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
