Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Op Status,Affiliate,Web links,Downlink Tone,Coverage,Links,Notes,Nets,EchoLink,IRLP,Commands,Local Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Feed,AllStar,D-STAR Enabled,Node,Sources,P25 Digital Enabled,NAC,Default Reflector,Grid,Mixed-Mode,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,YSF Digital Enabled,DG-ID,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Worldwide,English,TAC 310,Mountain Reg USA,WIRES-X,Wyoming,WyLOCAL,Location Photo
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,42.2,SE,yes,446.9375,441.9375,,Clear Creek,,Rocky Mountain Ham Radio,,CCARC,yes,yes,7,,On-Air,,Rocky Mountain Ham Radio,,,Full-time to the  Colorado TRBO System .,See the website for programming information.,,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,42.2,SE,yes,146.94,146.34,103.5,Clear Creek,,Rocky Mtn Radio League,11,CCARC,yes,,,,On-Air,,Repeater,103.5,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.","Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,Autopatch: 911* / Off 0*.,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,42.2,SE,yes,448.225,443.225,141.3,Clear Creek,,Rocky Mountain Ham Radio,E-power(gen).,CCARC,yes,,,,On-Air,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,42.3,SE,yes,447.575,442.575,107.2,Clear Creek,,Colorado Repeater Association (CRA),,CCARC,yes,,,,On-Air,,http://www.w0cra.org,107.2,Wide area: Denver metro.,,,,347088,3291,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,42.3,SE,yes,449.35,444.35,100,Clear Creek,,Denver Radio Club,11,CCARC,yes,,,,On-Air,,DRC Repeaters,100,Wide area.,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,42.3,SE,yes,145.145,144.545,107.2,Clear Creek,,Colorado Repeater Assoc,E-power.,CCARC,yes,,,,On-Air,,http://www.w0cra.org/info/squaw.html#145145,107.2,Wide area. Denver metro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,42.3,SE,yes,145.49,144.89,100,Jefferson,,"KB0VIU,  Denver Radio Club",E-power.,CCARC,yes,,,,On-Air,,DRC Repeaters,100,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,42.3,SE,yes,146.67,146.07,100,Clear Creek,,Castle Rock Repeater Group,11,CCARC,yes,,,,On-Air,,,100,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,42.3,SE,yes,449.45,444.45,103.5,Clear Creek,,Rocky Mountain Radio League,11,CCARC,yes,,,,On-Air,,Repeater,127.3,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,42.4,NNW,yes,145.16,144.56,88.5,Jackson,,Colorado Connection,8,CCARC,yes,,,,On-Air,,,123,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters.,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,42.5,SE,yes,448.675,443.675,100,Denver,,W0CFI,,CCARC,yes,,,,On-Air,,,100,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,42.6,SE,yes,147.3,147.9,103.5,Clear Creek,,Denver PD EEB,,CCARC,yes,,,,On-Air,,,103.5,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,42.8,SE,yes,447.85,442.85,141.3,Clear Creek,,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,CCARC,yes,,,,On-Air,Rocky Mountain Ham Radio,,141.3,Wide area at 9500',,,,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,42.9,S,yes,445.0875,440.0875,,Fremont,,K2AD,,,yes,yes,7,,On-Air,Rocky Mountain Ham Radio,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,43.1,SE,yes,449,444,136.5,Clear Creek,,CARN,,CCARC,yes,,,,On-Air,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,44,S,yes,147.39,147.99,88.5,Summit,,Colorado Connection,12,CCARC,yes,,,,On-Air,,Breckenridge Repeater,123,Wide area.,Full-time to the  Colorado Connection System .,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,44.1,ESE,yes,146.7,146.1,100,Boulder,,Boulder Co ARC,6,CCARC,yes,,,,On-Air,,BARC Repeaters,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,44.2,ESE,yes,446.8,441.8,,Boulder,,Rocky Mountain Ham Radio,,CCARC,yes,yes,7,,On-Air,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,,Wide area.,Full-time to the  Colorado TRBO System .,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,44.2,ESE,yes,446.8625,441.8625,,Boulder,,Boulder County ARES,,CCARC,yes,,,,On-Air,,,,,,,,,,,,,,,,,,,,yes,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,44.2,ESE,yes,1299.5,1279.5,,Boulder,,Boulder County ARES,E-power.,CCARC,yes,,,,On-Air,,,,,,,,,,,,,,,,,,,,yes,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,44.2,ESE,yes,449.4,444.4,91.5,Boulder,,BARC,2,CCARC,yes,,,,Off-Air,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,44.2,ESE,yes,449.55,444.55,100,Boulder,,Rocky Mtn VHF Soc,8,CCARC,yes,,,,On-Air,,,,Denver metro area.,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,44.3,ESE,yes,146.61,146.01,100,Boulder,,Boulder Amateur Radio Club,,CCARC,yes,,,,Off-Air,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,44.3,ESE,yes,448.9,443.9,100,Boulder,,Boulder ARC,6,CCARC,yes,,,,On-Air,,,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,44.4,SE,yes,446.7875,441.7875,,Jefferson,,Denver Radio Club,,CCARC,yes,yes,1,,On-Air,Brandmeister Network,http://www.w0tx.org/,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,44.4,SE,yes,927.8375,902.025,,Jefferson,,,,CCARC,yes,,,,On-Air,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,The offset is -25.8125,,,,,,,,,,,,,45770,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,45.2,SE,yes,146.985,146.385,100,Denver,,El Jebel RADOPS,E-power.,CCARC,yes,,,,On-Air,,,100,,,,RADOPS: Sun at 19:00.,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,45.2,SE,yes,145.28,144.68,100,Jefferson,,,"Closed autopatch, e-power, linked.",CCARC,yes,,,,On-Air,,Intermountain Repeater Group,,Wide area.,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,45.2,SE,yes,449.525,444.525,CSQ,Jefferson,,KE0SJ,E-power.,CCARC,yes,,,,On-Air,,Intermountain Repeater Group,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,45.2,SE,yes,146.64,146.04,100,Jefferson,,Denver Radio League,E-power.,CCARC,yes,,,,On-Air,,DRL Repeaters,,"Wide area. 
   Repeater Coverage Map",,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,45.3,SE,yes,448.625,443.625,100,Jefferson,,Denver Radio Club,E-power.,CCARC,yes,,,,On-Air,,DRC Repeaters,100,Denver metro area.,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,45.5,ESE,yes,146.73,146.13,91.5,Boulder,,BARC,12,CCARC,yes,,,,Off-Air,,http://www.ked-wireless.com/products1.htm,91.5,Local,,,,115482,,,,,,,,,,,,,,,,,,DN70jb,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,45.8,SE,yes,224,222.4,103.5,Jefferson,,Rocky Mountain Radio League,8,CCARC,yes,,,,On-Air,,Repeater,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,45.8,SE,yes,147.15,147.75,100,Jefferson,,Aurora Repeater Assoc (ARA),e-power,CCARC,yes,,,,On-Air,,ARA Repeaters,100,"Denver metro, central front range","Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,45.8,SE,yes,448.85,443.85,88.5,Jefferson,,Aurora Repeater Assoc,e-power.,CCARC,yes,,,,On-Air,,ARA Repeaters,88.5,"Denver metro, central front range",,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,45.9,SE,yes,449.75,444.75,103.5,Jefferson,,Rocky Mtn Radio League,8,CCARC,yes,,,,On-Air,,Repeater,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,45.9,SE,yes,145.22,144.62,103.5,Jefferson,,Rocky Mtn Radio League,8,CCARC,yes,,,,On-Air,,Repeater,103.5,Wide area.,,Talk-Group of $FFFF.,,,,,,,,,,,,,,,,,yes,293,yes,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,45.9,SE,yes,224.74,223.14,88.5,Jefferson,,Aurora Repeater Assoc,e-power,CCARC,yes,,,,On-Air,,ARA Repeaters,88.5,,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,46.2,ESE,yes,1283.8625,1263.8625,,Boulder,,Boulder County ARES,E-power.,CCARC,yes,,,,On-Air,,,,20,,,,,,,,,,,,,,,,yes,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,46.2,ESE,yes,145.3875,144.7875,,Boulder,,Boulder County ARES,E-power.,CCARC,yes,,,,On-Air,,http://bouldercountyares.org/technical/d-star,,20,,,,,,,,,,,,,,,,yes,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,47.8,NW,yes,147.21,147.81,107.2,Routt,,SSARC,"Linked, WX.",CCARC,yes,,,,On-Air,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
