Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Sponsor,Features,Mixed-Mode,Last update,EchoLink,IRLP,AllStar,Nets,Web links,Coordination,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Denver Regional,Affiliate,Notes,Downlink Tone,Commands,Links,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,On-air,Northern Colorado,Worldwide,North America,Local/Cluster,Feed,Southern Colorado,Talkgroup Network,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,English,Wyoming,WyLOCAL
446.85,-5,,K0PRA,Franktown,CO,OPEN,,66.9,WNW,,446.85,441.85,,,,,Douglas,,On-Air,,Parker Radio Association,D-Star B module,,,,,,,http://parkerradio.org,CCARC,,,,,,,,,,,,,,,,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,69.4,WNW,,445.075,440.075,,,,,Douglas,,On-Air,,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,,,,,Mondays 20:30 MST,http://www.parkerradio.org,CCARC,,1,,,,,,Mixed Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC7,W0FT,Akron,CO,OPEN,,72.1,N,,448.175,443.175,,,,,Morgan,,On-Air,,W0FT,,,,,,,,http://www.rmham.org/,CCARC,,7,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,72.1,N,,145.4,144.8,88.5,,,,Washington,,On-Air,Northeastern plains of Colorado.,Colorado Connection,,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,CCARC,,,,,,,,Part of the Colorado Connection system of repeaters,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,73.2,WSW,,224.72,223.12,103.5,,,,El Paso,,On-Air,Local,w0mog,,,,,,,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,74.3,WSW,,147.135,147.735,100,,,,El Paso,,On-Air,,AA0L,6,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,75.2,W,,447.725,442.725,100,,,,El Paso,,On-Air,Local.,K0NR,30,,,,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,75.2,WNW,,449.425,444.425,D023,,,,Arapahoe,,Off-Air,,K0PWO,,,,,,29791,,,,,,,,,,,Colorado SNP (Shared non-protected pair),D023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,75.3,WNW,,145.4,144.6,100,,,,Arapahoe,,On-Air,Greater Denver area.,Castle Rock Repeater Group,"Autopatch, e-power.",,,,,,,,CCARC,,,,,,,,,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,75.4,WSW,,146.91,146.31,151.4,,,,El Paso,,On-Air,,GGARC,E-power.,,,,,,,,CCARC,,,,,,,,,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,75.4,WSW,,146.85,146.25,103.5,,,,El Paso,,On-Air,,W0RSH,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,75.4,WSW,,147.39,147.99,103.5,,,,El Paso,,On-Air,,W0MOG,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,75.4,WSW,,147.27,147.87,,,,,El Paso,,On-Air,,TRA,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,75.5,WSW,,927.8,902.8,D116,,,,Teller,,On-Air,,,6,,,,,,,,CCARC,,,,,,,,,,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,75.5,WSW,,448.25,443.25,123,,,,El Paso,,Off-Air,Colorado Springs,,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,75.5,WSW,,448.6,443.6,114.8,,,,El Paso,,,,W0MOG,,,,,,,,,CCARC,,,,,,,,,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,75.5,WSW,,447.025,442.025,123,,,,El Paso,,Off-Air,,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,75.5,WSW,,224.06,222.46,,,,,El Paso,,,Wide area.,Pikes Peak FM Association (PPFMA),"E-power, linked.",,,,,,,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,75.5,WSW,,449.575,444.575,,,,,El Paso,,On-Air,,RMHARC,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,75.5,WSW,,447.475,442.475,107.2,,,,El Paso,,,,Mountain ARC (MARC),"Closed autopatch, e-power.",,,,,,MARC/PCRC: Tue at 1930.,,CCARC,,,,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,75.5,WSW,,448.3,443.3,100,,,,El Paso,,On-Air,,AA0L,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,75.5,WSW,,447.35,442.35,151.4,,,,El Paso,,On-Air,,GGARC,E-power.,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,75.5,WSW,,447.55,442.55,123,,,,El Paso,,On-Air,,WA6IFI,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,76.5,WNW,,448.7,443.7,146.2,,,,Douglas,,On-Air,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,76.7,WNW,,145.19,144.59,151.4,,,,Arapahoe,,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,Autopatch (please contact trustee).,,,10079,,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,77.1,WNW,,447.525,442.525,203.5,,,,Douglas,,On-Air,"Denver metropolitan area, front range foothills",EmComm Colorado,,,,,,,,,CCARC,,,,,,,Colorado ARES,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,77.8,SW,,146.79,146.19,88.5,,,,Pueblo,,On-Air,Wide area.,Pueblo HC,E-power.,,,,,,,Pueblo Ham Club,CCARC,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,77.8,SW,,447.95,442.95,88.5,,,,Pueblo,,On-Air,Wide area.,Pueblo Ham Club,E-power.,,,,,,,Pueblo Ham Club,CCARC,,,,,,,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,77.8,SW,,224.26,222.66,88.5,,,,Pueblo,,Off-Air,Wide area.,Pueblo Ham Club,E-power.,,,,,,,PHC repeaters,CCARC,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,78.1,W,,145.19,144.59,131.8,,,,Douglas,,On-Air,Wide area coverage at 8300,N0OBA Owner,,,,10079,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,78.1,WSW,,448.725,443.725,123,,,,El Paso,,On-Air,,KA0TTF,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,78.6,S,,147.36,147.96,,,Open ↑ / Open ↓,11360,Otero,,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,E-power,Yes; analog capable.,,,,,,,,,,,,,,KC0ITF,Digital Wires-X,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC0,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,,78.6,S,,446.75,441.75,,,Open ↑ / Open ↓,,Otero,,On-Air,La Junta,,E-power.,,,,,,,,,,0,,,,,KC0ITF,Please use Busy Channel LockOut,,,,,,,,KC0ITF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC7,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,79,NNW,,448.2,443.2,,,,,Morgan,,On-Air,,,Mixed Mode,,,,,,,Rocky Mountain Ham Radio,CCARC,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,NEAHR,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,,Full-time to the  Colorado TRBO System .,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,79.5,WSW,,53.13,51.43,107.2,,,,El Paso,,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,http://www.cmrg.org,CCARC,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,79.5,WSW,,446.9125,441.9125,,,,,El Paso,,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,79.5,WSW,,445.0625,440.0625,,,,,El Paso,,Off-Air,,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,,,,,,,,CCARC,,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,79.5,WSW,,927.85,902.85,D114,,,,Teller,,On-Air,,CMRG,9,,,,,,,http://www.cmrg.org,CCARC,,,,,,,,,,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,79.5,WSW,,145.13,144.53,88.5,,,,El Paso,,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,9,,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,CCARC,,,,,,,,Linked into the Colorado Connection System,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,79.6,WNW,,449.95,444.95,77,,,,Douglas,,On-Air,Primarily to the North along I-25 corridor,W9SL Owner,,,,,,,,,CCARC,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,79.6,WSW,,145.375,144.77,,,,,El Paso,,Off-Air,wide area,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,http://www.cmrg.org,CCARC,,,,,,,,Repeater off air for now.,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,80.6,WSW,,145.16,144.56,107.2,,,,El Paso,,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.",,,347086,3990,,,http://www.w0cra.org/info/cosprgs.html#145160,CCARC,,,,,,,CRA VHF Link System,Switch to this repeater at mile marker 170 on I-25.,107.2,,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,80.6,WSW,,147.345,147.945,107.2,,,,El Paso,,On-Air,Wide area.,,"Closed autopatch, e-power.",,,,3854,,,http://www.cmrg.org/,CCARC,,,,,,,,,107.2,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,80.7,WSW,,448.1,443.1,107.2,,,,El Paso,,On-Air,Wide area.,,"Closed autopatch, e-power.",,,,,,,CMRG Repeaters,CCARC,,,,,,,,,107.2,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,80.7,WSW,,448,443,107.2,,,,El Paso,,On-Air,,,,,,,,,,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,80.7,WSW,,146.76,146.16,107.2,,,,El Paso,,On-Air,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",,,,,,,,CCARC,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,81.3,WNW,,449.15,444.15,,,,,Arapahoe,,On-Air,,Colorado Amateur Repeater Network (CARN),,,,,,,,,CCARC,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,82,NW,,448.15,443.15,141.3,,,,Denver,DM79pt,On-Air,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",K0GUR,E-power (batt).  2 meter and 70cm channel steerable remote bases.,,,24340,,29436,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",k0jsc.com,CCARC,,,,,,,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,141.3,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,82.6,WSW,,145.265,144.665,100,,Open ↑ / Open ↓,,El Paso,,Off-Air,Local. Good coverage of I25 in Colorado Springs.,Pikes Peak FM Association,"Closed autopatch, e-power.",Yes; analog capable.,,,,,,PPFMA Repeaters,CCARC,,,,,,,,Repeater has been moved.,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,82.6,WSW,,448.8,443.8,100,,Open ↑ / Open ↓,,El Paso,,Off-Air,,Pikes Peak FM Assoc,,Yes; analog capable.,,,,,,PPFMA Repeaters,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,83.4,WNW,,448.275,443.275,156.7,,,,Arapahoe,,On-Air,,W0BG,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,83.4,WNW,,448.5,443.5,100,,,,Denver,,On-Air,Greater Denver area.,Castle Rock Repeater Group,E-power.,,,,,,,,CCARC,,,,,,,,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,83.4,WNW,,448.825,443.825,,,Open ↑ / Open ↓,30584,Arapahoe,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,83.4,WNW,,448.4,443.4,94.8,,,,Arapahoe,,On-Air,,,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,83.8,W,,147.225,147.825,107.2,,,,Douglas,,On-Air,Wide area,Colorado Repeater Association (CRA),Closed autopatch,,,347086,3990,,"CRA Net, Sunday 9AM",Colorado Repeater Association,CCARC,,,,,,,CRA VHF Link System,,107.2,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,83.8,W,,448.425,443.425,107.2,,,,Douglas,,On-Air,Wide area,Colorado Repeater Association (CRA),,,,,,,,http://www.w0cra.org,,,,,,,,ARESDEC,,107.2,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,83.8,W,,449.975,444.975,100,,,,Douglas,,On-Air,,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,,,,,,,The Fun Machine,CCARC,,,,,,,The Fun Machine,"Can be linked to Allstar, Echolink and others by a Sysop",100,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,84.4,SW,,147,147.6,,,,,Pueblo,,On-Air,,Carl Higbee,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
