Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,Coverage,EchoLink,IRLP,Notes,Nets,DMR Enabled,Color Code,Wide Network,Affiliate,Web links,Downlink Tone,Links,Talkgroups,Colorado,Northern Colorado,Denver Regional,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Commands,WIRES-X,Grid,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,TAC 310,Mountain Reg USA,P25 Digital Enabled,NAC,Default Reflector,Feed,Worldwide,English,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,Wyoming,WyLOCAL,Southern Colorado,Bandwidth,Local or Reflector,CKRG,KansasLink,Kansas,Location Photo,BYRG
145.19,-0.6,,KB0DZB,Oberlin,KS,OPEN,,106.8,SE,,145.19,144.59,,Decatur,,TRI-STATE.,Linked.,Kansas Repeater Council,,On-Air,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,141.3,K0ECT,Colby,KS,OPEN,,107.2,SE,,444.4,449.4,141.3,Thomas,,,,Kansas Repeater Council,,On-Air,,,,"Repeater has zero hang-time, which gives the appearance that it's down.  It does work!",,,,,,http://skect.org/default.aspx,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,,N2VHZ,Alliance,NE,OPEN,E,108.3,NNW,,147.015,147.615,,Box Butte,,N2VHZ,,,,On-Air,Local.,775183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,103.5,N0NEB,Alliance,NE,OPEN,,109.9,NNW,,146.715,146.115,103.5,Box Butte,,TriCity,,,,On-Air,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,109.9,WNW,,147.165,147.765,114.8,Laramie,,Shy-Wy Amateur Radio Club,E-power.,WRCG,,On-Air,,,,,,,,,,,,"Full-time to  
        147.10500 (KC7SNO) at Cheyenne, North Park, WY .
 


Full-time to  
        146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC8,K0RTS,"Genoa, Limon",CO,OPEN,,110.3,SW,,446.7375,441.7375,,Lincoln,,K0RTS KC0VJD,,CCARC,,On-Air,"I-70  H-40  H-287  Arriba, Genoa, Hugo, Limon        50 mile radius",,,"Colorado on TG700 Slot 1
Denver on TG720 Slot 2",,,8,,RMHam,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,EIA,110.5,SW,,147.06,147.66,103.5,Lincoln,,BSARC,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",CCARC,,On-Air,"I-70, US-71, US-287, US-40, US-24",791116,3794,,Big Sandy Net: Wed 19:00,,,,,http://www.bigsandyradio.com/,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.445,0,88.5,AG0N,Scottsbluff,NE,OPEN,I,112.1,NW,,146.445,146.445,88.5,Scotts Bluff,,,,,,On-Air,,,3055,This is a simplex IRLP node. 147.285 rptr is down. 3055 is directly accessed on 146.445 w/88.5 tone. Controlled access. Contact AG0N for access. 147.435/123PL Scottsbluff node 8930 available 24/7 no access code.,,,,,,http://garymcduffie.com,88.5,,,,,,,,,,Access pre-fix = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.825,5,,W0KAV,Scottsbluff,NE,OPEN,,114.5,NW,,444.825,449.825,,Scotts Bluff,,W0KAV/KW0R,"Autopatch, e-power.",,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,,WD0BQM,Scottsbluff,NE,OPEN,,114.5,NW,,145.475,144.875,,Scotts Bluff,,RWMC,e-power.,,,On-Air,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,115.5,SW,,449.25,444.25,123,Elbert,,K0UPS Club c/o N1UPS,Full duplex node.,CCARC,,On-Air,"I-70 Limon, Co area.",3349,3349,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,,,,,,123,,,,,,,,,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,,N0NEB,Scottsbluff,NE,OPEN,,117.1,NW,,147.075,147.675,,Scotts Bluff,,Tri-City Radio Amateur Club,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.6,5,146.2,WA0VJR,Wallace,KS,OPEN,I,121.4,SSE,,444.6,449.6,146.2,Wallace,,WA0VJR,,,,On-Air,"US-40 
   Repeater Coverage Map",,3148,Dial 9335 to access K-Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,WB7GR,"Cheyenne, Chalk Bluffs",WY,OPEN,,121.9,WNW,,449.3,444.3,,Laramie,,WU7G,,,,On-Air,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1,0,100,WD0BQM,Mitchell,NE,OPEN,I,122.3,NW,,445.1,445.1,100,Scotts Bluff,,,,,,On-Air,,,3942,This is a simplex IRLP node.,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,122.8,SSW,,447,442,103.5,Lincoln,,Delbert Noakes (KC0VJD),APRS repeater &amp; I-Gate / Weather station,,,On-Air,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",,,,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,30534,DM89gb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,,W0SOK,Cozad,NE,OPEN,,125.6,ESE,,147.135,147.735,,Dawson,,Heartland Amateur Radio Association,E-power.,,,Off-Air,,,,,Wed 2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,126.6,W,,146.85,146.25,100,Weld,,Northern Colorado ARC,"E-power, WX.",CCARC,,On-Air,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,126.7,W,,449.725,444.725,127.3,Weld,,K0OJ,"Autopatch, WX.",CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,126.9,W,,449.325,444.325,,Weld,,Colorado Amateur Repeater Network (CARN),,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,Greeley,CO,OPEN,I,126.9,W,,147,147.6,100,Weld,,Weld ARS,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",CCARC,,On-Air,,,3839,,,,,,,,100,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,126.9,W,,448.475,443.475,100,Weld,,Weld Amateur Radio Society (WARS),,CCARC,,On-Air,,,3839,,,,,,,http://www.warsco.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,129.3,WSW,,449.925,444.925,114.8,Weld,,KD0RG,,CCARC,,On-Air,,448035,,,,,,,K0UPS Club,,114.8,,,,,,,,,,,,DN70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,133.3,WSW,,447.625,442.625,100,Adams,,Intermountain Repeater Group,,,,On-Air,Local/North Metro,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,133.3,SW,,147.105,147.705,107.2,Elbert,,ARES of Douglas and Elbert Counties,Linked to CRA 447.150 - Conifer,CCARC,,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties",,,,,,,,Colorado Repeater Association,http://www.w0cra.org/,107.2,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,,KD0AN,Edison,NE,OPEN,E,134.5,ESE,,146.745,146.145,,Furnas,,,,WB0CMC,,On-Air,,882742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,123,N0VL,Lexington,NE,OPEN,,134.8,ESE,,146.85,146.25,123,Dawson,,,,WB0CMC,,On-Air,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,136.5,WSW,,447.3,442.3,107.2,Weld,,,,CCARC,,On-Air,,405804,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,136.6,W,,447.2,442.2,82.5,Weld,,N6RFI,,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,136.7,WSW,,224.96,223.36,CSQ,Weld,,AC0KC,,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,136.7,WNW,,146.775,146.175,114.8,Laramie,,Shy-Wy Amateur Radio Club,"E-power, WX.",WRCG,,On-Air,,,,,"Weather Net: Daily at 06:45. 
Shy-WY ARC: Sun at 07:00.",,,,,,,"Full-time to  
        147.16500 (KC7SNO) at Albin, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,137,WNW,,449.9,444.9,100,Laramie,,N7JJY,,,,On-Air,From 5 miles to 25 miles,,,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,114.8,KC7SNO,"Cheyenne, North Park",WY,OPEN,,137,WNW,,147.105,147.705,114.8,Laramie,,ShyWyArc,,WRCG,,On-Air,,,,,,,,,,,91.5,,,,,,,,,,,,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,114.8,KB7SWR,Cheyenne,WY,OPEN,,137,WNW,,145.235,144.635,114.8,Laramie,,N7GT,,WRCG,,On-Air,Local: Cheyenne.,,,25,,,,,,,,"Full-time to  
        448.15000 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,CC15 151.4,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,137.2,WNW,,448.95,443.95,151.4,Laramie,,,,WRCG,,On-Air,Local,,,Brandmiester and analog.,,,15,,,,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,137.7,W,,446.775,441.775,,Larimer,,W0DMR - NoCo C-bridge Network,,CCARC,,On-Air,"Fort Collins east side, into Red Feather Lakes area.",,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,2,,Brandmeister Network,W0DMR,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,,,,,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,BrandMeister US,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC7,K7PFJ,"Cheyenne, South",WY,OPEN,,138.7,WNW,,449.9375,444.9375,,Laramie,,,,WRCG,,On-Air,,,,,,,7,,,https://www.rmham.org/wordpress/,,Full-time to the  Rocky Mountain Ham System .,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,138.7,W,,147.39,147.99,,Larimer,,KT0L - NoCo C-Bridge Network,,CCARC,,On-Air,"Fort Collins east side, into Red Feather Lakes area.",,,,Tac 310 Net: Sun at 18:00.,,2,,,Documentation,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,139.9,WSW,,927.8375,902.025,,Douglas,,,,CCARC,,On-Air,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,140.1,WSW,,448.15,443.15,141.3,Denver,,K0GUR,E-power (batt).  2 meter and 70cm channel steerable remote bases.,CCARC,,On-Air,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",24340,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,k0jsc.com,141.3,Full-time to the  The Fun Machine System .,,,,,,,,29436,,,DM79pt,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,140.9,SSW,,449.9,444.9,107.2,Lincoln,,,,CCARC,,On-Air,,,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,162.2,N0KOM,"Lenora, K-Link",KS,OPEN,I,141,SE,,146.88,146.28,162.2,Norton,,N0KOM,"e-power, K-Link. 
IRLP node 7426.",Kansas Repeater Council,,On-Air,Click for coverage map.  50 mi radius.,,7426,"IRLP prefix = A 
Disconnect = 73 
Dial 9335 when finished.",ARES: Sat @ 21:00 local,,,,,K-Link Repeater Network,162.2,Full-time to the  K-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,141.4,W,,448.025,443.025,100,Larimer,,Northern Colorado ARC,,CCARC,,On-Air,,,,,,,,,,,100,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,142.1,W,,448.325,443.325,110.9,Larimer,,,,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,141.3,K0ECT,Elkader,KS,OPEN,,144.4,SSE,,444.3,449.3,141.3,Logan,,SKECT,E-power.,Kansas Repeater Council,,On-Air,,,,,,,,,,http://skect.org/default.aspx,141.3,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,144.6,WSW,,449.425,444.425,D023,Arapahoe,,K0PWO,,,,Off-Air,,,,Colorado SNP (Shared non-protected pair),,,,,,,D023,,,,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
