Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,D-STAR Enabled,Node,Sources,IRLP,Coverage,Web links,EchoLink,AllStar,Commands,Mixed-Mode,YSF Digital Enabled,DG-ID,Affiliate,Notes,WIRES-X,Links,Nets,DMR Enabled,Color Code,Wide Network,Grid,Feed,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,On-air,Local Network,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Location Photo,Wyoming,WyLOCAL
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,0.3,ESE,yes,146.715,146.115,123,123,Denver,On-Air,EARS,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,0.3,SE,yes,449.675,444.675,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,yes,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,0.3,ESE,yes,145.475,144.875,100,,Jefferson,On-Air,Intermountain Repeater Group,E-power.,CCARC,yes,,,,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,0.3,SE,yes,449.65,444.65,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,yes,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,0.3,SE,yes,447.9,442.9,CSQ,,Denver,Off-Air,WB0TPT,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,0.3,ESE,yes,448.075,443.075,123,,Denver,On-Air,W0IG,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,0.3,ESE,yes,448.55,443.55,82.5,,Denver,Off-Air,HPRA,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,0.3,SE,yes,447.925,442.925,100,100,Denver,On-Air,RADOPS El Jebel Shriners,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,1.1,N,yes,447.175,442.175,100,100,Denver,On-Air,W0JRL,,CCARC,yes,,,,,,,201712,29997,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,7.1,W,yes,147.21,147.81,100,100,Jefferson,On-Air,Denver Water Amateur Radio Club,,,yes,,,,3241,,http://www.dwarc.com,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
