Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Affiliate,Links,Coverage,Nets,Web links,Notes,EchoLink,DMR Enabled,Color Code,Wide Network,Grid,IRLP,AllStar,Commands,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,YSF Digital Enabled,DG-ID,Mixed-Mode,Colorado,Southern Colorado,Denver Regional,Northern Colorado,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Local/Cluster,Mountain Reg USA,Local Network,Feed,Worldwide English,DCI Bridge,N. Colorado,TAC 310,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Location Photo
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,0,ESE,yes,145.265,144.665,107.2,Moffat,Unknown,NW Colorado ARC,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,0,ESE,yes,146.97,146.37,88.5,Moffat,,Northwest Colorado Amateur Radio Association,,CCARC,yes,123,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,37.6,ESE,yes,147.21,147.81,107.2,Routt,,SSARC,"Linked, WX.",CCARC,yes,107.2,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,37.6,ESE,yes,147.165,147.765,88.5,Routt,,Colorado Connection,,,yes,123,On-Air,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,37.6,ESE,yes,449.625,444.625,123,Routt,,"Colorado Connection Repeaters, Inc.",Statewide Linked System,,yes,123,On-Air,,,Local Steamboat Area,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",http://colcon.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,61.8,ESE,yes,145.16,144.56,88.5,Jackson,,Colorado Connection,8,CCARC,yes,123,On-Air,,Full-time to the  Colorado Connection System .,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Part of the Colorado Connection system of repeaters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,67.7,S,yes,447.6,442.6,,Garfield,Unknown,Ski Country ARC (SCARC),50,CCARC,yes,,,,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",40,,,Link Hub for 146.880.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,67.7,S,yes,147.3,147.9,107.2,Garfield,,Roaring Fork Amateur Repeater Cooperative,8,CCARC,yes,,Off-Air,,,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",,,Single beep courtesy tone when linked and none when unlinked.,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,67.7,S,yes,449.85,444.85,131.8,Garfield,,,e-power  Linked to GMRA Open System,CCARC,yes,131.8,On-Air,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,Glenwood Springs,Colorado State RACES  Wed 1930 local,http://GMRA.org,RACES net Wed 1930 Hrs Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,67.7,S,yes,224.02,222.42,,Garfield,Unknown,SCARC,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
