Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Affiliate,Web links,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Grid,Coverage,Downlink Tone,Features,Links,Nets,Notes,EchoLink,IRLP,AllStar,Denver Regional,Location Photo,Feed,Commands,On-air,Talkgroup Network,Northern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Europe,Southwest USA,Wyoming,WyLOCAL
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,29.9,W,,447.65,442.65,,,,Gunnison,On-Air,KB0YNA,,,CCARC,,151.4,,,,,,,,Gunnison valley and along East and west on Highway 50.,151.4,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,35.1,ESE,,449,444,,,,Fremont,On-Air,WB0WDF,,Mega Link,CCARC,,67,,,,,,,,,67,"E-power (Solar, Wind)",Full-time to the  Mega-Link System .,,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,36.1,N,,446.7625,441.7625,,,,Park,On-Air,K7PFJ,RMHAM,,,,,,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,38.7,ESE,,447.25,442.25,,,,Fremont,On-Air,,,K0JSC dot Com,CCARC,,100,,,,,,,DM78ik,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",100,,Full-time to the  The Fun Machine System .,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,363976,7301,28368,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,38.7,ESE,,446.7375,441.7375,,,,Fremont,On-Air,,Rocky Mountain Ham Radio,http://www.k0jsc.com,CCARC,,,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,DM78ii,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,IPSC Link to the Colorado network on Talk Slot 2.,Full-time to the  Colorado TRBO System .,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,38.7,ESE,,145.49,144.89,,,,Fremont,On-Air,Royal Gorge Amateur Radio Club,Colorado ARES Region 5 District 1,Royal Gorge Amateur Radio Club,CCARC,,103.5,,,,,,,DM78ik,,103.5,E-power (Bat),,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,38.7,ESE,,447.75,442.75,,,,Fremont,On-Air,RGARC,,Royal Gorge Amateur Radio Club,CCARC,,103.5,,,,,,,,,103.5,E-power (Bat),,,,,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,38.7,ESE,,223.96,222.36,,,,Fremont,On-Air,RGARC,,,CCARC,,103.5,,,,,,,,"Wide area. 
   Repeater Coverage Map",103.5,"E-power (Bat), Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,38.7,ESE,,53.03,51.33,,,,Fremont,On-Air,WB0WDF,RGARC,Http://www.qsl.net/rghc,CCARC,,88.5,,,,,,,,,88.5,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,39,ESE,,927.7,902.7,,,,Fremont,On-Air,Royal Gorge ARC,,,CCARC,,D114,,,,,,,,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,40,SE,,927.775,902.775,,,,Custer,On-Air,Royal Gorge Amateur Radio Club,,,CCARC,,D116,,,,,,,,,D116,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,40,SE,,448.325,443.325,,,,Custer,On-Air,,The Fun Machine,,,,100,,,,,,,,,100,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,40,SE,,147.06,147.66,,,,Custer,On-Air,http://www.qsl.net/rghc,,,CCARC,,77,,,,,,,,,77,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,40,SE,,448.15,443.15,,,,Custer,On-Air,Royal George ARC,,http://www.qsl.net/rghc,CCARC,,103.5,,,,,,,,,103.5,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,40,SE,,919.1,894.1,,,,Pueblo,Off-Air,Pueblo HC,,,CCARC,,88.5,,,,,,,,Wide area.,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,42.1,ESE,,447.975,442.975,,,,Fremont,On-Air,K0JSC,,http://www.k0jsc.com,CCARC,,100,,,,,,,,"Canon City area. 
   Repeater Coverage Map",100,Autopatch.,Full-time to the  The Fun Machine System .,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,363976,7301,28368,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,43.9,ESE,,449.975,444.975,,,,Fremont,On-Air,K0JSC,The Fun Machine,http://www.k0jsc.com,CCARC,,100,,,,,,,,,100,Simulcast TX / Voted RX with Cedarwood and Salida,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,44.2,NE,,146.685,146.085,,,,Park,On-Air,Mountain ARC (MARC),,,CCARC,,107.2,,,,,,,,,107.2,"Closed autopatch, e-power.","Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 19:30.,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,44.2,NE,,147.36,147.96,,,,Park,On-Air,,,CMRG Repeaters,CCARC,,107.2,,,,,,,,Wide area.,107.2,E-power.,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,46.3,NE,,449.7,444.7,,,,Park,,CMRG,,,CCARC,,107.2,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,46.7,E,,147.015,147.615,,,,Teller,On-Air,Mountain ARC,,,CCARC,,107.2,,,,,,,,,,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,46.7,E,,447.4,442.4,,,,Teller,On-Air,WB0WDF,,,CCARC,,67,,,,,,,,,,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,46.7,E,,1287.7,1267.7,,,,Teller,Testing,WB0WDF,,,CCARC,,67,,,,,,,,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,46.7,E,,224.94,223.34,,,,Teller,Testing,,,,CCARC,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,46.7,E,,145.46,144.86,,,,Teller,On-Air,WB0WDF,RGARC,,CCARC,,67,,,,,,,,,,"E-power, 100% Solar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,46.9,N,,447.125,442.125,,,,Park,On-Air,KC0UFO,"Park County Radio Club, AB0PC",,CCARC,,103.5,,,,,,,DM69wf,"Covers Fairplay, Alma, and western South Park.",103.5,Emergency automatic generator.,,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.","Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,50.1,W,,147.12,147.72,,,,Gunnison,On-Air,W0VTL,,,CCARC,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,50.1,W,,449.95,444.95,,,,Gunnison,,K5GF,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,51.4,N,,445.05,440.05,,,,Lake,On-Air,K2AD,Rocky Mountain Ham Radio,http://www.rmham.org/,CCARC,,,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,2,,,,,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,51.9,NNW,,147.24,147.84,,,,Lake,Off-Air,,,,CCARC,,156.7,,,,,,,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,52.6,N,,145.445,144.845,,,,Lake,On-Air,Colorado Connection,,,CCARC,,88.5,,,,,,,,,,E-power (solar).,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.","At 13,685;, it is one of the highest 2-meter repeaters in North America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,54.3,S,,146.64,146.04,,,,Rio Grande,On-Air,,,,,,77,,,,,,,,Low level local coverage,77,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,54.6,S,,447.1,442.1,,,,Saguache,On-Air,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,55.7,E,,448.45,443.45,,,,El Paso,On-Air,Pikes Pk FM Assoc,,PPFMA Repeaters,CCARC,,100,,,,,,,,Wide area.,,E-power.,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,55.7,E,,146.97,146.37,,,,El Paso,On-Air,Pikes Peak FM Assoc,,PPFMA Repeaters,CCARC,,100,,,,,,,,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",123,"Closed autopatch, e-power.","Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .","Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,55.8,SE,,447.175,442.175,,,,Pueblo,Off-Air,Pueblo HC,,Pueblo Ham Club,CCARC,,88.5,,,,,,,,Wide area: Southeast Colorado.,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,55.8,SE,,224.32,222.72,,,,Custer,Off-Air,Pueblo Ham Club,,PHC repeaters,CCARC,,88.5,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,55.8,SE,,449.625,444.625,,,,Custer,On-Air,,,CMRG Repeaters,CCARC,,107.2,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,56.7,E,,446.95,441.95,,,,Teller,On-Air,Rocky Mountain Ham Radio,RMHAM,,,,,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,Monument Hill through Pueblo.,,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,56.7,E,,147.18,147.78,,,,El Paso,On-Air,AA0SP,,,CCARC,,100,,,,,,,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,E-power (solar).,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,56.7,E,,927.725,902.725,,,,Teller,On-Air,WA6IFI,,Yahoo Group,CCARC,,D114,,,,,,,,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",D114,12,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,59.8,E,,447.675,442.675,,,,Teller,On-Air,Mountain Amateur Radio Club (MARC),,,CCARC,,179.9,,,,,,,,,179.9,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,59.8,E,,927.9,902.9,,,,Teller,On-Air,MARC,,,CCARC,,D205,,,,,,,,,D205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,59.8,E,,449.325,444.325,,,,Teller,On-Air,KA4EPS,Amateur Radio Motorcycle Club,,CCARC,,103.5,,,,,,,,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",103.5,E-power. Allstar Node 27976,,"Sunday 1500 MST
Tuesday 1730 MST",Node # 27976,,,27976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,59.9,E,,145.415,144.815,,,,Teller,,MARC,,,CCARC,,179.9,,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,59.9,E,,449.025,444.025,,,,Teller,,Mountain Amateur Radio Club (MARC),,,CCARC,,141.3,,,,,,,,,,Linked.,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,59.9,E,,448.65,443.65,,,,Teller,On-Air,Mountain ARC (MARC),MARC,,CCARC,,107.2,,,,,,,,,,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,59.9,E,,146.82,146.22,,,,Teller,On-Air,Mountain ARC,,,CCARC,,107.2,,,,,,,,,,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,60.4,ESE,,145.265,144.665,,,,El Paso,Off-Air,Pikes Peak FM Association,,PPFMA Repeaters,CCARC,,100,,,,,,,,Local. Good coverage of I25 in Colorado Springs.,100,"Closed autopatch, e-power.",,,Repeater has been moved.,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,60.4,ESE,,448.8,443.8,,,,El Paso,Off-Air,Pikes Peak FM Assoc,,PPFMA Repeaters,CCARC,,100,,,,,,,,,100,,,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,61.9,E,,448.1,443.1,,,,El Paso,On-Air,,,CMRG Repeaters,CCARC,,107.2,,,,,,,,Wide area.,107.2,"Closed autopatch, e-power.","Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,61.9,E,,448,443,,,,El Paso,On-Air,,,CMRG Repeaters,CCARC,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
