Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Last update,Links,Coordination,Web links,Downlink Tone,AllStar,Affiliate,Notes,EchoLink,IRLP,Grid,D-STAR Enabled,Node,Sources,Commands,Nets,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Feed,Location Photo,On-air,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Local/Cluster,Denver Regional,Northern Colorado,WIRES-X
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,99,WNW,yes,445.1375,440.1375,,La Plata,On-Air,,K2AD,,yes,,CCARC,http://www.rmham.org/,,,Rocky Mountain Ham Radio,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,,,,,,,,,,,,yes,7,yes,,,,,,,,,,,,,,,,,,
449.275,-5,146.2,K9GAJ,Santa Fe,NM,OPEN,I,99.3,S,yes,449.275,444.275,146.2,Santa Fe,On-Air,,Fred Homuth,,yes,,,,,,,,,3939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.775,-5,100,KF5SGT,Santa Fe,NM,OPEN,I,99.5,S,yes,447.775,442.775,100,Santa Fe,On-Air,Santa Fe,,,yes,,,,,,,,,7326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,99.6,N,yes,145.325,144.725,100,Chaffee,On-Air,wide area,Chaffee Lake Amateur Repeater Association,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,99.9,N,yes,446.975,441.975,,Chaffee,On-Air,,Crestone Amateur Radio Emergency Services,,yes,,CCARC,KD0QPG,,,Crestone Amateur Radio Emergency Services,,,,,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,99.9,N,yes,446.8125,441.8125,,Chaffee,On-Air,,RMHAM,,yes,,,,,,,,,,,,,,,,,,,,,,yes,0,yes,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,100.8,WNW,yes,147.375,147.975,156.7,San Juan,On-Air,Wide area.,,13,yes,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,101.4,W,yes,147.06,147.66,100,San Juan,On-Air,,,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,102.2,NNE,yes,447.975,442.975,100,Fremont,On-Air,"Canon City area. 
   Repeater Coverage Map",K0JSC,Autopatch.,yes,Full-time to the  The Fun Machine System .,CCARC,http://www.k0jsc.com,100,28368,,,363976,7301,,,,,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,102.4,NNE,yes,446.7375,441.7375,,Fremont,On-Air,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,IPSC Link to the Colorado network on Talk Slot 2.,yes,Full-time to the  Colorado TRBO System .,CCARC,http://www.k0jsc.com,,,Rocky Mountain Ham Radio,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,DM78ii,,,,,,,,,,,,yes,7,yes,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,yes,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,102.4,NNE,yes,447.25,442.25,100,Fremont,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,,yes,Full-time to the  The Fun Machine System .,CCARC,K0JSC dot Com,100,28368,,,363976,7301,DM78ik,,,,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,Listen Live,yes,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,102.4,NNE,yes,53.03,51.33,88.5,Fremont,On-Air,,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",yes,,CCARC,Http://www.qsl.net/rghc,88.5,,RGARC,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,102.4,NNE,yes,145.49,144.89,103.5,Fremont,On-Air,,Royal Gorge Amateur Radio Club,E-power (Bat),yes,,CCARC,Royal Gorge Amateur Radio Club,103.5,,Colorado ARES Region 5 District 1,,,,DM78ik,,,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,,,,yes,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,102.4,NNE,yes,223.96,222.36,103.5,Fremont,On-Air,"Wide area. 
   Repeater Coverage Map",RGARC,"E-power (Bat), Remote Base",yes,,CCARC,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,102.4,NNE,yes,447.75,442.75,103.5,Fremont,On-Air,,RGARC,E-power (Bat),yes,,CCARC,Royal Gorge Amateur Radio Club,103.5,,,,,3081,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,102.5,NNE,yes,927.7,902.7,D114,Fremont,On-Air,,Royal Gorge ARC,,yes,,CCARC,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,102.5,WSW,yes,1292.3,1272.3,,San Juan,On-Air,,San Juan County,,yes,,NMFCC,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,103.1,WNW,yes,447.525,442.525,127.3,San Juan,On-Air,Wide area.,KB5ITS,E-power.,yes,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,103.2,W,yes,449.85,444.85,100,La Plata,On-Air,,DARC,,yes,,CCARC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,103.2,WNW,yes,145.325,144.725,127.3,San Juan,On-Air,,,Solar powered,yes,,CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,103.2,WNW,yes,444,449,67,San Juan,On-Air,,,,yes,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,103.2,W,yes,448.625,443.625,131.8,La Plata,On-Air,Wide area.,KC5EVE,,yes,,CCARC,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,103.9,SW,yes,145.49,144.89,100,Rio Arriba,On-Air,,Totah ARC,Closed autopatch.,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,104.2,NNE,yes,449.975,444.975,100,Fremont,On-Air,,K0JSC,Simulcast TX / Voted RX with Cedarwood and Salida,yes,Full-time to the  The Fun Machine System .,CCARC,http://www.k0jsc.com,100,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,104.2,WSW,yes,147.28,147.88,67,San Juan,On-Air,Wide area.,,6,yes,Full-time to the  Mega-Link System .,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,100,N7JNI,Wagon Mound,NM,OPEN,,104.3,SE,yes,444.4,449.4,100,Mora,Off-Air,,Mora ARC,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,104.4,WSW,yes,147.1,147.7,100,San Juan,On-Air,,San Juan connection,,yes,Full-time to the  San Juan Connection System .,NMFCC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,104.5,W,yes,147.135,147.735,100,La Plata,On-Air,,,,yes,,CCARC,http://www.sjcham.com,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.2,-1,107.2,N9PGQ,La Cueva,NM,OPEN,,104.7,S,yes,53.2,52.2,107.2,Santa Fe,Off-Air,,N9PGQ,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.84,-0.6,107.2,N9PGQ,La Cueva,NM,OPEN,,104.7,S,yes,146.84,146.24,107.2,Santa Fe,,,N9PGQ,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,
442.125,5,107.2,N9PGQ,La Cueva,NM,OPEN,,104.7,S,yes,442.125,447.125,107.2,Santa Fe,,,,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,106.3,NE,yes,449.975,444.975,100,Pueblo,On-Air,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",K0JSC,2,yes,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",CCARC,K0JSC dot Com,100,28368,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,363976,7301,DM78SA18,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,106.7,WNW,yes,147.27,147.87,127.3,San Juan,On-Air,Wide area.,KB5ITT,E-power.,yes,,CCARC,,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,106.7,NNE,yes,449,444,67,Fremont,On-Air,,WB0WDF,"E-power (Solar, Wind)",yes,Full-time to the  Mega-Link System .,CCARC,Mega Link,67,,,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,100,NM5SC,"San Ysidro, Pajarito Peak",NM,OPEN,A,106.9,SSW,yes,443.1,448.1,100,Sandoval,On-Air,Wide area - NW NM.,Sandoval County ARES,"Linked, e-power.",yes,,NMFCC,http://nmscares.org/,,27748,ARRL,"KNWD TKR-850, RTCM Interface. 25W, 9000' MSL. (Pajarito Peak differs from Pajarito Mountain near Los Alamos)",,,,,,,,Sandoval County ARES: Mon at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,109.1,NNW,yes,447.65,442.65,151.4,Gunnison,On-Air,Gunnison valley and along East and west on Highway 50.,KB0YNA,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",yes,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",CCARC,,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,109.5,NE,yes,448.975,443.975,100,Pueblo,On-Air,,,,yes,Full-time to the  The Fun Machine System .,CCARC,http://www.k0jsc.com,100,28368,,Off air.  Will return to service,363976,7301,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,110.3,NE,yes,446.9875,441.9875,,Pueblo,Off-Air,,,,yes,Full-time to the  Colorado TRBO System .,CCARC,Rocky Mountain Ham Radio,,,RMHAM,,,,,,,,,,,,,,,,yes,6,yes,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,110.3,NE,yes,447.275,442.275,100,Pueblo,On-Air,,,,yes,Full-time to the  The Fun Machine System .,CCARC,The Fun Machine,100,,The Fun Machine,"Moved to Pueblo.  Now called ""Pueblo Metro""",,,,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,110.3,NE,yes,147.24,147.84,103.5,Pueblo,Off-Air,Pueblo and Fremont Counties,TARA,,yes,,CCARC,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,110.4,W,yes,447.45,442.45,107.2,San Juan,On-Air,,KB5ITS,"E-power, remote base.",yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,110.4,W,yes,146.74,146.14,100,San Juan,On-Air,,Totah ARC,"Closed autopatch, e-power.",yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,110.5,W,yes,146.88,146.28,100,San Juan,On-Air,,,,yes,Full-time to the  San Juan Connection System .,NMFCC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,,110.5,W,yes,442.25,447.25,,San Juan,On-Air,,,,yes,,NMFCC,http://www.aztrbonet.com/MinimalNetwatch,,,,,,,,,,,,,,,,,,,yes,1,yes,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,110.7,W,yes,1291.1,1271.1,,Bernalillo,On-Air,,San Juan County,DV only,yes,,NMFCC,,,,,,,,,yes,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,110.9,W,yes,145.115,144.515,,San Juan,On-Air,,,,yes,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,111.1,NW,yes,147.27,147.87,127.3,Ouray,On-Air,,,,yes,,CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,111.5,NE,yes,146.655,146.055,123,Pueblo,On-Air,,K0ST,,yes,,CCARC,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,111.5,W,yes,145.37,144.77,100,La Plata,On-Air,,,E-power.,yes,,CCARC,http://www.sjcham.com,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,111.5,NE,yes,447.7,442.7,210.7,Pueblo,Off-Air,,,,yes,,CCARC,,210.7,29228,,,,7389,,,,,,,,,Yes; analog capable.,,,,yes,0,yes,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,111.5,NE,yes,449.725,444.725,100,El Paso,On-Air,,N0PWZ,,yes,,CCARC,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,111.5,NE,yes,145.115,144.515,88.5,Pueblo,Off-Air,,Pueblo Ham Club,E-power.,yes,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,111.5,NE,yes,146.88,146.28,88.5,Pueblo,On-Air,Wide area.,Pueblo HC,E-power.,yes,,CCARC,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,111.6,WSW,yes,146.92,146.32,100,San Juan,On-Air,,San Juan County OEM,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,111.7,WSW,yes,448.65,443.65,127.3,San Juan,On-Air,,,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,111.9,WNW,yes,146.67,146.07,100,La Plata,On-Air,Wide area.,Durango ARC,11,yes,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",CCARC,DARC Repeaters,,,,Linked active in the summer months only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,112.2,NNW,yes,449.95,444.95,,Gunnison,,,K5GF,,yes,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,112.2,NNW,yes,147.12,147.72,,Gunnison,On-Air,,W0VTL,E-power.,yes,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.45,-0.6,,KB5WEZ,Las Vegas,NM,OPEN,,112.4,SSE,yes,145.45,144.85,,San Miguel,Off-Air,Wide area.,KB5WEZ,"E-power, linked.",yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,112.7,N,yes,146.745,146.145,100,Chaffee,Off-Air,,CLARA,E-power.,yes,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,113.8,NE,yes,147,147.6,,Pueblo,On-Air,,Carl Higbee,,yes,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,118.7,W,yes,442.375,447.375,100,Montezuma,On-Air,,San Juan Connection,,yes,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,5,100,K5YEJ,"San Luis, Cabezon",NM,OPEN,,119,SSW,yes,443,448,100,Sandoval,On-Air,,,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,120.5,NE,yes,146.79,146.19,88.5,Pueblo,On-Air,Wide area.,Pueblo HC,E-power.,yes,,CCARC,Pueblo Ham Club,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,120.5,NE,yes,224.26,222.66,88.5,Pueblo,Off-Air,Wide area.,Pueblo Ham Club,E-power.,yes,,CCARC,PHC repeaters,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,120.5,NE,yes,447.95,442.95,88.5,Pueblo,On-Air,Wide area.,Pueblo Ham Club,E-power.,yes,,CCARC,Pueblo Ham Club,,,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,N5BOP,Des Moines,NM,OPEN,,122.8,ESE,yes,146.85,146.25,100,Union,Off-Air,Wide area.,Sierra Grande RC,E-power.,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,77,N5BOP,Des Moines,NM,OPEN,,122.8,ESE,yes,444.8,449.8,77,Union,Off-Air,Wide area.,Sierra Grande Repeater Club,E-power.,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.175,0.6,141.3,NM5EM,"Des Moines, Sierra Grande",NM,OPEN,,122.8,ESE,yes,147.175,147.775,141.3,Union,On-Air,,NMEMA ARC,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.4,5,100,K5AKW,"Placitas, Sandia Peak",NM,OPEN,,123.4,SSW,yes,443.4,448.4,100,Sandoval,On-Air,,Sandia Vista ARC,,yes,,NMFCC,http://sandiavista.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,123.4,NNE,yes,147.015,147.615,107.2,Teller,On-Air,,Mountain ARC,E-power.,yes,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",CCARC,,,,,,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,123.4,NNE,yes,1287.7,1267.7,67,Teller,Testing,,WB0WDF,,yes,,CCARC,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,123.4,NNE,yes,145.46,144.86,67,Teller,On-Air,,WB0WDF,"E-power, 100% Solar",yes,,CCARC,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,123.4,NNE,yes,224.94,223.34,67,Teller,Testing,,,,yes,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,123.4,NNE,yes,447.4,442.4,67,Teller,On-Air,,WB0WDF,"E-power, Solar, Remote Base",yes,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,123.7,W,yes,145.325,144.725,100,Montezuma,On-Air,Wide area.,,E-power.,yes,,CCARC,http://www.sjcham.com,,,,Full time to the San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,123.8,WNW,yes,449.7,444.7,107.2,San Miguel,On-Air,Wide Area via links - Western Colorado - Eastern Utah,Grand Mesa Repeater Association ( GMRA ),E-power.,yes,Full-time to the  GMRA Open System .,CCARC,,107.2,,,Closed IRLP out - Ask for a control Op,,3710,,,,,,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,124,W,yes,146.85,146.25,100,San Juan,On-Air,,Totah ARC,Closed autopatch.,yes,,NMFCC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
