Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Northern Colorado,County,Op Status,Affiliate,Features,Links,Notes,Web links,Coordination,Last update,Downlink Tone,Coverage,Sponsor,Nets,Grid,EchoLink,YSF Digital Enabled,DG-ID,Mixed-Mode,IRLP,D-STAR Enabled,Node,Sources,AllStar,Feed,Commands,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Denver Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,On-air,Local Network,Southern Colorado,Wyoming,WyLOCAL,Location Photo
448.2,-5,CC7,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,0,NW,yes,448.2,443.2,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Morgan,On-Air,NEAHR,Mixed Mode,Full-time to the  Colorado TRBO System .,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",Rocky Mountain Ham Radio,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,31.5,ESE,yes,145.4,144.8,88.5,,,,,,,Washington,On-Air,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters,,CCARC,yes,123,Northeastern plains of Colorado.,Colorado Connection,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC7,W0FT,Akron,CO,OPEN,,31.5,ESE,yes,448.175,443.175,,yes,7,,,,,Morgan,On-Air,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,CCARC,yes,,,W0FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,,WA0JTB,"Sterling, CO",CO,OPEN,,40.6,NE,yes,145.295,144.695,,,,,,,,Logan,On-Air,,"Autopatch, e-power.",,,,CCARC,yes,,Wide area,NECARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,47.2,WSW,yes,449.925,444.925,114.8,,,,,,,Weld,On-Air,K0UPS Club,,,,,CCARC,yes,114.8,,KD0RG,,DN70,448035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,48.6,WNW,yes,146.85,146.25,100,,,,,,,Weld,On-Air,,"E-power, WX.",,,,CCARC,yes,100,,Northern Colorado ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,48.7,WNW,yes,449.725,444.725,127.3,,,,,,,Weld,On-Air,,"Autopatch, WX.",,,,CCARC,yes,,,K0OJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,Greeley,CO,OPEN,I,49.3,WNW,yes,147,147.6,100,,,,,,,Weld,On-Air,,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",,,,CCARC,yes,100,,Weld ARS,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,49.3,WNW,yes,448.475,443.475,100,,,,,,,Weld,On-Air,,,,,http://www.warsco.org/,CCARC,yes,,,Weld Amateur Radio Society (WARS),,,,,,,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,49.3,WNW,yes,449.325,444.325,,,,,,,,Weld,On-Air,,,,,,CCARC,yes,,,Colorado Amateur Repeater Network (CARN),,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,51.2,WSW,yes,447.625,442.625,100,,,,,,,Adams,On-Air,,,,,Intermountain Repeater Group,,yes,,Local/North Metro,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,54.5,WSW,yes,447.3,442.3,107.2,,,,,,,Weld,On-Air,,,,,,CCARC,yes,,,,,,405804,,,,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,54.7,WSW,yes,224.96,223.36,CSQ,,,,,,,Weld,On-Air,,,,,,CCARC,yes,,,AC0KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,59.1,WSW,yes,448.15,443.15,141.3,,,,,,,Denver,On-Air,,E-power (batt).  2 meter and 70cm channel steerable remote bases.,Full-time to the  The Fun Machine System .,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,k0jsc.com,CCARC,yes,141.3,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",K0GUR,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",DM79pt,24340,,,,,,,,29436,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,
