Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,YSF Digital Enabled,DG-ID,County,Op Status,Coverage,Affiliate,Features,Notes,Last update,Uplink Tone,Downlink Tone,WIRES-X,Mixed-Mode,Grid,Sponsor,Links,EchoLink,IRLP,AllStar,Nets,Web links,Feed,Coordination,Talkgroups,Colorado,Southern Colorado,Worldwide,North America,Local/Cluster,On-air,Denver Regional,Commands,Location Photo,Talkgroup Network,Northern Colorado,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,English,Worldwide English,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X
446.75,-5,CC0,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,,19.5,SE,yes,446.75,441.75,yes,KC0ITF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",yes,0,,yes,Open ↑ / Open ↓,Otero,On-Air,La Junta,KC0ITF,E-power.,Please use Busy Channel LockOut,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,19.5,SE,yes,147.36,147.96,,,,,,,yes,Open ↑ / Open ↓,Otero,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,KC0ITF,E-power,Digital Wires-X,yes,,123,11360,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,41.8,WSW,yes,449.975,444.975,,,,,,,,,Pueblo,On-Air,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",,2,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,yes,100,100,,,DM78SA18,K0JSC,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",363976,7301,28368,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",K0JSC dot Com,Listen Live,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,43.9,N,yes,449.9,444.9,,,,,,,,,Lincoln,On-Air,,BSAR,,,yes,107.2,,,,,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,45,WNW,yes,447.95,442.95,,,,,,,,,Pueblo,On-Air,Wide area.,,E-power.,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,yes,88.5,,,,,Pueblo Ham Club,,,,,,Pueblo Ham Club,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,45,WNW,yes,146.79,146.19,,,,,,,,,Pueblo,On-Air,Wide area.,,E-power.,,yes,88.5,CSQ,,,,Pueblo HC,,,,,,Pueblo Ham Club,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,45,WNW,yes,224.26,222.66,,,,,,,,,Pueblo,Off-Air,Wide area.,,E-power.,,yes,88.5,CSQ,,,,Pueblo Ham Club,,,,,,PHC repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,46.4,W,yes,146.655,146.055,,,,,,,,,Pueblo,On-Air,,,,,yes,123,CSQ,,,,K0ST,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,46.4,W,yes,447.275,442.275,,,,,,,,,Pueblo,On-Air,,The Fun Machine,,"Moved to Pueblo.  Now called ""Pueblo Metro""",yes,100,100,,,,,Full-time to the  The Fun Machine System .,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",The Fun Machine,Listen Live,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,46.4,W,yes,146.88,146.28,,,,,,,,,Pueblo,On-Air,Wide area.,,E-power.,,yes,88.5,CSQ,,,,Pueblo HC,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
