Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,EchoLink,IRLP,Web links,Coordination,Last update,Coverage,Commands,On-air,Links,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Features,Mixed-Mode,Notes,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,AllStar,Nets,Grid,Feed,Talkgroup Network,Talkgroups,Worldwide,North America,English,TAC 310,DCI Bridge,Texas,COMM 1,Local/Cluster,Texas/Oklahoma Regional USA,Colorado,Southern Colorado,Denver Regional,Amarillo WIRES-X,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Location Photo,P25 Digital Enabled,NAC,Default Reflector,Northern Colorado,Kansas,CKRG,KansasLink,Bandwidth,BYRG,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,125.8,WNW,yes,146.79,146.19,88.5,CSQ,Pueblo,On-Air,Pueblo HC,,,Pueblo Ham Club,CCARC,yes,Wide area.,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,125.8,WNW,yes,447.95,442.95,88.5,,Pueblo,On-Air,Pueblo Ham Club,,,Pueblo Ham Club,CCARC,yes,Wide area.,,,,,,,,E-power.,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.87,-1.7,141.3,WA0OQA,Garden City,KS,OPEN,,126.9,E,yes,52.87,51.17,141.3,141.3,Finney,On-Air,SHARC,,,,,yes,30,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,,W5WDR,Stinnett,TX,OPEN,W,127.1,SSE,yes,444.8,449.8,,,Hutchinson,On-Air,Hutchinson County ARC,,,,,yes,"Covers 55 mile radius of Borger, Texas (approximately).",,,"Full-time to  
        444.30000 (W5JTC) at Amarillo, TX .",yes,Open ↑ / Open ↓,21379,Panhandle Emergency Radio Service,,,Linked,,,,,,,,Golden Spread Amateur Information Net. Tuesdays 6:30 pm Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.4375,5,CC14,KE5CJ,Stinnett,TX,OPEN,,127.1,SSE,yes,443.4375,448.4375,,,Hutchinson,On-Air,,,,DMR MARC,,yes,Wide Area,,,,,,,,,,Time Slot #1 - Group Call 3 = DMR-MARC North America Time Slot #1 - Group Call 3777215= TRBO-6 Time Slot #1 - Group Call 3148= TX Statewide Time Slot #2 - Group Call 10 = West Texas Local,,,,yes,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,130.9,N,yes,146.895,146.295,103.5,,Kit Carson,On-Air,Big Sandy ARC,830619,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,131.1,WNW,yes,448.975,443.975,100,100,Pueblo,On-Air,,363976,7301,http://www.k0jsc.com,CCARC,yes,,,,Full-time to the  The Fun Machine System .,,,,,,,Off air.  Will return to service,,,,,,,28368,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,131.4,W,yes,145.355,144.755,100,,Huerfano,On-Air,N0JPX,,3974,,CCARC,yes,,,,,,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.375,5,,K0BAI,Ensign,KS,OPEN,,131.5,ESE,yes,444.375,449.375,,,Gray,Off-Air,K0BAI,,,,Kansas Repeater Council,yes,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,132.4,W,yes,449.75,444.75,100,100,Las Animas,On-Air,N0ZSN,363976,7301,The Fun Machine,CCARC,yes,,,,Full-time to the  The Fun Machine System .,,,,The Fun Machine,,,,,,,,,,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,141.3,K0ECT,Elkader,KS,OPEN,,132.4,NE,yes,444.3,449.3,141.3,141.3,Logan,On-Air,SKECT,,,http://skect.org/default.aspx,Kansas Repeater Council,yes,,,,Full-time to the  SKECT System .,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,EIA,137,NNW,yes,147.06,147.66,103.5,,Lincoln,On-Air,BSARC,791116,3794,http://www.bigsandyradio.com/,CCARC,yes,"I-70, US-71, US-287, US-40, US-24",,,,yes,Open ↑ / Open ↓,,,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",Yes; analog capable.,,,,,,,,42740,Big Sandy Net: Wed 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC8,K0RTS,"Genoa, Limon",CO,OPEN,,137.8,NNW,yes,446.7375,441.7375,,,Lincoln,On-Air,K0RTS KC0VJD,,,,CCARC,yes,"I-70  H-40  H-287  Arriba, Genoa, Hugo, Limon        50 mile radius",,,,,,,RMHam,,,"Colorado on TG700 Slot 1
Denver on TG720 Slot 2",,,,yes,8,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,WA5CSF,Borger,TX,OPEN,E,138,SSE,yes,147.06,147.66,,,Hutchinson,Off-Air,Northwest Texas Amateur Radio Club,387265,,,TVHFS,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,88.5,W5WDR,Borger,TX,OPEN,W,139.5,SSE,yes,147,147.6,88.5,88.5,Hutchinson,On-Air,Hutchinson County ARC,,,,,yes,,,,"Full-time to  
        444.30000 (W5JTC) at Amarillo, TX .",yes,Open ↑ / Open ↓,21339,Panhandle Emergency Radio Service,"E-Power, Linked",Yes; analog capable.,,,,,,,,,Golden Spread Amateur Information Net. TUE at 18:30 Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,110.9,N5GDR,Cimarron,NM,OPEN,A,141.1,WSW,yes,145.21,144.61,110.9,110.9,Colfax,On-Air,"Gary Reynolds N5GDR, Dale Finley KB5NFT",,,,NMFCC,yes,,,,,,,,,,,,,,,,,,46298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.55,5,141.3,K0ECT,Dodge City,KS,OPEN,,142.7,ESE,yes,444.55,449.55,141.3,,Ford,On-Air,SKECT,,,http://skect.org/default.aspx,Kansas Repeater Council,yes,,,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.675,5,162.2,K0HAM,"Dodge City, K-Link",KS,OPEN,,143.4,ESE,yes,443.675,448.675,162.2,162.2,Ford,On-Air,"NV8Q, WV0S",,,K-Link Repeater Network,Kansas Repeater Council,yes,Click for coverage map.  45 mi radius.,,,Full-time to the  K-Link System .,,,,Affiliate of the K-Link Repeater Network,"Linked to K-Link Repeater Network. 
AllStar 46012.",,,,,,,,,"Priva 
   
     n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,123,KU0L,Dodge City,KS,OPEN,,144.2,ESE,yes,147.03,147.63,123,,Ford,On-Air,KU0L,,,,,yes,30,,,,,,,,Autopatch,,,,,,,,,,RACES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,123,KU0L,Dodge City,KS,OPEN,,144.2,ESE,yes,442.375,447.375,123,,Ford,On-Air,,,,,Kansas Repeater Council,yes,US-50,,,,,,,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,88.5,W5WX,Amarillo,TX,OPEN,,146.3,SSE,yes,146.94,146.34,88.5,,Potter,On-Air,Panhandle Amateur Radio Club,,,,TVHFS,yes,Amarillo and points north.,,,,yes,Open ↑ / Open ↓,,ARRL,,Yes; analog capable.,,,,,,,,,Panhandle Amateur Information Net (PAIN): Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,147.1,WNW,yes,447.175,442.175,88.5,,Pueblo,Off-Air,Pueblo HC,,,Pueblo Ham Club,CCARC,yes,Wide area: Southeast Colorado.,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,147.1,WNW,yes,449.625,444.625,107.2,,Custer,On-Air,,,,CMRG Repeaters,CCARC,yes,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,147.1,WNW,yes,224.32,222.72,88.5,,Custer,Off-Air,Pueblo Ham Club,,,PHC repeaters,CCARC,yes,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,131.8,K5DST,"Logan, Ute Lake",NM,OPEN,,148,SSW,yes,147.34,147.94,131.8,,Quay,On-Air,Big Water ARA,,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,88.5,KS0GLD,Goodland,KS,OPEN,I,148.3,NNE,yes,147.03,147.63,88.5,,Sherman,Off-Air,Sherman County Amateur Radio Club (SCARE),,3769,SCARE on Facebook,,yes,I-70,,,,,,,,,,This is the highest (above sea level) amateur repeater in Kansas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,148.9,NNW,yes,147.105,147.705,107.2,107.2,Elbert,On-Air,ARES of Douglas and Elbert Counties,,,http://www.w0cra.org/,CCARC,yes,"I-70, E. Arapahoe, Elbert, Lincoln Counties",,,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,Colorado Repeater Association,Linked to CRA 447.150 - Conifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,150,NNW,yes,449.25,444.25,123,123,Elbert,On-Air,K0UPS Club c/o N1UPS,3349,3349,,CCARC,yes,"I-70 Limon, Co area.",** [StarStar] Prefix for Echolink Node.,,,,,,,Full duplex node.,,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,100,N7JNI,Wagon Mound,NM,OPEN,,150.9,SW,yes,444.4,449.4,100,,Mora,Off-Air,Mora ARC,,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,151.1,NW,yes,447.2,442.2,,,El Paso,Testing,GGARC,,,,,yes,"Falcon, Black Forest, Peyton Areas",,,,yes,Open ↑ / Open ↓,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.13125,-0.6,CC14,KD5ROK,"Borger, NW Well Field",TX,OPEN,,151.4,SSE,yes,,"a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,,Hutchinson,On-Air,,,,,,yes,45,,,,,,,Brandmister,TS1 AMA-WIRES-X,,,,,,yes,14,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Amarillo WIRES-X  1  31485  Full-Time    Local/Cluster  2  2  Full-Time    Texas  2  3148  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,2,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,153.1,NW,yes,448.8,443.8,100,100,El Paso,Off-Air,Pikes Peak FM Assoc,,,PPFMA Repeaters,CCARC,yes,,,,,yes,Open ↑ / Open ↓,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,153.1,NW,yes,145.265,144.665,100,100,El Paso,Off-Air,Pikes Peak FM Association,,,PPFMA Repeaters,CCARC,yes,Local. Good coverage of I25 in Colorado Springs.,,,,yes,Open ↑ / Open ↓,,,"Closed autopatch, e-power.",Yes; analog capable.,Repeater has been moved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,153.2,NW,yes,446.9125,441.9125,,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,,,yes,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,153.2,NW,yes,53.13,51.43,107.2,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,http://www.cmrg.org,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,153.2,NW,yes,927.85,902.85,D114,,Teller,On-Air,CMRG,,,http://www.cmrg.org,CCARC,yes,,,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,153.2,NW,yes,145.13,144.53,88.5,123,El Paso,On-Air,Colorado Connection,,,,CCARC,yes,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,,,Full-time to the  Colorado Connection System .,,,,,9,,Linked into the Colorado Connection System,,,,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,153.2,NW,yes,145.375,144.77,,,El Paso,Off-Air,Cheyenne Mountain Repeater Group (CMRG),,,http://www.cmrg.org,CCARC,yes,wide area,,,,,,,,,,Repeater off air for now.,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,153.2,NW,yes,445.0625,440.0625,,,El Paso,Off-Air,Rocky Mountain Ham Radio,,,,CCARC,yes,,,,,,,,,The DMR-MARC Worldwide Network,,,,,,yes,1,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,153.7,WSW,yes,147.04,147.64,141.3,,Colfax,On-Air,NMEMA ARC,,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,153.7,NW,yes,147.345,147.945,107.2,107.2,El Paso,On-Air,,,3854,http://www.cmrg.org/,CCARC,yes,Wide area.,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,153.7,NW,yes,145.16,144.56,107.2,107.2,El Paso,On-Air,Colorado Repeater Association,347086,3990,http://www.w0cra.org/info/cosprgs.html#145160,CCARC,yes,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",,,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,CRA VHF Link System,"Closed autopatch, e-power.",,Switch to this repeater at mile marker 170 on I-25.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,153.7,NW,yes,146.76,146.16,107.2,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group,,,,CCARC,yes,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,153.7,NW,yes,448.1,443.1,107.2,107.2,El Paso,On-Air,,,,CMRG Repeaters,CCARC,yes,Wide area.,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,153.7,NW,yes,448,443,107.2,,El Paso,On-Air,,,,CMRG Repeaters,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,154.1,NW,yes,448.725,443.725,123,,El Paso,On-Air,KA0TTF,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,154.6,NW,yes,147.135,147.735,100,,El Paso,On-Air,AA0L,,,,CCARC,yes,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,141.3,K0ECT,Jetmore,KS,OPEN,,154.9,E,yes,444.5,449.5,141.3,141.3,Hodgeman,On-Air,SKECT,,,http://skect.org/default.aspx,Kansas Repeater Council,yes,,,,Full-time to the  SKECT System .,,,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,155.2,NW,yes,448.3,443.3,100,,El Paso,On-Air,AA0L,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,155.2,NW,yes,224.06,222.46,,,El Paso,,Pikes Peak FM Association (PPFMA),,,,CCARC,yes,Wide area.,,Unknown,,,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,155.2,WSW,yes,145.25,144.65,123,,Taos,On-Air,Taos ARC,,,Taos Amateur Radio Club,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,155.2,NW,yes,447.55,442.55,123,,El Paso,On-Air,WA6IFI,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,155.2,NW,yes,447.025,442.025,123,,El Paso,Off-Air,Colorado Springs ARA,,,,CCARC,yes,,,,,,,,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,155.2,NW,yes,449.575,444.575,,,El Paso,On-Air,RMHARC,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,155.2,NW,yes,447.35,442.35,151.4,,El Paso,On-Air,GGARC,,,,CCARC,yes,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,155.2,NW,yes,448.25,443.25,123,,El Paso,Off-Air,,,,,CCARC,yes,Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,155.2,NW,yes,927.8,902.8,D116,,Teller,On-Air,,,,,CCARC,yes,,,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,155.2,NW,yes,447.475,442.475,107.2,,El Paso,,Mountain ARC (MARC),,,,CCARC,yes,,,Unknown,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,"Closed autopatch, e-power.",,,,,,,,,,MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,155.2,NW,yes,448.6,443.6,114.8,,El Paso,,W0MOG,,,,CCARC,yes,,,Unknown,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,155.4,NW,yes,147.27,147.87,,,El Paso,On-Air,TRA,,,,,yes,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,155.4,NW,yes,146.91,146.31,151.4,151.4,El Paso,On-Air,GGARC,,,,CCARC,yes,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,155.4,NW,yes,146.85,146.25,103.5,,El Paso,On-Air,W0RSH,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,155.4,NW,yes,147.39,147.99,103.5,,El Paso,On-Air,W0MOG,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,100,NM5ML,"Eagle Nest, Iron Mountain",NM,OPEN,,155.8,WSW,yes,444.35,449.35,100,,Colfax,On-Air,,,,,NMFCC,yes,,,,Full-time to the  Mega-Link System .,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.2,5,88.5,N5LTZ,Amarillo,TX,OPEN,,155.8,SSE,yes,444.2,449.2,88.5,88.5,Potter,On-Air,,,,,TVHFS,yes,,,,Full-time to the  Caprock Intertie System .,,,,"Randall County ARES-RACES, Caprock Intertie",,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.1625,-25,151.4,KA3IDN,Amarillo,TX,OPEN,E,156.2,SSE,yes,927.1625,902.1625,151.4,,Potter,On-Air,,361016,,,TVHFS,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,156.4,NW,yes,447.625,442.625,100,100,El Paso,On-Air,KD0MDP,363976,7301,,,yes,,,,Full-time to the  The Fun Machine System .,,,,The Fun Machine,Linked.,,,,,,,,,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441.65,5,127.3,N5LUL,Amarillo,TX,OPEN,,157.2,SSE,yes,441.65,446.65,127.3,,Potter,On-Air,,,,,TVHFS,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
