Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Features,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Coverage,Affiliate,Links,Notes,Web links,EchoLink,IRLP,Downlink Tone,Grid,Commands,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Nets,On-air,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,AllStar,YSF Digital Enabled,DG-ID,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Feed,WIRES-X,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Location Photo
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,24,SSE,yes,449.775,444.775,,,,Jefferson,On-Air,Denver Radio Club,,CCARC,yes,100,,,,Metro Denver,,,,Denver Radio Club,,,100,,,,,,,,,,,,,,Yes; analog capable.,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,24.4,SE,yes,449.65,444.65,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",Denver,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,24.4,SE,yes,448.075,443.075,,,,Denver,On-Air,W0IG,,CCARC,yes,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,24.4,SE,yes,449.675,444.675,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",Denver,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,yes,,,,,,,,,,,7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,24.4,SE,yes,448.55,443.55,,,,Denver,Off-Air,HPRA,E-power.,CCARC,yes,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,24.4,SE,yes,145.475,144.875,,,,Jefferson,On-Air,Intermountain Repeater Group,E-power.,CCARC,yes,100,,,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,24.4,SE,yes,447.9,442.9,,,,Denver,Off-Air,WB0TPT,,CCARC,yes,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,24.4,SE,yes,146.715,146.115,,,,Denver,On-Air,EARS,E-power.,CCARC,yes,123,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,24.4,SE,yes,447.925,442.925,,,,Denver,On-Air,RADOPS El Jebel Shriners,,CCARC,yes,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,24.7,E,yes,224.96,223.36,,,,Weld,On-Air,AC0KC,,CCARC,yes,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,25.5,ESE,yes,447.3,442.3,,,,Weld,On-Air,,,CCARC,yes,107.2,,,,,,,,,405804,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,25.7,NNW,yes,146.685,146.085,,,,Larimer,On-Air,Estes Valley ARC,E-power.,CCARC,yes,123,,,,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,625757,7268,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,ARES D-10: Thu at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,446.9375,441.9375,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,,CCARC,yes,,yes,7,,,,Full-time to the  Colorado TRBO System .,See the website for programming information.,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,145.145,144.545,,,,Clear Creek,On-Air,Colorado Repeater Assoc,E-power.,CCARC,yes,107.2,,,,Wide area. Denver metro.,,,,http://www.w0cra.org/info/squaw.html#145145,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,449.45,444.45,,,,Clear Creek,On-Air,Rocky Mountain Radio League,11,CCARC,yes,103.5,,,,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,,,Repeater,,,127.3,,,,,,,,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,146.94,146.34,,,,Clear Creek,On-Air,Rocky Mtn Radio League,11,CCARC,yes,103.5,,,,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,Repeater,,,103.5,,Autopatch: 911* / Off 0*.,,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,26,SSW,yes,449.35,444.35,,,,Clear Creek,On-Air,Denver Radio Club,11,CCARC,yes,100,,,,Wide area.,,,,DRC Repeaters,4140,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,146.67,146.07,,,,Clear Creek,On-Air,Castle Rock Repeater Group,11,CCARC,yes,100,,,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,,,,100,,,,,,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,448.675,443.675,,,,Denver,On-Air,W0CFI,,CCARC,yes,100,,,,Wide area.,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,26,SSW,yes,145.49,144.89,,,,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",E-power.,CCARC,yes,100,,,,,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,DRC Repeaters,,,100,,,,,,,,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,26,SSW,yes,147.3,147.9,,,,Clear Creek,On-Air,Denver PD EEB,,CCARC,yes,103.5,,,,Wide area.,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,26,SSW,yes,447.575,442.575,,,,Clear Creek,On-Air,Colorado Repeater Association (CRA),,CCARC,yes,107.2,,,,Wide area: Denver metro.,,,,http://www.w0cra.org,347088,3291,107.2,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,448.225,443.225,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,E-power(gen).,CCARC,yes,141.3,,,,,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,26.1,SSW,yes,449,444,,,,Clear Creek,On-Air,CARN,,CCARC,yes,136.5,,,,,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,26.5,S,yes,145.34,144.74,,,,Jefferson,On-Air,Rocky Mtn Radio League,E-power.,CCARC,yes,103.5,,,,Wide area.,,,,Repeater,,3350,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,26.5,S,yes,145.175,144.575,,,,Clear Creek,Off-Air,Rocky Mountain Ham Radio,,CCARC,yes,D073,yes,1,,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,Rocky Mountain Ham Radio,,,D073,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,27.6,NNE,yes,147.195,147.795,,,,Larimer,On-Air,Loveland Repeater Assoc,"Closed autopatch, e-power.",CCARC,yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,27.6,WSW,yes,147.285,147.885,,,,Grand,On-Air,Colorado Connection,,CCARC,yes,88.5,,,,,,Full-time to the  Colorado Connection System .,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,28.2,W,yes,447.45,442.45,,,,Grand,On-Air,W0IG,,CCARC,yes,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,28.3,NNW,yes,449.8,444.8,,,,Larimer,On-Air,Estes Valley ARC,E-Power,CCARC,yes,123,,,,,,"Full-time to  
        146.68500 (N0FH) at Estes Park, CO .","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,625757,7268,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,ARES D-10: Thu at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,28.4,NNE,yes,449.575,444.575,,,,Larimer,On-Air,Loveland Rptr Assoc,"Closed autopatch, e-power.",CCARC,yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,28.4,NNE,yes,224.32,222.72,,,,Larimer,Off-Air,KN6VV,"Closed autopatch, e-power.",CCARC,yes,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,29.4,ESE,yes,447.625,442.625,,,,Adams,On-Air,Intermountain Repeater Group,,,yes,100,,,,Local/North Metro,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,30.5,SE,yes,448.5,443.5,,,,Denver,On-Air,Castle Rock Repeater Group,E-power.,CCARC,yes,100,,,,Greater Denver area.,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,30.5,SE,yes,448.4,443.4,,,,Arapahoe,On-Air,,,CCARC,yes,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,30.5,SE,yes,448.825,443.825,,,,Arapahoe,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,30584,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,30.5,SE,yes,448.275,443.275,,,,Arapahoe,On-Air,W0BG,,CCARC,yes,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,31.5,SE,yes,448.15,443.15,,,,Denver,On-Air,K0GUR,E-power (batt).  2 meter and 70cm channel steerable remote bases.,CCARC,yes,141.3,,,,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",,Full-time to the  The Fun Machine System .,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,k0jsc.com,24340,,141.3,DM79pt,,,,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,29436,,,,,,,,,Listen Live,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,32.9,SE,yes,449.15,444.15,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,33.2,NNE,yes,448.025,443.025,,,,Larimer,On-Air,Northern Colorado ARC,,CCARC,yes,100,,,,,,,,,,,100,,,,,,,,,,,,,,Yes; analog capable.,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,33.3,ESE,yes,449.925,444.925,,,,Weld,On-Air,KD0RG,,CCARC,yes,114.8,,,,,K0UPS Club,,,,448035,,114.8,DN70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,34.2,S,yes,224.98,223.38,,,,Jefferson,Off-Air,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,yes,107.2,,,,Wide area. Denver.,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,347086,3990,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,34.2,S,yes,1287.9,1267.9,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),,CCARC,yes,CSQ,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,34.2,S,yes,447.15,442.15,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,yes,107.2,,,,Wide area: Denver.,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,34.6,S,yes,53.05,51.35,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),10,CCARC,yes,107.2,,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,34.7,NNE,yes,447.725,442.725,,,,Larimer,On-Air,W7RF,,CCARC,yes,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,34.8,S,yes,147.12,147.72,,,,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,yes,88.5,,,,Denver metro and east.,,,,http://www.n0ara.org,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,35.2,N,yes,1283.55,1263.55,,,,Larimer,On-Air,K1TJ Repeater System,,CCARC,yes,100,,,,Northern Colorado Front Range,,,,http://www.k1tj.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,35.2,N,yes,446.7375,441.7375,,,,Larimer,On-Air,N0AOL - NoCo C-Bridge Network,DMR-MARC World Wide Network,CCARC,yes,,yes,2,,Wide area: North Front Range.,,,Repeater ID: 310803,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,,,,,,,,,,,,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,,,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,1,1,1,1,2,2,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,35.2,N,yes,447.45,442.45,,,,Larimer,On-Air,,,CCARC,yes,123,,,,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,35.7,W,yes,446.875,441.875,,,,Clear Creek,On-Air,,,,yes,,yes,,,,RMHAM,,,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,35.7,W,yes,146.82,146.22,,,,Grand,,GCARA,E-power.,CCARC,yes,123,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,36.1,SSE,yes,449.6,444.6,,,,Jefferson,On-Air,Denver Radio League,,CCARC,yes,100,,,,,,,,DRL Repeaters,690473,3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,36.1,SSE,yes,146.88,146.28,,,,Jefferson,On-Air,Denver Radio League,E-power.,CCARC,yes,100,,,,Wide Area,,,6,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,36.5,N,yes,224.52,222.92,,,,Larimer,Off-Air,Northern Colorado ARC,E-power.,CCARC,yes,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,36.5,N,yes,145.115,144.515,,,,Larimer,On-Air,Northern Colorado ARC,7,CCARC,yes,100,,,,Wide area.,,,,,4236,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,36.5,N,yes,446.75,441.75,,,,Larimer,On-Air,Rocky Mountain Ham Radio,,CCARC,yes,,yes,7,,,,Full-time to the  Colorado TRBO System .,See website for complete info on color codes/time slot assignment.,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,2,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,36.5,N,yes,927.825,902.825,,,,Larimer,On-Air,AB0SF,,CCARC,yes,100,,,,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",,,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,36.5,N,yes,927.95,902.95,,,,Larimer,On-Air,K1TJ Repeater System,25,CCARC,yes,100,,,,Northern Front Range,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,36.5,N,yes,145.265,144.665,,,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,,CCARC,yes,,yes,2,,Northern Colorado Front Range Wide Area coverage.,Brandmeister Network,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",http://www.w0dmr.org/,,,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,,,BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,,,,,,1,,,2,2,1,1,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,36.5,N,yes,447.275,442.275,,,,Larimer,On-Air,Northern Colorado ARC,"Closed autopatch, e-power.",CCARC,yes,100,,,,Wide area.,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,37.8,S,yes,447.5,442.5,,,,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,yes,88.5,,,,Wide area.,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,38.1,SE,yes,145.19,144.59,,,,Arapahoe,On-Air,N0OBA,Autopatch (please contact trustee).,,yes,151.4,,,,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,10079,,131.8,,,,,,,,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,38.7,N,yes,927.875,902.875,,,,Larimer,Off-Air,WA6IMI,,CCARC,yes,D114,,,,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",Down due to lightning strike. Scheduled to return end of June 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,38.7,N,yes,449.425,444.425,,,,Larimer,On-Air,,,,yes,94.8,,,,,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,39.6,SE,yes,449.425,444.425,,,,Arapahoe,Off-Air,K0PWO,,,yes,D023,,,,,,,Colorado SNP (Shared non-protected pair),,,,D023,,,,,,,,,,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,39.7,NNE,yes,147.36,147.96,,,,Larimer,On-Air,CO State Univ ARC,Closed autopatch.,CCARC,yes,100,,,,Map,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,39.8,SE,yes,145.4,144.6,,,,Arapahoe,On-Air,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,yes,100,,,,Greater Denver area.,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,40,NNE,yes,446.8125,441.8125,yes,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",Larimer,On-Air,W0QEY CSU,D-Star Gateway,CCARC,yes,,,,,Fort Collins Local Area,,,Free Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
