Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,YSF Digital Enabled,DG-ID,County,Op Status,Coverage,Affiliate,Features,Notes,Last update,Uplink Tone,Downlink Tone,WIRES-X,Mixed-Mode,Sponsor,Links,EchoLink,IRLP,Coordination,Web links,On-air,Commands,Grid,AllStar,Nets,Feed,Talkgroups,Colorado,Southern Colorado,Denver Regional,Worldwide,North America,Local/Cluster,Location Photo,P25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Northern Colorado,English,TAC 310,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,N. Colorado,Mountain Reg USA,Worldwide English,Amarillo WIRES-X,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Kansas,Bandwidth,CKRG,KansasLink
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,100.4,WNW,,445.0625,440.0625,,,,,1,,,,El Paso,Off-Air,,,The DMR-MARC Worldwide Network,,,,,,,Rocky Mountain Ham Radio,,,,CCARC,,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,100.4,WNW,,927.85,902.85,,,,,,,,,Teller,On-Air,,,9,,,D114,,,,CMRG,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,CCARC,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,100.4,WNW,,446.9125,441.9125,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,El Paso,On-Air,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,100.5,SW,,145.43,144.83,,,,,,,,,Las Animas,On-Air,,,,,,107.2,,,,Cheyenne Mountain Repeater Group,,,,CCARC,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,100.7,WNW,,147.135,147.735,,,,,,,,,El Paso,On-Air,,,6,,,100,,,,AA0L,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,100.8,NW,,447.625,442.625,,,,,,,,,El Paso,On-Air,,The Fun Machine,Linked.,,,100,100,,,KD0MDP,Full-time to the  The Fun Machine System .,363976,7301,,,,,,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,100.8,WNW,,145.265,144.665,,,,,,,,Open ↑ / Open ↓,El Paso,Off-Air,Local. Good coverage of I25 in Colorado Springs.,,"Closed autopatch, e-power.",Repeater has been moved.,,100,100,,Yes; analog capable.,Pikes Peak FM Association,,,,CCARC,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,100.8,WNW,,448.8,443.8,,,,,,,,Open ↑ / Open ↓,El Paso,Off-Air,,,,,,100,100,,Yes; analog capable.,Pikes Peak FM Assoc,,,,CCARC,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,100.9,WNW,,448.725,443.725,,,,,,,,,El Paso,On-Air,,,,,,123,,,,KA0TTF,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,101,WNW,,448.1,443.1,,,,,,,,,El Paso,On-Air,Wide area.,,"Closed autopatch, e-power.",,,107.2,107.2,,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,CCARC,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,101,WNW,,448,443,,,,,,,,,El Paso,On-Air,,,,,,107.2,,,,,,,,CCARC,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,101,WNW,,145.16,144.56,,,,,,,,,El Paso,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",CRA VHF Link System,"Closed autopatch, e-power.",Switch to this repeater at mile marker 170 on I-25.,,107.2,107.2,,,Colorado Repeater Association,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,3990,CCARC,http://www.w0cra.org/info/cosprgs.html#145160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,101,SW,,446.775,441.775,,KD0RDI (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,Colfax,On-Air,,,,,,,,,,Cheyenne Mountain Repeater Group,,,,NMFCC,http://www.cmrg.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,101,WNW,,147.345,147.945,,,,,,,,,El Paso,On-Air,Wide area.,,"Closed autopatch, e-power.",,,107.2,107.2,,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,3854,CCARC,http://www.cmrg.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,101,WNW,,146.76,146.16,,,,,,,,,El Paso,On-Air,,,"Closed autopatch, e-power.",,,107.2,107.2,,,Cheyenne Mountain Repeater Group,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,101.4,WNW,,449.575,444.575,,,,,,,,,El Paso,On-Air,,,,,,,,,,RMHARC,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,101.4,WNW,,224.06,222.46,,,,,,,,,El Paso,,Wide area.,,"E-power, linked.",,,,,,,Pikes Peak FM Association (PPFMA),,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,101.4,WNW,,447.55,442.55,,,,,,,,,El Paso,On-Air,,,,,,123,,,,WA6IFI,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,101.4,WNW,,448.6,443.6,,,,,,,,,El Paso,,,,,,,114.8,,,,W0MOG,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,101.4,WNW,,447.475,442.475,,,,,,,,,El Paso,,,,"Closed autopatch, e-power.",,,107.2,,,,Mountain ARC (MARC),"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,CCARC,,Unknown,,,,MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,101.4,WNW,,448.25,443.25,,,,,,,,,El Paso,Off-Air,Colorado Springs,,,,,123,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,101.4,WNW,,448.3,443.3,,,,,,,,,El Paso,On-Air,,,,,,100,,,,AA0L,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,101.4,WNW,,447.025,442.025,,,,,,,,,El Paso,Off-Air,,,"Closed autopatch, e-power, linked, remote base.",,,123,,,,Colorado Springs ARA,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,101.4,WNW,,447.35,442.35,,,,,,,,,El Paso,On-Air,,,E-power.,,,151.4,,,,GGARC,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,101.4,WNW,,927.8,902.8,,,,,,,,,Teller,On-Air,,,6,,,D116,,,,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,101.6,WNW,,146.85,146.25,,,,,,,,,El Paso,On-Air,,,,,,103.5,,,,W0RSH,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,101.6,WNW,,147.39,147.99,,,,,,,,,El Paso,On-Air,,,,,,103.5,,,,W0MOG,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,101.6,WNW,,147.27,147.87,,,,,,,,,El Paso,On-Air,,,E-power.,,,,,,,TRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,101.6,WNW,,146.91,146.31,,,,,,,,,El Paso,On-Air,,,E-power.,,,151.4,151.4,,,GGARC,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,102.9,NW,,224.72,223.12,,,,,,,,,El Paso,On-Air,Local,,,,,103.5,103.5,,,w0mog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,104.4,SW,,147.28,147.88,,,,,,,,,Colfax,On-Air,Wide area.,,8,,,100,,,,,Full-time to the  Mega-Link System .,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,104.9,WSW,,145.355,144.755,,,,,,,,,Huerfano,On-Air,,,"E-power, linked.",,,100,,,,N0JPX,,,3974,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.6,5,146.2,WA0VJR,Wallace,KS,OPEN,I,105.8,NE,,444.6,449.6,,,,,,,,,Wallace,On-Air,"US-40 
   Repeater Coverage Map",,,Dial 9335 to access K-Link,,146.2,,,,WA0VJR,,,3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,106.8,W,,447.175,442.175,,,,,,,,,Pueblo,Off-Air,Wide area: Southeast Colorado.,,11,,,88.5,,,,Pueblo HC,,,,CCARC,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,106.8,W,,224.32,222.72,,,,,,,,,Custer,Off-Air,,,11,,,88.5,,,,Pueblo Ham Club,,,,CCARC,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,106.8,W,,449.625,444.625,,,,,,,,,Custer,On-Air,,,E-power.,,,107.2,,,,,,,,CCARC,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,156.7,N0OMC,Lakin,KS,OPEN,,107,ESE,,146.985,146.385,,,,,,,,,Kearney,On-Air,"Kearny, Finney and Scott Counties",,E-power,Linked full time to the Garden City 146.910 and Scott City 146.700 repeaters,,156.7,156.7,,,N0OMC,,,,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,K0ECT,Ulysses,KS,OPEN,,107.3,SE,,147.06,147.66,,,,,,,,,Grant,On-Air,Local,,,,,,,,,SKECT,,,,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,107.5,WNW,,147.18,147.78,,,,,,,,,El Paso,On-Air,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,E-power (solar).,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,100,,,,AA0SP,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,107.5,WNW,,927.725,902.725,,,,,,,,,Teller,On-Air,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",,12,,,D114,D114,,,WA6IFI,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,CCARC,Yahoo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,107.5,WNW,,446.95,441.95,,,,,7,,,,Teller,On-Air,Monument Hill through Pueblo.,RMHAM,,,,,,,,Rocky Mountain Ham Radio,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,110.2,WNW,,449.975,444.975,,,,,,,,,Fremont,On-Air,,The Fun Machine,Simulcast TX / Voted RX with Cedarwood and Salida,,,100,100,,,K0JSC,Full-time to the  The Fun Machine System .,,,CCARC,http://www.k0jsc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,110.5,WSW,,449.75,444.75,,,,,,,,,Las Animas,On-Air,,The Fun Machine,,,,100,100,,,N0ZSN,Full-time to the  The Fun Machine System .,363976,7301,CCARC,The Fun Machine,,,,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,111.9,WNW,,447.975,442.975,,,,,,,,,Fremont,On-Air,"Canon City area. 
   Repeater Coverage Map",,Autopatch.,,,100,100,,,K0JSC,Full-time to the  The Fun Machine System .,363976,7301,CCARC,http://www.k0jsc.com,,,,28368,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,112.1,WNW,,448.45,443.45,,,,,,,,,El Paso,On-Air,Wide area.,,E-power.,,,100,,,,Pikes Pk FM Assoc,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,CCARC,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,112.1,WNW,,146.97,146.37,,,,,,,,,El Paso,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",,"Closed autopatch, e-power.",,,100,123,,,Pikes Peak FM Assoc,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,CCARC,PPFMA Repeaters,,,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.525,5,141.3,K0ECT,"Ulysses, Wagon Bed Springs",KS,OPEN,,113,SE,,444.525,449.525,,,,,,,,,Grant,On-Air,,,E-power.,,,141.3,141.3,,,SKECT,Full-time to the  SKECT System .,,,Kansas Repeater Council,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,113.8,NW,,447.725,442.725,,,,,,,,,El Paso,On-Air,Local.,,30,,,100,100,,,K0NR,,,,CCARC,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,115.1,WNW,,927.7,902.7,,,,,,,,,Fremont,On-Air,,,,,,D114,D114,,,Royal Gorge ARC,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,115.3,WNW,,447.75,442.75,,,,,,,,,Fremont,On-Air,,,E-power (Bat),,,103.5,103.5,,,RGARC,,,3081,CCARC,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,115.3,WNW,,145.49,144.89,,,,,,,,,Fremont,On-Air,,Colorado ARES Region 5 District 1,E-power (Bat),,,103.5,103.5,,,Royal Gorge Amateur Radio Club,,,,CCARC,Royal Gorge Amateur Radio Club,,,DM78ik,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,115.3,WNW,,223.96,222.36,,,,,,,,,Fremont,On-Air,"Wide area. 
   Repeater Coverage Map",,"E-power (Bat), Remote Base",,,103.5,103.5,,,RGARC,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,115.3,WNW,,53.03,51.33,,,,,,,,,Fremont,On-Air,,RGARC,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",Split site Fremont peak transmitter and 8 mile mountain reciever.,,88.5,88.5,,,WB0WDF,,,,CCARC,Http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,115.3,WNW,,446.7375,441.7375,,,,,7,,,,Fremont,On-Air,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",Rocky Mountain Ham Radio,IPSC Link to the Colorado network on Talk Slot 2.,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,,,,,Full-time to the  Colorado TRBO System .,,,CCARC,http://www.k0jsc.com,,,DM78ii,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,115.3,WNW,,447.25,442.25,,,,,,,,,Fremont,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,,,,100,100,,,,Full-time to the  The Fun Machine System .,363976,7301,CCARC,K0JSC dot Com,,,DM78ik,28368,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,115.8,WNW,,147.015,147.615,,,,,,,,,Teller,On-Air,,,E-power.,,,107.2,,,,Mountain ARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,CCARC,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,115.8,WNW,,145.46,144.86,,,,,,,,,Teller,On-Air,,RGARC,"E-power, 100% Solar",,,67,,,,WB0WDF,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,115.8,WNW,,224.94,223.34,,,,,,,,,Teller,Testing,,,,,,67,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,115.8,WNW,,447.4,442.4,,,,,,,,,Teller,On-Air,,,"E-power, Solar, Remote Base",,,67,,,,WB0WDF,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,115.8,WNW,,1287.7,1267.7,,,,,,,,,Teller,Testing,,,,Testing in Canon City,,67,,,,WB0WDF,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,118,WNW,,146.82,146.22,,,,,,,,,Teller,On-Air,,,E-power.,,,107.2,,,,Mountain ARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,CCARC,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,118,WNW,,449.025,444.025,,,,,,,,,Teller,,,,Linked.,,,141.3,,,,Mountain Amateur Radio Club (MARC),,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,118,WNW,,448.65,443.65,,,,,,,,,Teller,On-Air,,MARC,E-power.,,,107.2,,,,Mountain ARC (MARC),"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,CCARC,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
