500,Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Coverage,Features,Links,Commands,Affiliate,Web links,D-STAR Enabled,Node,Sources,Grid,AllStar,Mixed-Mode,Nets,EchoLink,IRLP,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,On-air,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,Bandwidth,WIRES-X,Feed,DTMF,A + [number],B
,145.175,-0.6,141.3,NM5EM,"Socorro, Socorro Peak",NM,OPEN,,0,ESE,yes,145.175,144.575,141.3,141.3,Socorro,On-Air,New Mexico Emergency Management Association Amateur Radio Club,Emergency &amp; Secondary Repeater. Use W5AQA 146.68-(100) for Primary.,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.24,0.6,100,NM5ML,"Socorro, Socorro Peak",NM,OPEN,,4.1,WNW,yes,147.24,147.84,100,88.5,Socorro,On-Air,New Mexico Mega Link Association,Linked repeater system covering the entire state,NMFCC,yes,Wide area.,7,Full-time to the  Mega-Link System .,Autopatch: 123- New Mexico State Police (Socorro Office).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.68,-0.6,100,W5AQA,"Socorro, M Mountain",NM,OPEN,,4.2,WNW,yes,146.68,146.08,100,123,Socorro,On-Air,Socorro Amateur Radio Association,7,NMFCC,yes,"Wide area; Albuquerque, Belen to Truth or Consequences along I-25.",E-power.,,,Tech Amateur Radio Association,Socorro Amateur Radio Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.5,5,,W5AQA,"Socorro, M Mountain",NM,OPEN,,4.2,WNW,yes,444.5,449.5,,,Socorro,On-Air,Socorro ARA,,,yes,,,,,,,yes,W5AQA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.75,5,100,WB5QHS,"Socorro, West Peak",NM,CLOSED,,4.2,WNW,yes,444.75,449.75,100,88.5,Socorro,On-Air,Jack's Peak Amateur Radio Association,Linked club repeater for members only,NMFCC,yes,Jack's Peak,,Full-time to the  Cactus Intertie System .,,Cactus Intertie System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.125,5,123,KC5ORO,"Socorro, West Peak",NM,OPEN,A,4.6,WNW,yes,442.125,447.125,123,123,Socorro,On-Air,"TARA ,  RMHAM ,  SARA , KD0WHB",TARA student radio club 440MHz repeater. Half duplex AllStar link. Located on top of the West Peak west of Socorro.,NMFCC,yes,Socorro County,AllStar link,,,,New Mexico Tech Amateur Radio Association,,,,DM64nb,45499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.975,-5,114.8,WB5QHS,"T or C, Caballo Pk",NM,PRIVATE,,20,WSW,yes,448.975,443.975,114.8,,Sierra,On-Air,WB5QHS,,NMFCC,yes,"NM, AZ, TX, CA, OR, DC",,,MEMBERS ONLY,Jacks Peak Amateur Radio Association/Cactus Intert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.7,-0.6,100,KC5OUR,Belen,NM,OPEN,,42.3,N,yes,146.7,146.1,100,,Valencia,On-Air,Valencia Co Amateur Radio Association,,,yes,,E-power.,,,,,,,,,,Yes; analog capable.,VCARA: Wed at 20:00,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.075,5,100,W5NES,Mountainair,NM,OPEN,,49,NE,yes,444.075,449.075,100,,Torrance,On-Air,W5NES,,NMFCC,yes,"Excellent coverage in Albuquerque, up to Santa Fe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.225,5.1,,N5CUL,Los Lunas,NM,OPEN,,52.4,N,yes,442.225,447.275,,,Valencia,Off-Air,N5CUL,,NMFCC,yes,Los Lunas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.125,5,100,WA5TSV,Los Lunas,NM,OPEN,,52.4,N,yes,444.125,449.125,100,,Valencia,On-Air,Los Lunas ARA,,NMFCC,yes,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.525,5,,K5URD,"Belen, Capilla Peak",NM,OPEN,,52.5,NNE,yes,444.525,449.525,,,Torrance,On-Air,Upper Rio FM Soc,9,NMFCC,yes,Wide area.,E-power.,,,,URFMS Repeaters,yes,K5URD (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.96,-0.6,100,K5URR,"Belen, Capilla Peak",NM,OPEN,,52.5,NNE,yes,146.96,146.36,100,88.5,Torrance,On-Air,Upper Rio FM Society,,NMFCC,yes,Wide area.,9,,,,http://www.urfmsi.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.32,0.6,141.3,NM5EM,"Datil, Madre Mtn.",NM,OPEN,,54.8,W,yes,147.32,147.92,141.3,,Catron,On-Air,NMEMA ARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,223.82,-1.6,,WA5VJY,Albuquerque,NM,OPEN,,55.5,NNE,yes,223.82,222.22,,,Bernalillo,Off-Air,NM 220 S,,NMFCC,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29.68,-0.1,100,WS5MR,"White Sands Mountain Range, Salinas Peak",NM,OPEN,,56.4,SSE,yes,29.68,29.58,100,88.5,Sierra,On-Air,Aliens,"Somewhere high in the San Andres mountains of central New Mexico exists a plateau shrouded in mystery and wonder, a place where few men have dared to venture, and fewer stil have returned to tell.",,yes,"Elevation 8,967 ft.",,,,,,,,,DM63rh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
