Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Features,Web links,Coordination,Last update,Coverage,Commands,On-air,Grid,Links,YSF Digital Enabled,DG-ID,Mixed-Mode,Nets,Notes,Affiliate,EchoLink,IRLP,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Local Network,Talkgroups,Worldwide English,North America,Simplex,TAC 310,TAC 311,DCI Bridge,Echo Test,Hytera USA Reflector,MPRG 2,BGV,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,AllStar,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,Parrot,Talkgroup Network,Idaho,Bandwidth,Feed
146.62,-0.6,88.5,KK3ARC,Kooskia,ID,OPEN,,2.6,NNE,,146.62,146.02,88.5,100,Idaho,On-Air,3,E-power (solar).,http://3riversarc.webs.com/,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.925,5,100,,"Kamiah, KOA Campground",ID,OPEN,,4.9,NNW,,443.925,448.925,100,100,Idaho,On-Air,John T. Biggs Sr.,,,,,Kamiah area only,Auto patch 6789 for dial tone 9876 to hang up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.68,-0.6,100,KC7MGR,Grangeville,ID,OPEN,,16.6,SSW,,146.68,146.08,100,,Idaho,On-Air,Camas Prairie ARC,Autopatch.,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,,,Cottonwood,ID,OPEN,,19,WSW,,444.4,449.4,,,Idaho,,,,,UVHFS,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,,,Cottonwood,ID,OPEN,,19,WSW,,447.4,442.4,,,Idaho,,,,,UVHFS,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.84,-0.6,100,KB7VOL,"Cottonwood, Cottonwood Butte",ID,OPEN,,23.9,WSW,,146.84,146.24,100,,Idaho,Off-Air,CPARC,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,K7EI,"Cottonwood, Cottonwood Butte",ID,CLOSED,,23.9,WSW,,444.95,449.95,100,,Idaho,,,,,UVHFS,,,,Unknown,DN16sb,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.875,5,100,K7EI,Orofino,ID,OPEN,,26.6,NNW,,444.875,449.875,100,,Clearwater,On-Air,,,,UVHFS,,,,,,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,,KC7VBT,Orofino,ID,OPEN,,26.6,NNW,,145.49,144.89,,,Clearwater,On-Air,CVARC,Autopatch. Analog and Digital in / Analog out,,UVHFS,,Orofino area,,,,,,Open ↑ / Open ↓,Yes; analog capable.,Sunday @ 19:30 PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.27,-0.6,100,KD7ALJ,Orofino,ID,OPEN,,26.6,NNW,,145.27,144.67,100,,Clearwater,,,,,UVHFS,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,131.8,K7NDX,"Orofino, Wells Bench",ID,OPEN,,28.2,NNW,,146.76,146.16,131.8,,Clearwater,On-Air,Clearwater Valley ARC,E-power.,,UVHFS,,Orofino area,,,,,,,,Sun at 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,206.5,W7WWS,Peck,ID,OPEN,,31.2,NW,,145.21,144.61,206.5,,Nez Perce,,NPCEM,,,UVHFS,,,,Unknown,,,,,,,W7WWS is a silent key as of 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.35,-1.7,100,K7EI,"Lewiston, Craig Mountain",ID,CLOSED,,40.7,W,,53.35,51.65,100,,Nez Perce,On-Air,K7EI,,,UVHFS,,,,,,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,110.9,K7EI,"Lewiston,  Craig Mountain",ID,OPEN,,40.7,W,,146.92,146.32,110.9,,Nez Perce,On-Air,K7EI,Linked.,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.1,5,103.5,K7EI,"Lewiston,  Craig Mountain",ID,CLOSED,,42.1,W,,442.1,447.1,103.5,,Nez Perce,On-Air,K7EI,,,UVHFS,,,,,DN16oe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KF7WOR,"Elk River, Elk Butte",ID,OPEN,,45.2,NNW,,145.19,144.59,,,Clearwater,On-Air,"Glen Ahlborn, AF7JB",,http://www.kbara.org,IACC,,,,,,,,,,7,,Kamiak Butte Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
