Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Coordination,Last update,Features,Coverage,Links,Nets,Web links,On-air,Affiliate,EchoLink,AllStar,Notes,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,12.4,NNW,,446.875,441.875,,,Douglas,On-Air,W0VG,CCARC,,,,Full-time to the  Colorado TRBO System .,,http://www.rmham.org,,RMHAM,,,,,6,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,16.6,SE,,147.39,147.99,103.5,,El Paso,On-Air,W0MOG,CCARC,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,16.6,SE,,147.27,147.87,,,El Paso,On-Air,TRA,,,E-power.,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,16.6,SE,,146.91,146.31,151.4,151.4,El Paso,On-Air,GGARC,CCARC,,E-power.,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,16.6,SE,,146.85,146.25,103.5,,El Paso,On-Air,W0RSH,CCARC,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,16.8,SE,,448.25,443.25,123,,El Paso,On-Air,,CCARC,,,Colorado Springs,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,16.8,SE,,448.3,443.3,100,,El Paso,On-Air,AA0L,CCARC,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,16.8,SE,,447.475,442.475,107.2,,El Paso,,Mountain ARC (MARC),CCARC,,"Closed autopatch, e-power.",,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 1930.,,Unknown,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,16.8,SE,,448.6,443.6,114.8,,El Paso,,W0MOG,CCARC,,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,Unknown,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,16.8,SE,,447.025,442.025,123,,El Paso,Off-Air,Colorado Springs ARA,CCARC,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,16.8,SE,,447.35,442.35,151.4,,El Paso,On-Air,GGARC,CCARC,,E-power.,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,16.8,SE,,224.06,222.46,,,El Paso,,Pikes Peak FM Association (PPFMA),CCARC,,"E-power, linked.",Wide area.,,,,Unknown,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,16.8,SE,,449.575,444.575,,,El Paso,On-Air,RMHARC,CCARC,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,16.8,SE,,927.8,902.8,D116,,Teller,On-Air,,CCARC,,6,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,16.8,SE,,447.55,442.55,123,,El Paso,On-Air,WA6IFI,CCARC,,,,,,,,,,,,,,,,,,,,
