Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,Downlink Tone,EchoLink,AllStar,Nets,Affiliate,Links,IRLP,Notes,On-air,Commands,Grid,Location Photo,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,0.1,NE,,146.9,146.3,88.5,Grand,On-Air,Moab and immediate surroundings.,Sinbad Desert ARC,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",http://sdarc.us/repeaters/moab.html,UVHFS,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,12.5,SE,,449.1,444.1,107.2,Grand,On-Air,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",Grand Mesa Repeater Association (GMRA),8,GMRA Repeaters,UVHFS,,107.2,,,RACES Wed. 1930 hours,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,12.7,SE,,146.76,146.16,88.5,Grand,On-Air,Moab and immediate surroundings.,Sinbad Desert ARC,,http://www.sdarc.us/repeaters/bald.html,UVHFS,,,,,,,,,8,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,48.8,ESE,,449.4,444.4,131.8,Mesa,On-Air,Wide area via links - Western Colorado - Eastern Utah,"WA4HND,  Grand Mesa Repeater Association",E-power.,http://www.gmra.org,CCARC,,131.8,,,RACES Wed 1930 Hrs,,Full-time to the  GMRA Open System .,3710,Closed IRLP out - Ask for a control op,,,,,,,,,,,,,,
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,50.9,S,,146.61,146.01,88.5,San Juan,On-Air,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Sinbad Desert ARC,Remote base.,http://www.sdarc.us/repeaters/abajo.html,UVHFS,,,64264,,,,,3270,11.36,,,,,,,,,,,,,,
447.4,-5,,K7QEQ,"Monticello, Abajo Peak",UT,CLOSED,,50.9,S,,447.4,442.4,,San Juan,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,11,,UVHFS,,,,,,Cactus-Intertie,,,,Unknown,,,,,,,,,,,,,
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,,50.9,S,,447.1,442.1,107.2,San Juan,On-Air,Wide area.,Grand Mesa Repeater Association (GMRA),E-power.,http://gmra.org,UVHFS,,107.2,,,,,Full-time to the  GMRA Open System .,,11,,,,,,,,,,,,,,
223.94,-1.6,,K7QEQ,"Monticello, Abajo Pk",UT,CLOSED,,50.9,S,,223.94,222.34,,San Juan,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Grand Mesa Rptr Assoc,11,,UVHFS,,,,,,,,,,Unknown,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,55,NE,,449.575,444.575,131.8,Mesa,On-Air,Grand Junction,,e-power. Linked to GMRA Open System,GMRA Repeaters,CCARC,,131.8,,,Wed RACES Net 1930 Hrs,Grand Mesa Repeater Assoc,,3710,Closed IRLP out,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,55,NE,,146.94,146.34,107.2,Mesa,On-Air,Grand Junction 30-50 mi,Western Colorado Amateur Radio Club,E-power and autopatch for WCARC members,http://w0rrz.org,CCARC,,107.2,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,61.1,E,,448.15,443.15,100,Mesa,On-Air,,,,,CCARC,,,312189,,,,,7963,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,62.5,E,,147.355,146.755,88.5,Mesa,On-Air,,Colorado Connection,,,CCARC,,123,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,63.6,E,,145.22,144.62,107.2,Mesa,,,KE0TY,,,CCARC,,,,,,,,,,Unknown,,,,,,,,,,,,,
