Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Last update,Downlink Tone,EchoLink,IRLP,Notes,Affiliate,Web links,Coordination,On-air,DMR Enabled,Color Code,Wide Network,Local Network,Talkgroups,Worldwide English,North America,TAC 310,TAC 311,DCI Bridge,Parrot,Hytera USA Reflector,MPRG 2,BGV,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,Mixed-Mode,Links,Simplex,Echo Test,Nets,Commands,Grid,YSF Digital Enabled,DG-ID,AllStar,Bandwidth,WIRES-X,Talkgroup Network,Idaho,D-STAR Enabled,Node,Sources,P25 Digital Enabled,NAC,Default Reflector
448.9,-5,CC1 131.8,WR7HLN,"Missoula, University Mountain",MT,OPEN,E,87,NNE,,448.9,443.9,131.8,Missoula,On-Air,"Missoula, Stevensville, Hamilton, Polson, Drummond, Superior, and I90",Mac Pass Repeater Group,"E-power (batt). 5,366 Feet ASL",,131.8,448900,,DMR Info on our Website at: http://www.dmr-montana.net,,http://www.wr7hln.org,MRCC,,,1,BrandMeister,Mac Pass Repeater Group,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Sched    North America  1  93  PTT    Simplex  1  99      TAC 310  1  310  PTT    TAC 311  1  311  PTT    DCI Bridge  1  3100  PTT    Echo Test  1  9990  PTT    Hytera USA Reflector  1  31089  PTT    MPRG 2  1  31302  PTT    NW7RG-USA  1  31304  PTT    USA - Area 7 4647  1  31607  PTT    Local/Cluster  2  2  Full-Time    Montana  2  3130  Full-Time    MPRG  2  31301  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,1,1,,1,1,,1,1,2,2,2,Yes; analog capable.,Full-time to the  Mac Pass Repeater Group System .,1,1,,,,,,,,,,,,,,,,
146.92,-0.6,100,WR7HLN,"Missoula, University Mountain",MT,OPEN,,87,NNE,,146.92,146.32,100,Missoula,On-Air,"I90, Missoula, Hamilton, Stevensville, Polson, Drummond, Superior",Mac Pass Repeater Group,,,100,,,,,http://www.macpassradio.com/mprg/toston/,,,,,,,,,,,,,,,,,,,,,,,Full-time to the  Mac Pass Repeater Group System .,,,,,,,,,,,,,,,,,,
147,0.6,,NZ7S,"Missoula,  University Mountain",MT,OPEN,,87,NNE,,147,147.6,,Missoula,On-Air,,NZ7S,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,W7PX,"Missoula,  Point Six",MT,OPEN,,87.8,N,,146.9,146.3,88.5,Missoula,,Wide area.,Hellgate Amateur Radio Club,7,,,,,10,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.8,-0.6,88.5,W7PX,"Missoula, Blanchard Mountain",MT,OPEN,,87.8,N,,146.8,146.2,88.5,Missoula,On-Air,,Hellgate Amateur Radio Club,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.85,-1,,K7UXO,Missoula,MT,OPEN,,87.8,N,,52.85,51.85,,Missoula,,,K7UXO,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,,W7PX,"Missoula, Point Six",MT,OPEN,,87.8,N,,147.04,147.64,,Missoula,,Wide area.,Hellgate Amateur Radio Club,7,,,,,10,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,HARC: Wed at 21:00,,,,,,,,,,,,,,,
444.8,5,88.5,W7PX,"Missoula,  Point Six",MT,OPEN,,87.8,N,,444.8,449.8,88.5,Missoula,,,Hellgate Amateur Radio Club,7,,,,,10,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.62,-0.6,88.5,KK3ARC,Kooskia,ID,OPEN,,88.7,WNW,,146.62,146.02,88.5,Idaho,On-Air,,3,E-power (solar).,,100,,,,,http://3riversarc.webs.com/,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.02,0.6,107.2,W7VNE,Butte,MT,OPEN,,89.1,E,,147.02,147.62,107.2,Silver Bow,On-Air,30,Anaconda ARC,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.5,3,107.2,,Butte,MT,OPEN,,89.1,E,,144.5,147.5,107.2,Silver Bow,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB8ML,Butte,MT,OPEN,E,89.1,E,,449.4,444.4,131.8,Silver Bow,Off-Air,,,,,,355351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,W7ROE,Butte,MT,OPEN,,89.1,E,,146.94,146.34,100,Silver Bow,On-Air,Wide area.,Butte ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.68,-0.6,100,KC7MGR,Grangeville,ID,OPEN,,90.4,WNW,,146.68,146.08,100,Idaho,On-Air,,Camas Prairie ARC,Autopatch.,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.925,5,100,,"Kamiah, KOA Campground",ID,OPEN,,91.6,WNW,,443.925,448.925,100,Idaho,On-Air,Kamiah area only,John T. Biggs Sr.,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto patch 6789 for dial tone 9876 to hang up,,,,,,,,,,,,,,
146.9,-0.6,123,KC7MCC,"McCall, Brundage Mtn",ID,OPEN,,98.6,WSW,,146.9,146.3,123,Valley,On-Air,"Adams, Valley and southern Idaho counties.",CIARC,"Linked to 147.020, 441.925, 444.125.",,,,,Use contact form on www.ciarc.org,Central Idaho Amateur Radio Club,http://www.ciarc.org,W7ZRQ,,,,,,,,,,,,,,,,,,,,,,"Full-time to  
        444.12500 (N7IBC) at McCall, ID .
 


Full-time to  
        147.02000 (KC7MCC) at Mccall, No Business Montain, ID .",,,ID ARES District 3: Monday 2030 Local,,DN15WA,,,,,,,,,,,,,
146.9,-0.6,,KC7MCC,"McCall, Brundage Mtn",ID,OPEN,,98.6,WSW,,146.9,146.3,,Valley,On-Air,"Adams, Valley and southern Idaho counties.",CIARC,"Linked to 441.925, 444.125",,,,,Use contact form on www.ciarc.org,Central Idaho Amateur Radio Club,http://www.ciarc.org,,,,,,,,,,,,,,,,,,,,,,,"Full-time to  
        147.02000 (KC7MCC) at Mccall, No Business Montain, ID .",,,Wednesday before first Thursday of month (night before monthly CIARC meetings).,,,,,,,,,,,,,,,
444.125,5,CC0 100.0,N7IBC,McCall,ID,OPEN,,100.2,WSW,,444.125,449.125,100,Valley,Off-Air,"McCall, Donnelly",N7IBC,"Linked, 2m Remote Base, 10m Remote Base",,,,,Low Level.,Central Idaho Amateur Radio Club (CIARC)  KC7MCC,,W7ZRQ,,,0,,,,,,,,,,,,,,,,,,,"Full-time to  
        146.90000 (KC7MCC) at McCall, Brundage Mtn, ID .
 


Full-time to  
        147.02000 (KC7MCC) at Mccall, No Business Montain, ID .",,,,,,,,,,,,,,,,,,
442.5,5,100,KC7MCC,"McCall, Brundage Mountain",ID,OPEN,,101,WSW,,442.5,447.5,100,Adams,On-Air,,Central Idaho Amateur Radio Club (CIARC),,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,103.5,W1KGK,"Missoula, Point Six",MT,OPEN,,102.7,NNE,,147.12,147.72,103.5,Missoula,On-Air,Western Montana from Idaho to Central Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,,,Cottonwood,ID,OPEN,,103,WNW,,447.4,442.4,,Idaho,,,,,,,,,,,,UVHFS,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,,,Cottonwood,ID,OPEN,,103,WNW,,444.4,449.4,,Idaho,,,,,,,,,,,,UVHFS,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.84,-0.6,100,KB7VOL,"Cottonwood, Cottonwood Butte",ID,OPEN,,108.7,WNW,,146.84,146.24,100,Idaho,Off-Air,,CPARC,,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,K7EI,"Cottonwood, Cottonwood Butte",ID,CLOSED,,108.7,WNW,,444.95,449.95,100,Idaho,,,,,,,,,,,,UVHFS,Unknown,,,,,,,,,,,,,,,,,,,,,Full-time to the  K7EI System .,,,,,DN16sb,,,,,,,,,,,,,
147.02,0.6,100,KC7MCC,"Mccall, No Business Montain",ID,OPEN,,109.7,WSW,,147.02,147.62,100,Adams,On-Air,Wide area.,Central Idaho Amateur Radio Club (CIARC),"E-power, linked.",,100,,,,,http://www.ciarc.org,UVHFS,,,,,,,,,,,,,,,,,,,,,,"Full-time to  
        146.90000 (KC7MCC) at McCall, Brundage Mtn, ID .
 


Full-time to  
        444.12500 (N7IBC) at McCall, ID .
 


Full-time to  
        146.90000 (KC7MCC) at McCall, Brundage Mtn, ID .
 


Full-time to  
        146.96000 (W7CIA) at Cascade, ID .",,,"Idaho ARES District 3 Net: Mon at 2030 Mountain Time. 
Club NET: Thu (Except 1st Thursday of month) 20:00 Mountain Time.",,,,,,,,,,,,,,,
146.76,-0.6,131.8,K7NDX,"Orofino, Wells Bench",ID,OPEN,,110.4,NW,,146.76,146.16,131.8,Clearwater,On-Air,Orofino area,Clearwater Valley ARC,E-power.,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,Sun at 19:00,,,,,,,,,,,,,,,
146.96,-0.6,88.5,W7PX,"Superior, Thompson Peek",MT,OPEN,,111,NNW,,146.96,146.36,88.5,Mineral,On-Air,"I-90 = Fish Creek, MT to St. Regis, MT",Hellgate Amateur Radio Club,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.875,5,100,K7EI,Orofino,ID,OPEN,,111,WNW,,444.875,449.875,100,Clearwater,On-Air,,,,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,
145.27,-0.6,100,KD7ALJ,Orofino,ID,OPEN,,111,WNW,,145.27,144.67,100,Clearwater,,,,,,,,,,,,UVHFS,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,,KC7VBT,Orofino,ID,OPEN,,111,WNW,,145.49,144.89,,Clearwater,On-Air,Orofino area,CVARC,Autopatch. Analog and Digital in / Analog out,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,Sunday @ 19:30 PST,,,,Open ↑ / Open ↓,,,,,,,,,,,
449.2,-5,CC1 131.8,WR7HLN,"Boulder, Boulder Hill",MT,OPEN,E,113.1,E,,449.2,444.2,131.8,Jefferson,On-Air,"I15 from Butte to Helena, MT69 to I90 to Cardwell.",WR7AGT  Mac Pass Repeater Group,,,131.8,449200,,DMR Info is available at: http://www.dmr-montana.net,Mac Pass Repeater Group,http://www.wr7hln.org,MRCC,,,1,BrandMeister,Mac Pass Repeater Group,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Sched    North America  1  93  PTT    Simplex  1  99      TAC 310  1  310  PTT    TAC 311  1  311  PTT    Echo Test  1  9990  PTT    Hytera USA Reflector  1  31089  PTT    MPRG 2  1  31302  PTT    BGV  1  31303  PTT    NW7RG-USA  1  31304  PTT    USA - Area 7 4647  1  31607  PTT    Local/Cluster  2  2  Full-Time    Montana  2  3130  Full-Time    MPRG  2  31301  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,1,,,1,1,1,1,1,2,2,2,,Full-time to the  Mac Pass Repeater Group System .,1,1,,,,,,,,,,,,,,,,
146.96,-0.6,CC1,W7CIA,Cascade,ID,OPEN,EI,114,SW,,146.96,146.36,,Valley,On-Air,Two miles south of Smiths Ferry on Hwy 55 to McCall.,,2,,,696264,3210,Low level. EchoLink/ IRLP by Control Operator only.,Central Idaho Amateur Radio Club,http://www.ciarc.org/repeaters/w7cia.shtml,UVHFS,,,1,,,,,,,,,,,,,,,,,,,"Full-time to  
        147.02000 (KC7MCC) at Mccall, No Business Montain, ID .",,,,,,,,,,,,,,,,,,
443.3,5,110.9,K7ZZL,Cascade,ID,OPEN,,114.1,SW,,443.3,448.3,110.9,Valley,On-Air,,Deer Point ARC,Remote base.,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,Link: 694.,,,,,,,,,,,,,,
927.1625,-25,151.4,NB7C,Cascade,ID,OPEN,A,114.1,SW,,927.1625,902.1625,151.4,Valley,On-Air,Valley County,NB7C,Connected to 927_Tech,,151.4,,,,WI7ATV,,W7ZRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29826,,,,,,,,,,
147.1,0.6,100,WR7HLN,"Helena, MacDonald Pass",MT,OPEN,,115.2,NE,,147.1,147.7,100,Lewis and Clark,On-Air,75,Mac Pass Repeater Group,7155,,,,,,,http://www.wr7hln.org,MRCC,,,,,,,,,,,,,,,,,,,,,,Full-time to the  Mac Pass Repeater Group System .,,,,,,,,,L,,,,,,,,,
444.1,5,CC1 131.8,WR7HLN,"Helena, MacDonald Pass",MT,OPEN,E,115.5,NE,,444.1,449.1,131.8,Lewis and Clark,On-Air,,WR7AGT  Mac Pass Repeater Group,,,131.8,111730,,7,,http://www.wr7hln.org,MRCC,,,1,BrandMeister,Mac Pass Repeater Group,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Sched    North America  1  93  PTT    Simplex  1  99      TAC 310  1  310  PTT    TAC 311  1  311  PTT    DCI Bridge  1  3100  PTT    Echo Test  1  9990  PTT    Hytera USA Reflector  1  31089  PTT    MPRG 2  1  31302  PTT    BGV  1  31303  Full-Time    NW7RG-USA  1  31304  PTT    USA - Area 7 4647  1  31607  PTT    Local/Cluster  2  2  Full-Time    Montana  2  3130  Full-Time    MPRG  2  31301  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,1,1,,1,1,1,1,1,2,2,2,,Full-time to the  Mac Pass Repeater Group System .,1,1,,,,,,,,,,,,,,,,
444.55,5,,K7KTR,Dixon,MT,OPEN,,117.3,N,,444.55,449.55,,Sanders,,,WB7WBJ,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,206.5,W7WWS,Peck,ID,OPEN,,117.8,WNW,,145.21,144.61,206.5,Nez Perce,,,NPCEM,,,,,,W7WWS is a silent key as of 2003.,,,UVHFS,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,,KD7YAC,St Ignatius,MT,OPEN,,118,N,,145.43,144.83,,Lake,,,KD7YAC,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.38,0.6,100,WR7MT,"Three Forks, Round Spring",MT,OPEN,,120.1,ESE,,147.38,147.98,100,Jefferson,On-Air,"Wide area: Three Forks, Manhattan, Belgrade, Butte, Whitehall, and Townsend.",Montana Repeater Linking Assoc,80,,,,,,,,MRCC,,,,,,,,,,,,,,,,,,,,,,Full-time to the  MRLA System .,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KF7WOR,"Elk River, Elk Butte",ID,OPEN,,120.7,NW,,145.19,144.59,,Clearwater,On-Air,,"Glen Ahlborn, AF7JB",,,,,,,Kamiak Butte Amateur Repeater Association,http://www.kbara.org,IACC,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
146.62,-0.6,100,W7VOI,"Cascade, Snowbank Mountain",ID,OPEN,,121.1,SW,,146.62,146.02,100,Valley,On-Air,,Voice of Idaho Amateur Radio Club (VOI),,,,,,,,,W7ZRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,N7RB,"Helena, Mount Belmont",MT,OPEN,,122.3,NE,,147.22,147.82,100,Lewis and Clark,On-Air,,Capital City ARC,7,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARES: Tue at 19:30.,,,,,,,,,,,,,,,
147.14,0.6,100,AE6DX,"Sawtooth City, Galena Peak",ID,OPEN,,122.5,S,,147.14,147.74,100,Blaine,On-Air,Sawtooth National Forest and Stanley,Wood River ARC,,,100,,,,,WRARC repeaters,UVHFS,,,,,,,,,,,,,,,,,,,,,,"Full-time to  
        147.18000 (N7ACB) at Ketchum, Bald Mountain, ID .",,,Mon at 19:00,,,,,,,,,,,,,,,
146.68,-0.6,100,W1KGK,"Thompson Falls, Clarks Peak South of Thompaon Falls",MT,OPEN,,125.1,NNW,,146.68,146.08,100,Sanders,On-Air,NW Montana,W1KGK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
442.1,5,103.5,K7EI,"Lewiston,  Craig Mountain",ID,CLOSED,,126.8,WNW,,442.1,447.1,103.5,Nez Perce,On-Air,,K7EI,,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,DN16oe,,,,,,,,,,,,,
53.11,-1,,WR7HLN,Helena,MT,OPEN,,127.6,E,,53.11,52.11,,Lewis and Clark,,,Mac Pass Repeater Group,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,Full-time to the  Mac Pass Repeater Group System .,,,,,,,,,,,,,,,,,,
147.32,0.6,,W7MRI,Helena,MT,OPEN,,127.7,E,,147.32,147.92,,Lewis and Clark,On-Air,,W7MRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,110.9,K7EI,"Lewiston,  Craig Mountain",ID,OPEN,,127.7,WNW,,146.92,146.32,110.9,Nez Perce,On-Air,,K7EI,Linked.,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.35,-1.7,100,K7EI,"Lewiston, Craig Mountain",ID,CLOSED,,127.7,WNW,,53.35,51.65,100,Nez Perce,On-Air,,K7EI,,,,,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,
147.1,0.6,100,WR7HLN,"Helena, Mac Donald Pass Site",MT,OPEN,W,127.9,E,,147.1,147.7,100,Lewis and Clark,On-Air,75,Mac Pass Repeater Group,,,,,,"Repeater is Internet Connected at the Repeater on a Mountain at 7,200 feet elevation. Digital will be working when Yaesu gets things working on Auto Mode with Wires, currently as FM",,http://www.wr7hln.org,MRCC,,,,,,,,,,,,,,,,,,,,,,Full-time to the  Mac Pass Repeater Group System .,,,,,,,,,,,,,,,,,,
443,5,,K7WES,Helena,MT,OPEN,,128.1,E,,443,448,,Lewis and Clark,,,WR7AGT,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,W7GET,"Plains, Pats Knob",MT,OPEN,A,130.2,NNW,,146.64,146.04,100,Sanders,On-Air,Wide area: From Thompson Falls to St. Regis,,,,,,,6,,,MRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41474,,,,,,,,,,
147.14,0.6,103.5,K7KTR,Plains,MT,OPEN,E,130.2,NNW,,147.14,147.74,103.5,Sanders,On-Air,30,K7KTR,80,,,44014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Full-time to  
        146.62000 (KA5LXG) at Bigfork, MT .
 


Full-time to  
        146.70000 (K7HR) at East Glacier, Mt Baldy, MT .",,,,,,,,,,,,,,,,,,
449.075,-5,123,W7GET,"Plains, Pats Knob",MT,OPEN,,130.2,NNW,,449.075,444.075,123,Sanders,On-Air,Wide Area,,,,,,,6915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,103.5,KD8RMQ,"Plains, In Town",MT,OPEN,E,130.2,NNW,,147.36,147.96,103.5,Sanders,On-Air,Plains - Paradise,KD8RMQ,EchoLink,,103.5,757103,,Covers Plains and Paradise with a handheld. Covers from Thompson Falls to Perma on a mobile.,,http://www.qsl.net/kd8rmq/link,MRCC,,,,,,,,,,,,,,,,,,,,,,,,,,#2 = Activate EchoLink (node)# = Connect to Node #. # = Disconnect from Node.,,,,,,,,,,,,,,
146.7,-0.6,162.2,KC7MRQ,Ronan,MT,OPEN,EA,132.3,N,,146.7,146.1,162.2,Lake,Off-Air,,,,,162.2,274865,,,,,MRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29115,,,,,,,,,,
