Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Features,Web links,Coordination,Last update,Grid,Coverage,Sponsor,EchoLink,Downlink Tone,Links,Notes,Nets,IRLP,Commands,DMR Enabled,Color Code,Wide Network,Affiliate,On-air,AllStar,D-STAR Enabled,Node,Sources,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Location Photo,Feed,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Worldwide,North America,Local/Cluster,YSF Digital Enabled,DG-ID,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,English,Mountain Reg USA,Wyoming,WyLOCAL,Worldwide English,DCI Bridge,N. Colorado,TAC 310,Europe,Southwest USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Local
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,44.3,SW,,449,444,,Mesa,On-Air,,,CCARC,,,,KB0SW,,107.2,,,,,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,44.3,SW,,146.82,146.22,107.2,Mesa,On-Air,,,CCARC,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,,,,,,28515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,44.3,SW,,147.105,147.705,,Mesa,On-Air,,,CCARC,,,,K0SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,44.3,SW,,446.775,441.775,,Mesa,On-Air,,,,,,,,,,,,,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,44.3,SW,,449.775,444.775,173.8,Mesa,On-Air,,,CCARC,,,,,7572,88.5,,,,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,44.3,SW,,147.39,147.99,107.2,Mesa,,Linked.,,CCARC,,,,KE0TY,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,44.3,SW,,447.5,442.5,114.8,Mesa,,,,CCARC,,,,KC0ARV,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,45.3,ESE,,447.15,442.15,136.5,Garfield,On-Air,,,,,,,,8150,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,45.4,SW,,147.355,146.755,88.5,Mesa,On-Air,,,CCARC,,,,Colorado Connection,,123,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,47.3,SSE,,147.33,147.93,107.2,Delta,On-Air,,,CCARC,,,Wide area.,North Fork Repeater Assoc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,50.9,SW,,448.15,443.15,100,Mesa,On-Air,,,CCARC,,,,,312189,,,,,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,52.5,SW,,146.94,146.34,107.2,Mesa,On-Air,E-power and autopatch for WCARC members,http://w0rrz.org,CCARC,,,Grand Junction 30-50 mi,Western Colorado Amateur Radio Club,,107.2,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,52.5,SW,,449.575,444.575,131.8,Mesa,On-Air,e-power. Linked to GMRA Open System,GMRA Repeaters,CCARC,,,Grand Junction,,,131.8,,Closed IRLP out,Wed RACES Net 1930 Hrs,3710,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,54.2,W,,447,442,107.2,Garfield,On-Air,8,,CCARC,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,57.1,SE,,146.67,146.07,107.2,Pitkin,On-Air,Linked.,,CCARC,,,Wide area.,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,63.4,SE,,447.05,442.05,136.5,Pitkin,On-Air,,,CCARC,,,Aspen-Snowmass areas.,Roaring Fork Amateur Repeater Cooperative,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,70.5,S,,146.91,146.31,107.2,Montrose,On-Air,E-Power,,CCARC,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,70.5,S,,146.79,146.19,107.2,Montrose,On-Air,E-power.,,CCARC,,,,KC0UXX,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,73.4,NNE,,146.97,146.37,88.5,Moffat,On-Air,,,CCARC,,,,Northwest Colorado Amateur Radio Association,,123,Full-time to the  Colorado Connection System .,,,,,,,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,73.4,NNE,,145.265,144.665,107.2,Moffat,,E-power.,,CCARC,,,,NW Colorado ARC,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,74,SSW,,449.4,444.4,131.8,Mesa,On-Air,E-power.,http://www.gmra.org,CCARC,,,Wide area via links - Western Colorado - Eastern Utah,"WA4HND,  Grand Mesa Repeater Association",,131.8,Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,78,S,,448.65,443.65,,Montrose,On-Air,,,,,,Wide area.,KB0YNA,,151.4,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,78,S,,447.2,442.2,107.2,Montrose,On-Air,9,GMRA Repeaters,CCARC,,,Delta/Montrose,,,107.2,Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,3710,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,79.8,ESE,,147.345,147.945,88.5,Eagle,On-Air,9,,CCARC,,,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,Colorado Connection,,123,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,80.1,ESE,,445.075,440.075,,Eagle,On-Air,,http://www.rmham.org/,CCARC,,,,K2AD,,,,,,,,,7,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,84,ESE,,224.8,223.2,,Eagle,Off-Air,,,CCARC,,,,ECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,84,ESE,,449.9,444.9,107.2,Eagle,Off-Air,,,CCARC,,,,ECHO,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,84.8,ESE,,146.61,146.01,107.2,Eagle,On-Air,11,,CCARC,,,,ECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,85.4,SE,,449.95,444.95,,Gunnison,,,,CCARC,,,,K5GF,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,85.4,SE,,147.12,147.72,,Gunnison,On-Air,E-power.,,CCARC,,,,W0VTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
