Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Affiliate,Coordination,Last update,On-air,Features,Coverage,AllStar,D-STAR Enabled,Node,Sources,EchoLink,IRLP,Links,Commands,Nets,Web links,Notes,DMR Enabled,Color Code,Wide Network,Grid,Location Photo,Talkgroups,Colorado,Southern Colorado,Talkgroup Network,Denver Regional,Northern Colorado,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Feed,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Local/Cluster,Mountain Reg USA,YSF Digital Enabled,DG-ID,WIRES-X,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local,Wyoming,WyLOCAL,Worldwide English,N. Colorado
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,165.5,S,,448.65,443.65,127.3,,San Juan,On-Air,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,165.5,S,,146.92,146.32,100,,San Juan,On-Air,San Juan County OEM,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,131.8,N7YFZ,Manti,UT,OPEN,,165.9,W,,449.75,444.75,131.8,,San Pete,,,,UVHFS,,Unknown,Closed autopatch.,"Manti and surroundings, as well as Nephi and Fairview to the north and Richfield to the south.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,166.4,ESE,,146.895,146.295,100,100,Park,On-Air,AB0RR,,CCARC,,,25,285,45835,,,,,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,Wed at 19:30.,Park County Radio Club (PCRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,WY7U,"Rock Springs, Aspen Mountain",WY,OPEN,E,166.4,N,,146.94,146.34,100,,Sweetwater,On-Air,Sweetwater ARC,,WRCG,,,,Wide area.,,,,,357388,,Full-time to the  HERC System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,N7RUG,"Rock Springs, Aspen Mountain",WY,OPEN,,166.4,N,,146.61,146.01,100,,Sweetwater,On-Air,Sweetwater RACES,,WRCG,,,Autopatch.,Wide area: SW Wyoming,,,,,,,,,Sun at 19:30.,http://wy7u.angelfire.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.4,1.6,123,K7DRA,"Rock Springs, Aspen Mtn",WY,OPEN,E,166.4,N,,222.4,224,123,,Sweetwater,On-Air,DRAWZM,Mountain West Radio Group,,,,,Wide Area,,,,,824055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.38,0.6,100,WA7GIE,"Roosevelt, Mirror Lake",UT,OPEN,,167.8,NW,,147.38,147.98,100,,Duchesne,On-Air,,,UVHFS,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,,KB7BSK,Sterling,UT,OPEN,,168.6,W,,447.95,442.95,,,Utah,,,,,,Unknown,,,,,KB7BSK (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,http://skylineradioclub.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,131.8,WB7REL,Sterling,UT,OPEN,,168.6,W,,447.85,442.85,131.8,,San Pete,On-Air,wb7rel,,UVHFS,,,,Fairview North to Richfield to the South.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.29,-0.6,131.8,WB7REL,"Starling, Sterling",UT,OPEN,,168.6,W,,145.29,144.69,131.8,,San Pete,On-Air,,,UVHFS,,,Autopatch,Sanpete and Sevier Valleys.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.15,-0.6,,KB7BSK,Sterling,UT,OPEN,,168.6,W,,145.15,144.55,,,Utah,,,,,,Unknown,,,,,KB7BSK (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,http://skylineradioclub.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,168.8,E,,449.05,444.05,107.2,107.2,Denver,On-Air,WG0N,,CCARC,,,E-power.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,168.8,E,,446.9375,441.9375,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,,CCARC,,,,,,,,,,,Full-time to the  Colorado TRBO System .,,,Rocky Mountain Ham Radio,See the website for programming information.,,7,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,RMHAM,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,168.8,E,,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,,CCARC,,,E-power.,Wide area. Denver metro.,,,,,,,,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,168.8,E,,449.45,444.45,103.5,127.3,Clear Creek,On-Air,Rocky Mountain Radio League,,CCARC,,,11,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,,,,,,,,RMRL: Mon at 20:30.,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,168.8,E,,449.35,444.35,100,100,Clear Creek,On-Air,Denver Radio Club,,CCARC,,,11,Wide area.,,,,,4140,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,168.8,E,,145.49,144.89,100,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",,CCARC,,,E-power.,,,,,,,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,168.8,E,,146.67,146.07,100,100,Clear Creek,On-Air,Castle Rock Repeater Group,,CCARC,,,11,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,,,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,168.8,E,,448.225,443.225,141.3,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,,CCARC,,,E-power(gen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,168.8,E,,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),,CCARC,,,,Wide area: Denver metro.,,,,,347088,3291,,Member-only IRLP and Echolink node,,http://www.w0cra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,168.8,E,,146.94,146.34,103.5,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,,CCARC,,,11,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,,,,,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",Autopatch: 911* / Off 0*.,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Repeater,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,169,E,,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Denver PD EEB,,CCARC,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,169,E,,448.675,443.675,100,100,Denver,On-Air,W0CFI,,CCARC,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,169.3,E,,449,444,136.5,136.5,Clear Creek,On-Air,CARN,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.16,0.6,136.5,K7HEN,"Heber City, Strawberry Peak",UT,OPEN,,169.6,WNW,,147.16,147.76,136.5,,Wasatch,Off-Air,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,169.7,SSE,,145.43,144.83,136.5,,Rio Arriba,On-Air,SJC EMCOMM,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,131.8,WB7REL,"Sterling, Salina Canyon",UT,OPEN,,170.5,W,,449.25,444.25,131.8,,Sevier,,,,UVHFS,,Unknown,,"Wide area: The general area of Salina, including Scipio, Manti, and south of Richfield, and coverage east into Emery, Ferron, and the San Rafael Desert.",,,,,,,,,,http://www.sanpeteso.org/skyline/skyline_files/frame.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,171.5,ESE,,449.7,444.7,107.2,,Park,,CMRG,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,171.9,SSE,,1292.3,1272.3,,,San Juan,On-Air,San Juan County,,NMFCC,,,,,,,KF5VBD (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,172.1,E,,447.85,442.85,141.3,141.3,Clear Creek,On-Air,AC0KQ,Rocky Mountain Ham Radio,CCARC,,,AllStar node repeater providing wide area coverage along the Front Range,Wide area at 9500',29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,173,E,,224.6,223,100,,Gilpin,,W0RM,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,107.2,KD7YE,"Manti, Barton Peak",UT,OPEN,I,173.4,W,,448.275,443.275,107.2,,San Pete,On-Air,Sanpete Co SO,,UVHFS,,,Autopatch.,"Manti and surroundings, as well as Nephi and Fairview to the north and Richfield to the south.",,,,,,3576,,,,http://www.sanpeteso.org/skyline/skyline_files/frame.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,173.5,E,,53.05,51.35,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),,CCARC,,,10,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,173.8,E,,147.12,147.72,88.5,88.5,Jefferson,On-Air,Aurora Repeater Association,,CCARC,,,E-power.,Denver metro and east.,,,,,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,174.3,SSE,,147.1,147.7,100,,San Juan,On-Air,San Juan connection,,NMFCC,,,,,,,,,,,Full-time to the  San Juan Connection System .,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,174.6,SSE,,147.28,147.88,67,,San Juan,On-Air,,,NMFCC,,,6,Wide area.,,,,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,CC12 123.0,AD0BN,"Green River, Green River High School",WY,OPEN,,175.1,NNW,,444.775,449.775,123,123,Sweetwater,Testing,,,WRCG,,,,"Note: This repeater will operate in digital mode only. It may, however, be switched to analogue mode under special circumstances and will use a tone of 123/123. Digital repeater should provide portable coverage in the Green River area when operational. Repeater is not currently on-air but has been coordinated and is awaiting installation. Please use Talkgroup 2 and Timeslot 2 for local communications. Repeater uses color 12.",,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,88.5,N7RVS,"Gunnison, N7RVS QTH",UT,OPEN,,175.3,W,,447.35,442.35,88.5,,San Pete,,,,UVHFS,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.72,-0.6,100,WB7REL,"East Salina, Salina Canyon",UT,OPEN,I,175.5,W,,146.72,146.12,100,,San Pete,On-Air,Skyline,Skyline Repeater System,UVHFS,,,7,,,,,,,3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,176.1,E,,449.225,444.225,141.3,141.3,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),,CCARC,,,Emergency Power,Wide area.,,,,,,,,,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,176.1,E,,145.31,144.71,88.5,123,Gilpin,On-Air,Colorado Connection,,CCARC,,,10,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",,,,,,,Full-time to the  Colorado Connection System .,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,176.2,ESE,,449,444,67,67,Fremont,On-Air,WB0WDF,,CCARC,,,"E-power (Solar, Wind)",,,,,,,,Full-time to the  Mega-Link System .,,,Mega Link,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,176.4,E,,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),,CCARC,,,"Closed autopatch, e-power.",Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,176.4,E,,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Colorado Repeater Association (CRA),,CCARC,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,176.4,E,,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association,,CCARC,,,"Closed autopatch, e-power.",Wide area. Denver.,,,,,347086,3990,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,176.8,E,,927.8375,902.025,,,Jefferson,On-Air,,,CCARC,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,45770,,,,,,,,,,The offset is -25.8125,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,176.8,E,,446.7875,441.7875,,,Jefferson,On-Air,Denver Radio Club,Brandmeister Network,CCARC,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,http://www.w0tx.org/,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,176.9,E,,145.28,144.68,100,,Jefferson,On-Air,,,CCARC,,,"Closed autopatch, e-power, linked.",Wide area.,,,,,,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,"PL is usually off, allowing use by older transceivers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,176.9,E,,146.64,146.04,100,,Jefferson,On-Air,Denver Radio League,,CCARC,,,E-power.,"Wide area. 
   Repeater Coverage Map",,,,,,,,,,DRL Repeaters,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,176.9,E,,448.625,443.625,100,100,Jefferson,On-Air,Denver Radio Club,,CCARC,,,E-power.,Denver metro area.,,,,,,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,176.9,E,,449.525,444.525,CSQ,,Jefferson,On-Air,KE0SJ,,CCARC,,,E-power.,,,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,176.9,E,,146.985,146.385,100,100,Denver,On-Air,El Jebel RADOPS,,CCARC,,,E-power.,,,,,,,3346,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,177.2,E,,145.34,144.74,103.5,127.3,Jefferson,On-Air,Rocky Mtn Radio League,,CCARC,,,E-power.,Wide area.,,,,,,3350,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,177.2,E,,145.175,144.575,D073,D073,Clear Creek,Off-Air,Rocky Mountain Ham Radio,,CCARC,,,,,,,,,,,,,,Rocky Mountain Ham Radio,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,1,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.8,-0.6,100,N6EZO,Mapleton,UT,OPEN,,177.3,WNW,,146.8,146.2,100,,Utah,On-Air,,ERC CERT,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.875,-5,CC1 123.0,KF7OBL,Rock Springs,WY,OPEN,,177.7,N,,448.875,443.875,123,,Sweetwater,On-Air,,,,,,DMRPlus,,,,,,,,,,,,,,1,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      Local/Cluster  2  2      Mountain Reg USA  2  3177    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,1,1,,,,,,,,,Yes; analog capable.,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1125,-5,CC11,K7DRA,Rock Springs,WY,OPEN,,177.7,N,,447.1125,442.1125,,,Sweetwater,On-Air,,,WRCG,,,,Rock Springs,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.205,-0.6,123,K7DRA,"Rock Springs, Aspen Mtn",WY,OPEN,W,177.7,N,,145.205,144.605,123,,Sweetwater,On-Air,,Mountain West Radio Group Wyoming,,,,,"Rock Springs, Green River and Sweetwater County",,,,,,,,,,http://alcomdra.com,,,,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,Open ↑ / Open ↓,21322,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,123,K7DRA,"Rock Springs, Aspen Mtn",WY,OPEN,,177.7,N,,448.025,443.025,123,,Sweetwater,On-Air,DRAWZM Communications,Mountain West Radio Group,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,,KA7PJK,Rock Springs,WY,OPEN,,177.7,N,,147.3,147.9,,,Sweetwater,Testing,ka7PJk,,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-1,CC1,KC7WST,Woodland Hills,UT,OPEN,,177.7,WNW,,449.8,448.8,,,Utah,On-Air,KC7WSU,Yeahmon Amateur Radio Club (YARC),UVHFS,,,,Utah County,,,,,,,,,,http://www.dmr-utah.net,,,1,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3      English  1  13  PTT    Data  1  100      DMRX 1  1  8001      Utah Statewide 2  1  13149      Local/Cluster  2  2      TAC 310  2  310  PTT    TAC 311  2  311  PTT    USA  2  1776  PTT    Utah  2  3149      Mountain Reg USA  2  3177      PA (PA-525)   2  3185  PTT    Hytera USA  2  4639  PTT    SNARS  2  6968  PTT    Parrott  2  9998  PTT    Audio Test  2  9999  PTT    All TG's Off  2  111111  PTT    All TG's On  2  222222  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,DMR-UTAH,,,1,1,1,,2,,,,,,,,2,2,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,
146.655,-0.6,107.2,KE7UUJ,"Rock Springs, Aspen Mountain",WY,OPEN,E,177.7,N,,146.655,146.055,107.2,107.2,Sweetwater,On-Air,Sweetwater Amateur Radio Club,,,,,,Wide area. 100 mi radius.,,,,,865361,,,,,http://wy7u.angelfire.com,Sweetwater Amateur Radio Club uses this repeater pair for ARES/RACES use on both analog and d-star at different times.,,,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,77,WB7RPF,Woodland Hills,UT,OPEN,,177.7,WNW,,447.3,442.3,77,,Utah,On-Air,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.27,-0.6,103.5,K7JL,"Levan, Levan Peak",UT,OPEN,,177.8,W,,145.27,144.67,103.5,,Juab,On-Air,K7JL,Intermountain Intertie,UVHFS,,,E-power.,Wide area.,,,,,,,Full-time to the  Intermountain Intertie System .,,State RACES: 3rd Thursday of even-numbered months.,http://www.utahvhfs.org/snowlink.html,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,123,N7ABC,Rock Springs,WY,OPEN,,177.9,NNW,,444.5,449.5,123,,Sweetwater,On-Air,Sweetwater ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
