Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Coordination,Last update,On-air,Coverage,Web links,Links,Nets,DMR Enabled,Color Code,Wide Network,Affiliate,Features,Notes,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,EchoLink,AllStar,IRLP,Grid,Commands,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Location Photo,Feed,Denver Regional,Northern Colorado,YSF Digital Enabled,DG-ID,Local/Cluster,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
449.85,-5,100,K0EP,Durango,CO,OPEN,string,number,E,string,449.85,444.85,100,100,La Plata,On-Air,DARC,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,string,0.1,ESE,string,448.625,443.625,131.8,131.8,La Plata,undefined,KC5EVE,CCARC,string,Unknown,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,string,1.7,WSW,string,147.135,147.735,100,100,La Plata,On-Air,undefined,CCARC,string,undefined,undefined,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,string,8.1,NE,string,147.345,147.945,88.5,123,La Plata,On-Air,Colorado Connection,CCARC,string,undefined,Durango and north towards Molas Divide.,undefined,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,string,8.2,NE,string,445.1375,440.1375,string,undefined,La Plata,On-Air,K2AD,CCARC,string,undefined,undefined,http://www.rmham.org/,undefined,undefined,string,7,string,Rocky Mountain Ham Radio,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,string,8.3,WNW,string,145.37,144.77,100,100,La Plata,On-Air,undefined,CCARC,string,undefined,undefined,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,string,9.3,NE,string,146.7,146.1,100,100,La Plata,On-Air,Durango ARC,CCARC,string,undefined,Local.,http://durangoarc.org/,undefined,undefined,undefined,undefined,undefined,undefined,9,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,string,12.1,NW,string,146.67,146.07,100,undefined,La Plata,On-Air,Durango ARC,CCARC,string,undefined,Wide area.,DARC Repeaters,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",undefined,undefined,undefined,undefined,undefined,11,Linked active in the summer months only.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,string,15.9,WNW,string,442.375,447.375,100,undefined,Montezuma,On-Air,San Juan Connection,undefined,string,undefined,undefined,undefined,Full-time to the  San Juan Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,string,17.5,SE,string,147.15,147.75,100,undefined,La Plata,On-Air,undefined,CCARC,string,undefined,Bayfield,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
