Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,EchoLink,Nets,Affiliate,Links,IRLP,Notes,On-air,AllStar,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,Feed,Worldwide,North America,Local/Cluster,Mixed-Mode,Commands,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Grid,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,string,number,ESE,string,447.725,442.725,100,100,El Paso,On-Air,Local.,K0NR,30,http://www.k0nr.com/wordpress/k0nr-repeater/,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,4.2,NW,string,145.19,144.59,131.8,131.8,Douglas,On-Air,Wide area coverage at 8300' Pueblo to Ft. Collins+,N0OBA Owner,undefined,undefined,undefined,string,10079,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,10.4,NW,string,147.225,147.825,107.2,107.2,Douglas,On-Air,Wide area,Colorado Repeater Association (CRA),Closed autopatch,Colorado Repeater Association,CCARC,string,347086,"CRA Net, Sunday 9AM",CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",3990,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,string,10.4,WNW,string,449.975,444.975,100,100,Douglas,On-Air,undefined,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,The Fun Machine,CCARC,string,undefined,undefined,The Fun Machine,Full-time to the  The Fun Machine System .,undefined,"Can be linked to Allstar, Echolink and others by a Sysop",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,string,10.4,NW,string,448.425,443.425,107.2,107.2,Douglas,On-Air,Wide area,Colorado Repeater Association (CRA),undefined,http://www.w0cra.org,undefined,string,undefined,undefined,ARESDEC,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,string,11.9,SW,string,145.415,144.815,179.9,undefined,Teller,undefined,undefined,MARC,"Closed autopatch, e-power.",undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,string,11.9,SW,string,449.025,444.025,141.3,undefined,Teller,undefined,undefined,Mountain Amateur Radio Club (MARC),Linked.,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,string,11.9,SW,string,448.65,443.65,107.2,undefined,Teller,On-Air,undefined,Mountain ARC (MARC),E-power.,undefined,CCARC,string,undefined,MARC/PCRC: Tue at 19:30.,MARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,string,11.9,SW,string,146.82,146.22,107.2,undefined,Teller,On-Air,undefined,Mountain ARC,E-power.,undefined,CCARC,string,undefined,MARC/PCRC: Tue at 19:30.,undefined,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,string,12,SW,string,927.9,902.9,D205,D205,Teller,On-Air,undefined,MARC,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
