Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Links,Last update,Coverage,Features,Nets,Web links,Coordination,Notes,On-air,Affiliate,YSF Digital Enabled,DG-ID,Mixed-Mode,EchoLink,DMR Enabled,Color Code,Wide Network,IRLP,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,Commands,Colorado,Northern Colorado,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,AllStar,Worldwide,English,TAC 310,D-STAR Enabled,Node,Sources,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Southern Colorado,Denver Regional,Feed,Mountain Reg USA,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Location Photo
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,15.9,SSE,,147.165,147.765,88.5,123,Routt,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,15.9,SSE,,449.625,444.625,123,123,Routt,On-Air,"Colorado Connection Repeaters, Inc.",,,Local Steamboat Area,Statewide Linked System,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",http://colcon.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,15.9,SSE,,147.21,147.81,107.2,107.2,Routt,On-Air,SSARC,,,,"Linked, WX.",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,28.4,ESE,,145.16,144.56,88.5,123,Jackson,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",8,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,CCARC,Part of the Colorado Connection system of repeaters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,35.4,WSW,,145.265,144.665,107.2,,Moffat,,NW Colorado ARC,,,,E-power.,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,35.4,WSW,,146.97,146.37,88.5,123,Moffat,On-Air,Northwest Colorado Amateur Radio Association,Full-time to the  Colorado Connection System .,,,,,,CCARC,,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,52.7,SSE,,147.075,147.675,88.5,123,Grand,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,CCARC,Part of the Colorado Connection system of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,146.2,N7UW,"Laramie, Jelm Mountain",WY,OPEN,E,56.2,E,,147.015,147.615,146.2,,Albany,On-Air,"Albany County ARES/RACES, University Amateur Radio",,,Albany County,,,http://www.uwyo.edu/uarc/,,,,,,Open ↑ / Open ↓,Yes; analog capable.,82070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,67,SE,,146.82,146.22,123,,Grand,,GCARA,,,,E-power.,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,67,SE,,446.875,441.875,,,Clear Creek,On-Air,,,,,,,http://www.rmham.org,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,100,N7GCR,"Rawlins, Elk Mountain",WY,OPEN,,67.3,NNE,,147.24,147.84,100,,Carbon,On-Air,CCARS,,,Wide area.,,,,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,76.5,SSE,,147.345,147.945,88.5,123,Eagle,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,9,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,162.2,N7RON,Rawlins,WY,OPEN,I,76.8,NNW,,146.7,146.1,162.2,,Carbon,On-Air,,,,,,,,WRCG,,,,,,,,,,,7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,146.2,N7RON,Rawlins,WY,OPEN,,76.8,NNW,,449.8,444.8,146.2,,Carbon,,Wyocomm,,,,,,,WRCG,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KC7OZU,Rawlins,WY,OPEN,,76.8,NNW,,146.76,146.16,100,,Carbon,On-Air,CCARS,,,Wide area.,,Sunday nite net 2030 local time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC11,WY7EOC,Rawlins,WY,CLOSED,,76.8,NNW,,445.05,440.05,,,Carbon,On-Air,Laramie County EM,,,Wide area.,,,,WRCG,,,Wyoming DMR Project,,,,,,11,,,Wyoming DMR Project,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,100,KD7BN,Rawlins,WY,OPEN,,76.8,NNW,,147.39,147.99,100,,Carbon,On-Air,HERC,"Full-time to  
        146.80500 (W7BEQ) at Shoshoni, Copper Mtn, WY .
 


Full-time to  
        146.94000 (W7VNJ) at Casper, Casper Mountain, WY .",,Wide area.,E-power.,,,,,,N7ZEF (EchoLink).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,KD7SU,Rawlins,WY,OPEN,,76.8,NNW,,448.3,443.3,100,,Carbon,,,,,,,,,WRCG,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,76.8,SE,,449.8,444.8,123,,Larimer,On-Air,Estes Valley ARC,"Full-time to  
        146.68500 (N0FH) at Estes Park, CO .",,,E-Power,ARES D-10: Thu at 19:00.,,CCARC,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,,,,,625757,,,,7268,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,78.1,SSE,,445.075,440.075,,,Eagle,On-Air,K2AD,,,,,,http://www.rmham.org/,CCARC,,,Rocky Mountain Ham Radio,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,79,SSE,,449.9,444.9,107.2,107.2,Eagle,Off-Air,ECHO,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,79,SSE,,224.8,223.2,,,Eagle,,ECHO,,,,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,79.1,SE,,447.45,442.45,103.5,,Grand,On-Air,W0IG,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,80.7,SE,,146.685,146.085,123,,Larimer,On-Air,Estes Valley ARC,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .",,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),E-power.,ARES D-10: Thu at 19:00.,,CCARC,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,,,,,625757,,,,7268,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,114.8,KC7SNO,"Laramie, Beacon Hill",WY,OPEN,,80.9,E,,146.82,146.22,114.8,,Albany,On-Air,Shy-Wy Amateur Radio Club,,,Wide area.,,Shy-WY ARC: Thu at 19:00.,,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,,N7UW,"Laramie, University",WY,OPEN,,81.4,E,,146.61,146.01,,,Albany,On-Air,University ARC,,,Laramie Valley  30 mi radius.,,,http://www.uwyo.edu/uarc,WRCG,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
