Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,EchoLink,Notes,Coordination,Last update,On-air,Links,Downlink Tone,Affiliate,Nets,Web links,IRLP,AllStar,Grid,Commands,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,D-STAR Enabled,Node,Sources,Feed,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Worldwide,North America,Local/Cluster,YSF Digital Enabled,DG-ID,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English,DCI Bridge,N. Colorado,Location Photo,English,TAC 310,WIRES-X,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,string,98,ESE,string,145.49,144.89,100,Jefferson,On-Air,undefined,"KB0VIU,  Denver Radio Club",E-power.,undefined,undefined,CCARC,string,undefined,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",100,undefined,DRC: Sun at 20:30.,DRC Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,string,98,ESE,string,145.145,144.545,107.2,Clear Creek,On-Air,Wide area. Denver metro.,Colorado Repeater Assoc,E-power.,undefined,undefined,CCARC,string,undefined,undefined,107.2,undefined,undefined,http://www.w0cra.org/info/squaw.html#145145,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,98,ESE,string,447.575,442.575,107.2,Clear Creek,On-Air,Wide area: Denver metro.,Colorado Repeater Association (CRA),undefined,347088,undefined,CCARC,string,undefined,undefined,107.2,undefined,undefined,http://www.w0cra.org,3291,undefined,undefined,Member-only IRLP and Echolink node,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,string,98.2,ESE,string,147.3,147.9,103.5,Clear Creek,On-Air,Wide area.,Denver PD EEB,undefined,undefined,undefined,CCARC,string,undefined,undefined,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,string,98.2,ESE,string,448.675,443.675,100,Denver,On-Air,Wide area.,W0CFI,undefined,undefined,undefined,CCARC,string,undefined,undefined,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,string,98.6,ESE,string,449,444,136.5,Clear Creek,On-Air,undefined,CARN,undefined,undefined,undefined,CCARC,string,undefined,undefined,136.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,99.3,ESE,string,146.895,146.295,100,Park,On-Air,285,AB0RR,25,undefined,undefined,CCARC,string,undefined,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",100,undefined,Wed at 19:30.,Park County Radio Club (PCRC),undefined,45835,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.975,-5,string,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,string,99.9,SE,string,446.975,441.975,undefined,Chaffee,On-Air,undefined,Crestone Amateur Radio Emergency Services,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Crestone Amateur Radio Emergency Services,undefined,KD0QPG,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,string,99.9,SE,string,446.8125,441.8125,string,Chaffee,On-Air,undefined,RMHAM,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,number,string,string,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,string,100.2,E,string,224.6,223,100,Gilpin,undefined,undefined,W0RM,undefined,undefined,undefined,CCARC,string,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,101,ESE,string,447.85,442.85,141.3,Clear Creek,On-Air,Wide area at 9500',AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,undefined,undefined,CCARC,string,undefined,undefined,141.3,Rocky Mountain Ham Radio,undefined,undefined,undefined,29571,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,102.9,SE,string,147.36,147.96,107.2,Park,On-Air,Wide area.,undefined,E-power.,undefined,undefined,CCARC,string,undefined,undefined,107.2,undefined,undefined,CMRG Repeaters,3854,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,string,102.9,SE,string,146.685,146.085,107.2,Park,On-Air,undefined,Mountain ARC (MARC),"Closed autopatch, e-power.",undefined,undefined,CCARC,string,undefined,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",107.2,undefined,MARC/PCRC: Tue at 19:30.,undefined,undefined,undefined,undefined,Autopatch: 911,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,string,103.2,SE,string,145.295,144.695,107.2,Chaffee,On-Air,Wide area.,Cheyenne Mtn Repeater Group,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,CMRG Repeaters,undefined,undefined,DM78ik,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,string,103.2,SE,string,147.285,147.885,88.5,Chaffee,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,11,undefined,undefined,CCARC,string,undefined,Full-time to the  Colorado Connection System .,123,undefined,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,string,103.3,SE,string,449.925,444.925,103.5,Chaffee,On-Air,"Upper Arkansas and Platte Rivers, and the SLV",undefined,E-power (Bat),undefined,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,CCARC,string,undefined,undefined,103.5,Colorado ARES,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,string,103.3,SE,string,449.65,444.65,107.2,Chaffee,On-Air,Wide area.,undefined,E-power.,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,CMRG Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,string,103.6,E,string,145.31,144.71,88.5,Gilpin,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,10,undefined,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",CCARC,string,undefined,Full-time to the  Colorado Connection System .,123,undefined,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,string,103.6,E,string,449.225,444.225,141.3,Gilpin,On-Air,Wide area.,Rocky Mountain Ham Radio (RMHR),Emergency Power,undefined,"Emcomm Affiliated, Open repeater",CCARC,string,undefined,undefined,141.3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,103.9,SE,string,449.975,444.975,100,Chaffee,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,undefined,2,363976,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,CCARC,string,undefined,Full-time to the  The Fun Machine System .,100,undefined,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",K0JSC.COM,7301,28368,DM68xk,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,string,104.8,ESE,string,53.05,51.35,107.2,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),10,undefined,undefined,CCARC,string,undefined,undefined,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,string,105.1,S,string,147.135,146.535,123,Hinsdale,On-Air,undefined,undefined,E-power (solar),undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,string,105.1,ESE,string,147.12,147.72,88.5,Jefferson,On-Air,Denver metro and east.,Aurora Repeater Association,E-power.,undefined,undefined,CCARC,string,undefined,undefined,88.5,undefined,undefined,http://www.n0ara.org,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,string,105.2,ESE,string,446.7875,441.7875,string,Jefferson,On-Air,undefined,Denver Radio Club,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Brandmeister Network,undefined,http://www.w0tx.org/,undefined,undefined,undefined,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",string,1,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,105.2,ESE,string,927.8375,902.025,undefined,Jefferson,On-Air,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,undefined,undefined,undefined,The offset is -25.8125,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,45770,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,293,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,105.5,ESE,string,146.985,146.385,100,Denver,On-Air,undefined,El Jebel RADOPS,E-power.,undefined,undefined,CCARC,string,undefined,undefined,100,undefined,RADOPS: Sun at 19:00.,undefined,3346,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,string,105.5,ESE,string,449.525,444.525,CSQ,Jefferson,On-Air,undefined,KE0SJ,E-power.,undefined,undefined,CCARC,string,undefined,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",undefined,undefined,undefined,Intermountain Repeater Group,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,string,105.5,ESE,string,145.28,144.68,100,Jefferson,On-Air,Wide area.,undefined,"Closed autopatch, e-power, linked.",undefined,"PL is usually off, allowing use by older transceivers.",CCARC,string,undefined,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",undefined,undefined,Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,string,105.5,ESE,string,146.64,146.04,100,Jefferson,On-Air,"Wide area. 
   Repeater Coverage Map",Denver Radio League,E-power.,undefined,8,CCARC,string,undefined,undefined,undefined,undefined,undefined,DRL Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,string,105.6,ESE,string,448.625,443.625,100,Jefferson,On-Air,Denver metro area.,Denver Radio Club,E-power.,undefined,undefined,CCARC,string,undefined,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",100,undefined,DRC: Sun at 20:30.,DRC Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,107.1,ESE,string,145.34,144.74,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,E-power.,undefined,undefined,CCARC,string,undefined,undefined,127.3,undefined,undefined,Repeater,3350,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,string,107.1,ESE,string,145.175,144.575,D073,Clear Creek,Off-Air,undefined,Rocky Mountain Ham Radio,undefined,undefined,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,CCARC,string,undefined,undefined,D073,undefined,undefined,Rocky Mountain Ham Radio,undefined,undefined,undefined,undefined,string,1,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Yes; analog capable.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,string,107.2,S,string,147.27,147.87,127.3,Ouray,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,string,107.3,ESE,string,448.85,443.85,88.5,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,e-power.,undefined,undefined,CCARC,string,undefined,undefined,88.5,undefined,ARA: Wed at 20:00.,ARA Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,string,107.3,ESE,string,224,222.4,103.5,Jefferson,On-Air,undefined,Rocky Mountain Radio League,8,undefined,undefined,CCARC,string,undefined,undefined,103.5,undefined,undefined,Repeater,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,string,107.3,ESE,string,147.15,147.75,100,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc (ARA),e-power,undefined,undefined,CCARC,string,undefined,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",100,undefined,ARA: Wed at 20:00.,ARA Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,string,107.4,ESE,string,449.75,444.75,103.5,Jefferson,On-Air,undefined,Rocky Mtn Radio League,8,undefined,undefined,CCARC,string,undefined,undefined,103.5,undefined,undefined,Repeater,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,string,107.4,E,string,147.03,147.63,100,Boulder,On-Air,undefined,KI0HG,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Boulder County Amateur Radio Emergency Service,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
