Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Downlink Tone,Coverage,Sponsor,Features,Links,IRLP,Notes,Nets,Affiliate,Grid,AllStar,On-air,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Commands,EchoLink,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Denver Regional,Northern Colorado
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,78.4,NNW,string,145.175,144.575,107.2,Mesa,On-Air,undefined,CCARC,string,undefined,Greater grand Junction area.,undefined,"E-power,",undefined,3161,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Standard IRLP node commands.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,string,80.3,E,string,145.325,144.725,100,Chaffee,On-Air,undefined,undefined,string,undefined,wide area,Chaffee Lake Amateur Repeater Association,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,string,82.8,NW,string,146.94,146.34,107.2,Mesa,On-Air,http://w0rrz.org,CCARC,string,107.2,Grand Junction 30-50 mi,Western Colorado Amateur Radio Club,E-power and autopatch for WCARC members,undefined,undefined,undefined,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,82.8,NW,string,449.575,444.575,131.8,Mesa,On-Air,GMRA Repeaters,CCARC,string,131.8,Grand Junction,undefined,e-power. Linked to GMRA Open System,undefined,3710,Closed IRLP out,Wed RACES Net 1930 Hrs,Grand Mesa Repeater Assoc,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,string,83.3,S,string,147.06,147.66,100,San Juan,On-Air,undefined,NMFCC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,string,85.5,NNE,string,146.67,146.07,107.2,Pitkin,On-Air,undefined,CCARC,string,undefined,Wide area.,Ski Country ARC,Linked.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,string,86.6,NE,string,447.05,442.05,136.5,Pitkin,On-Air,undefined,CCARC,string,136.5,Aspen-Snowmass areas.,Roaring Fork Amateur Repeater Cooperative,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,88.8,WNW,string,146.76,146.16,88.5,Grand,On-Air,http://www.sdarc.us/repeaters/bald.html,UVHFS,string,undefined,Moab and immediate surroundings.,Sinbad Desert ARC,undefined,undefined,undefined,8,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,88.9,WNW,string,449.1,444.1,107.2,Grand,On-Air,GMRA Repeaters,UVHFS,string,107.2,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",Grand Mesa Repeater Association (GMRA),8,undefined,undefined,undefined,RACES Wed. 1930 hours,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,string,89.4,NNE,string,147.39,147.99,107.2,Garfield,On-Air,undefined,undefined,string,undefined,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",Roaring Fork Amateur Repeater Cooperative,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,89.4,NNE,string,449.725,444.725,179.9,Garfield,On-Air,undefined,CCARC,string,undefined,Wide area.,Roaring Fork Amateur Repeater Cooperative (RFARC),EchoLink.,undefined,3722,undefined,undefined,undefined,undefined,28434,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,90.3,NNE,string,146.88,146.28,107.2,Garfield,On-Air,undefined,CCARC,string,undefined,undefined,Ski Country ARC,undefined,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,90.3,NNE,string,447.1,442.1,107.2,Garfield,On-Air,undefined,CCARC,string,undefined,undefined,Ski Country ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,90.3,NNE,string,146.85,146.25,88.5,Garfield,On-Air,undefined,CCARC,string,123,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",Colorado Connection,70,undefined,undefined,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,90.3,NNE,string,449.6,444.6,107.2,Garfield,On-Air,http://www.gmra.org,CCARC,string,undefined,Wide area.,undefined,e-power Linked to GMRA open system,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,string,91.2,N,string,449.8,444.8,107.2,Garfield,On-Air,GMRA Repeaters,CCARC,string,undefined,undefined,undefined,8,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,91.3,N,string,146.76,146.16,107.2,Garfield,Off-Air,undefined,CCARC,string,undefined,"New Castle, Silt, Rifle and Rulison and areas around Parachute.","N0SWE,  Roaring Fork Amateur Repeater Cooperative",E-power.,undefined,undefined,undefined,undefined,undefined,DM69cl,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,243117,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,string,92.7,E,string,146.745,146.145,100,Chaffee,Off-Air,undefined,CCARC,string,undefined,undefined,CLARA,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,string,92.8,S,string,146.74,146.14,100,San Juan,On-Air,undefined,NMFCC,string,undefined,undefined,Totah ARC,"Closed autopatch, e-power.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,string,92.8,S,string,447.45,442.45,107.2,San Juan,On-Air,undefined,NMFCC,string,undefined,undefined,KB5ITS,"E-power, remote base.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,string,92.8,S,string,442.25,447.25,string,San Juan,On-Air,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,1,string,AZ-TrboNet,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1,1,2,2,2,2,undefined,undefined
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,string,92.8,S,string,146.88,146.28,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,string,undefined,undefined,undefined,undefined,Full-time to the  San Juan Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.1,-5,77,N0KM,Center,CO,OPEN,string,93.6,SE,string,447.1,442.1,77,Saguache,On-Air,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,string,93.7,S,string,147.36,147.96,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,string,undefined,undefined,undefined,undefined,Full-time to the  San Juan Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,93.9,SE,string,146.64,146.04,77,Rio Grande,On-Air,undefined,undefined,string,77,Low level local coverage,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,28781,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,string,93.9,SSE,string,145.43,144.83,136.5,Rio Arriba,On-Air,undefined,NMFCC,string,undefined,undefined,SJC EMCOMM,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,94.8,NNE,string,447.15,442.15,136.5,Garfield,On-Air,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,8150,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,95.4,WSW,string,146.61,146.01,88.5,San Juan,On-Air,http://www.sdarc.us/repeaters/abajo.html,UVHFS,string,undefined,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Sinbad Desert ARC,Remote base.,undefined,3270,11.36,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,64264,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
223.94,-1.6,string,K7QEQ,"Monticello, Abajo Pk",UT,CLOSED,string,95.4,WSW,string,223.94,222.34,string,San Juan,undefined,undefined,UVHFS,string,undefined,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Grand Mesa Rptr Assoc,11,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.4,-5,string,K7QEQ,"Monticello, Abajo Peak",UT,CLOSED,string,95.4,WSW,string,447.4,442.4,string,San Juan,undefined,undefined,UVHFS,string,undefined,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",undefined,11,undefined,undefined,undefined,undefined,Cactus-Intertie,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,string,95.4,WSW,string,447.1,442.1,107.2,San Juan,On-Air,http://gmra.org,UVHFS,string,107.2,Wide area.,Grand Mesa Repeater Association (GMRA),E-power.,Full-time to the  GMRA Open System .,undefined,11,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1291.1,-20,string,KF5VBE,Aztec,NM,CLOSED,string,95.5,S,string,1291.1,1271.1,undefined,Bernalillo,On-Air,undefined,NMFCC,string,undefined,undefined,San Juan County,DV only,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.115,-0.6,string,KF5VBE,Farmington,NM,OPEN,string,95.6,S,string,145.115,144.515,undefined,San Juan,On-Air,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,KF5VBE (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,string,96.5,E,string,449.925,444.925,103.5,Chaffee,On-Air,undefined,CCARC,string,103.5,"Upper Arkansas and Platte Rivers, and the SLV",undefined,E-power (Bat),undefined,undefined,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,undefined,Colorado ARES,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,string,96.5,E,string,449.65,444.65,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,string,undefined,Wide area.,undefined,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,96.7,E,string,449.975,444.975,100,Chaffee,On-Air,K0JSC.COM,CCARC,string,100,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,undefined,2,Full-time to the  The Fun Machine System .,7301,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",undefined,DM68xk,28368,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,363976,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,string,96.9,E,string,147.285,147.885,88.5,Chaffee,On-Air,undefined,CCARC,string,123,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,11,Full-time to the  Colorado Connection System .,undefined,undefined,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,string,96.9,E,string,145.295,144.695,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,string,undefined,Wide area.,Cheyenne Mtn Repeater Group,undefined,undefined,undefined,undefined,undefined,undefined,DM78ik,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.975,-5,string,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,string,98.8,E,string,446.975,441.975,undefined,Chaffee,On-Air,KD0QPG,CCARC,string,undefined,undefined,Crestone Amateur Radio Emergency Services,undefined,undefined,undefined,undefined,undefined,Crestone Amateur Radio Emergency Services,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,string,98.8,E,string,446.8125,441.8125,string,Chaffee,On-Air,undefined,undefined,string,undefined,undefined,RMHAM,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,number,string,string,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,string,99.3,NNE,string,449.85,444.85,131.8,Garfield,On-Air,http://GMRA.org,CCARC,string,131.8,Glenwood Springs,undefined,e-power  Linked to GMRA Open System,Full-time to the  GMRA Open System .,undefined,RACES net Wed 1930 Hrs Local,Colorado State RACES  Wed 1930 local,Grand Mesa Repeater Assoc,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.6,-5,string,KI0G,Glenwood Springs,CO,CLOSED,string,99.3,NNE,string,447.6,442.6,string,Garfield,undefined,undefined,CCARC,string,undefined,40,Ski Country ARC (SCARC),50,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",undefined,Link Hub for 146.880.,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.02,-1.6,string,KI0G,Glenwood Springs,CO,CLOSED,string,99.3,NNE,string,224.02,222.42,string,Garfield,undefined,undefined,CCARC,string,undefined,undefined,SCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,99.3,NNE,string,147.3,147.9,107.2,Garfield,Off-Air,undefined,CCARC,string,undefined,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",Roaring Fork Amateur Repeater Cooperative,8,undefined,undefined,Single beep courtesy tone when linked and none when unlinked.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,266359,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,string,100.4,S,string,146.92,146.32,100,San Juan,On-Air,undefined,NMFCC,string,undefined,undefined,San Juan County OEM,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,string,100.4,S,string,448.65,443.65,127.3,San Juan,On-Air,undefined,NMFCC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,string,101.4,WNW,string,146.9,146.3,88.5,Grand,On-Air,http://sdarc.us/repeaters/moab.html,UVHFS,string,undefined,Moab and immediate surroundings.,Sinbad Desert ARC,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,string,101.6,SSW,string,146.76,146.16,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,string,100,undefined,undefined,"Closed autopatch, e-power.",Full-time to the  San Juan Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147,0.6,100,KB5ITS,Farmington,NM,OPEN,string,101.6,SSW,string,147,147.6,100,San Juan,On-Air,undefined,NMFCC,string,undefined,undefined,undefined,"Autopatch, e-power.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,string,101.6,SSW,string,53.01,52.01,131.8,San Juan,On-Air,undefined,NMFCC,string,undefined,undefined,KB5ITS,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449,-5,100,K5WY,Farmington,NM,OPEN,string,101.6,SSW,string,449,444,100,San Juan,undefined,undefined,NMFCC,string,undefined,undefined,K5WY,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,string,101.6,SSW,string,146.85,146.25,100,San Juan,On-Air,undefined,NMFCC,string,100,undefined,Totah ARC,Closed autopatch.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
