Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,IRLP,Last update,Downlink Tone,Sponsor,Affiliate,Notes,Coordination,Features,Links,AllStar,EchoLink,Nets,D-STAR Enabled,Node,Sources,Web links,P25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,WIRES-X,Grid,Feed,Commands,Mixed-Mode,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Southern Colorado,Denver Regional,Colorado,Northern Colorado,On-air,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,Local/Cluster,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,English,Worldwide English,Location Photo,Wyoming,WyLOCAL,Europe,Southwest USA
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,15,NNW,,448.825,443.825,,Arapahoe,On-Air,,,,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,19.2,N,,448.15,443.15,141.3,Denver,On-Air,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",,,141.3,K0GUR,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,CCARC,E-power (batt).  2 meter and 70cm channel steerable remote bases.,Full-time to the  The Fun Machine System .,29436,24340,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,k0jsc.com,,,,,,,DM79pt,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,19.3,NW,,447.925,442.925,100,Denver,On-Air,,,,100,RADOPS El Jebel Shriners,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,19.3,NW,,448.075,443.075,123,Denver,On-Air,,,,,W0IG,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,19.3,NW,,146.715,146.115,123,Denver,On-Air,,,,123,EARS,,,CCARC,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,19.3,NW,,449.65,444.65,,Denver,On-Air,,,,,Colorado Amateur Repeater Network (CARN),,,CCARC,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,19.3,NW,,449.675,444.675,,Denver,On-Air,,7708,,,Colorado Amateur Repeater Network (CARN),,,CCARC,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,19.3,NW,,448.55,443.55,82.5,Denver,Off-Air,,,,,HPRA,,,CCARC,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,19.3,NW,,145.475,144.875,100,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,Intermountain Repeater Group,,,CCARC,E-power.,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,19.3,NW,,447.9,442.9,CSQ,Denver,Off-Air,,,,,WB0TPT,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,19.6,W,,146.88,146.28,100,Jefferson,On-Air,Wide area: Denver.  Map,,,,Denver Radio League,,6,CCARC,E-power.,,,,,,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,19.6,W,,449.6,444.6,100,Jefferson,On-Air,,3345,,,Denver Radio League,,,CCARC,,,,690473,,,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,20.3,NW,,447.175,442.175,100,Denver,On-Air,,,,100,W0JRL,,,CCARC,,,29997,201712,,,,,,,,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,23.1,NW,,448.75,443.75,100,Jefferson,On-Air,Local.,,,100,,N0ELY,,CCARC,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,23.2,WNW,,224.38,222.78,100,Jefferson,On-Air,,,,100,Denver Radio Club,,,CCARC,,,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,23.2,WNW,,147.33,147.93,100,Jefferson,On-Air,Metro Denver and the foothills.,,,,Denver Radio Club,,Not recommeded to use tone squelch on this repeater.,CCARC,E-power.,,,,SATERN: Thu at 19:30.,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,23.2,WNW,,449.775,444.775,100,Jefferson,On-Air,Metro Denver,,,100,Denver Radio Club,,,CCARC,,,,,,,,,Denver Radio Club,,,,,Open ↑ / Open ↓,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,23.5,W,,447.5,442.5,88.5,Jefferson,On-Air,Wide area.,,,88.5,Aurora Repeater Association,,,CCARC,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,23.9,NW,,447.825,442.825,D073,Jefferson,On-Air,,,,D073,Denver Radio Club,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,25,NW,,147.21,147.81,100,Jefferson,On-Air,,,,100,Denver Water Amateur Radio Club,,,,,,,,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,,,,,,,,,23,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,25.5,WNW,,53.09,51.39,107.2,Jefferson,On-Air,Metro Denver area.,,,,Denver Radio Club,,,CCARC,E-power.,,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,25.7,SW,,446.925,441.925,,Douglas,On-Air,,,,,,,See the website for programming info.,CCARC,,Full-time to the  Colorado TRBO System .,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,25.7,SW,,447.525,442.525,146.2,Douglas,On-Air,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,,146.2,EmComm Colorado,Colorado ARES,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,26.4,NNW,,449.3,444.3,100,Adams,On-Air,,3699,,,N1UPS,,,CCARC,,,,43699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,26.6,WNW,,447.875,442.875,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",,,107.2,N6LXX,N6LXX,,CCARC,,Full-time to the  N6LXX System .,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,26.6,WNW,,53.17,51.47,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",,,CSQ,N6LXX,N6LXX,,CCARC,,Full-time to the  N6LXX System .,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,27.8,SSW,,147.225,147.825,107.2,Douglas,On-Air,Wide area,3990,,107.2,Colorado Repeater Association (CRA),CRA VHF Link System,,CCARC,Closed autopatch,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,347086,"CRA Net, Sunday 9AM",,,,Colorado Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,27.8,SSW,,448.425,443.425,107.2,Douglas,On-Air,Wide area,,,107.2,Colorado Repeater Association (CRA),ARESDEC,,,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,,,http://www.w0cra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,27.9,SSW,,145.19,144.59,131.8,Douglas,On-Air,Wide area coverage at 8300' Pueblo to Ft. Collins+,,,131.8,N0OBA Owner,,,,,,,10079,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,27.9,SSW,,449.975,444.975,100,Douglas,On-Air,,,,100,K0JSC,The Fun Machine,"Can be linked to Allstar, Echolink and others by a Sysop",CCARC,Simulcast and Voted with Cedarwood and Methodist.,Full-time to the  The Fun Machine System .,,,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,28.1,NNW,,147.045,147.645,123,Adams,On-Air,,,,CSQ,Northglenn RA,,,CCARC,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,29,WNW,,446.8375,441.8375,,Jefferson,On-Air,,,,,WA2YZT,,See website for more info on CC/TS/TG programming.  www.rmham.org,CCARC,200,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,29,W,,447.15,442.15,107.2,Jefferson,Off-Air,Wide area: Denver.,,,107.2,Colorado Repeater Association (CRA),,,CCARC,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,29,W,,224.98,223.38,107.2,Jefferson,Off-Air,Wide area. Denver.,3990,,107.2,Colorado Repeater Association,,,CCARC,"Closed autopatch, e-power.","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,29,W,,1287.9,1267.9,CSQ,Jefferson,Off-Air,Fort Collins to Colorado Springs.,,,,Colorado Repeater Association (CRA),,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,29.1,WNW,,145.37,144.77,,Jefferson,On-Air,,,,,Rocky Mountain Ham Radio,,See the website for programming information.,CCARC,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,29.1,WNW,,1299.9,1299.9,,Jefferson,On-Air,,,,,Colorado D-Star,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,29.1,WNW,,446.9625,441.9625,,Jefferson,On-Air,,,,,Colorado D-Star,,,CCARC,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,29.1,WNW,,1283.9625,1263.9625,,Jefferson,On-Air,,,,,Colorado D-Star,,,CCARC,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,29.1,WNW,,145.25,144.65,,Jefferson,On-Air,,,,,Colorado D-Star,,,CCARC,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,29.4,NW,,927.7875,902.7875,156.7,Jefferson,On-Air,Golden and Denver.,,,,N0PYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,29.4,NW,,448.125,443.125,107.2,Jefferson,On-Air,,,,,Denver PD EEB,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,29.4,WNW,,449.625,444.625,141.3,Jefferson,On-Air,,3750,,141.3,Rocky Mountain Ham Radio,,,CCARC,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,29.4,NW,,448.975,443.975,123,Jefferson,On-Air,Wide area.,,,,FRG,,,CCARC,Linkable VHF/UHF Remote Base,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,30.1,SSW,,447.725,442.725,100,El Paso,On-Air,Local.,,,100,K0NR,,,CCARC,30,,,,,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,30.4,NW,,446.975,441.975,,Jefferson,On-Air,Denver Metro Area,,,,W0DMR,,,,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,http://www.w0dmr.org/,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,30.6,WNW,,145.34,144.74,103.5,Jefferson,On-Air,Wide area.,3350,,127.3,Rocky Mtn Radio League,,,CCARC,E-power.,,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,30.6,WNW,,145.175,144.575,D073,Clear Creek,Off-Air,,,,D073,Rocky Mountain Ham Radio,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,CCARC,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,Yes; analog capable.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,31.5,W,,147.12,147.72,88.5,Jefferson,On-Air,Denver metro and east.,,,88.5,Aurora Repeater Association,,,CCARC,E-power.,,,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,31.9,W,,53.05,51.35,107.2,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,107.2,Colorado Repeater Association (CRA),,,CCARC,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Brighton,CO,OPEN,,32.4,N,,449.925,444.925,114.8,Adams,On-Air,,,,114.8,KD0RG,K0UPS Club,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,32.7,NNW,,449.825,444.825,103.5,Boulder,On-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,,,,Rocky Mountain Radio League,,,CCARC,6,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,32.7,NNW,,448.925,443.925,131.8,Boulder,On-Air,,,,,W0LMA,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,33.2,SW,,446.875,441.875,,Douglas,On-Air,,,,,W0VG,RMHAM,,CCARC,,Full-time to the  Colorado TRBO System .,,,,,,,http://www.rmham.org,,,,,,,,,,,,6,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,2,1,2,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,33.8,SSE,,447.625,442.625,100,El Paso,On-Air,,7301,,100,KD0MDP,The Fun Machine,,,Linked.,Full-time to the  The Fun Machine System .,28299,363976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,33.8,N,,447.625,442.625,100,Adams,On-Air,Local/North Metro,,,,Intermountain Repeater Group,,,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,35,WNW,,145.22,144.62,103.5,Jefferson,On-Air,Wide area.,,,103.5,Rocky Mtn Radio League,,Talk-Group of $FFFF.,CCARC,8,,,,,,,,Repeater,,293,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,35,WNW,,449.75,444.75,103.5,Jefferson,On-Air,,,,103.5,Rocky Mtn Radio League,,,CCARC,8,,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,35,WNW,,224.74,223.14,88.5,Jefferson,On-Air,,,,88.5,Aurora Repeater Assoc,,,CCARC,e-power,,,,ARA: Wed at 2000.,,,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
