Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Links,Notes,Web links,Coordination,Last update,On-air,EchoLink,IRLP,Affiliate,Nets,AllStar,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,D-STAR Enabled,Node,Sources,Commands,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Grid,Location Photo,YSF Digital Enabled,DG-ID,Mixed-Mode,Data,DMRX 1,Utah Statewide 2,Local/Cluster,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Denver Regional,Northern Colorado,P25 Digital Enabled,NAC,Default Reflector,Local,WIRES-X,Feed
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,68.2,SE,,446.7375,441.7375,,,Montezuma,On-Air,,RMHAM,,,,http://www.rmham.org,CCARC,,,,,,,,,6,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,70.8,SE,,145.325,144.725,100,,Montezuma,On-Air,Wide area.,,E-power.,,Full time to the San Juan Connection,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,74.2,SE,,442.375,447.375,100,,Montezuma,On-Air,,San Juan Connection,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,75.2,ESE,,449.7,444.7,107.2,107.2,San Miguel,On-Air,Wide Area via links - Western Colorado - Eastern Utah,Grand Mesa Repeater Association ( GMRA ),E-power.,Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control Op,,CCARC,,,,3710,,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,79.3,SE,,146.67,146.07,100,,La Plata,On-Air,Wide area.,Durango ARC,11,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",Linked active in the summer months only.,DARC Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,136.5,K7SDC,"Hanksville, Ellen Peak",UT,OPEN,EI,80.3,W,,147.08,147.68,136.5,,Wayne,On-Air,"Wide area: Areas around the Henry Mountain range in southeastern Utah including Hanksville, Hite, Boulder, Escalante, and Bullfrog.",Sinbad Desert ARC,"Closed autopatch, remote base.",Full-time to the  Sinbad Desert (SDARC) System .,11,http://sdarc.us/repeaters/mt-ellen.html,UVHFS,,,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,82.1,SE,,145.37,144.77,100,100,La Plata,On-Air,,,E-power.,,,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,84.5,NNE,,448.15,443.15,100,,Mesa,On-Air,,,,,,,CCARC,,,312189,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,84.8,ESE,,147.27,147.87,127.3,,San Juan,On-Air,Wide area.,KB5ITT,E-power.,,,,CCARC,,,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,88.6,NNE,,449.575,444.575,131.8,131.8,Mesa,On-Air,Grand Junction,,e-power. Linked to GMRA Open System,,Closed IRLP out,GMRA Repeaters,CCARC,,,,3710,Grand Mesa Repeater Assoc,Wed RACES Net 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,88.6,NNE,,146.94,146.34,107.2,107.2,Mesa,On-Air,Grand Junction 30-50 mi,Western Colorado Amateur Radio Club,E-power and autopatch for WCARC members,,,http://w0rrz.org,CCARC,,,,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,89.2,SE,,147.135,147.735,100,100,La Plata,On-Air,,,,,,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,90,E,,146.91,146.31,107.2,107.2,Montrose,On-Air,,,E-Power,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,90,E,,146.79,146.19,107.2,107.2,Montrose,On-Air,,KC0UXX,E-power.,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,90.1,SE,,448.625,443.625,131.8,131.8,La Plata,,Wide area.,KC5EVE,,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,90.1,SE,,449.85,444.85,100,100,La Plata,On-Air,,DARC,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,91.6,ESE,,145.325,144.725,127.3,,San Juan,On-Air,,,Solar powered,,,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,91.6,ESE,,444,449,67,,Huerfano,On-Air,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,91.7,ESE,,447.525,442.525,127.3,,San Juan,On-Air,Wide area.,KB5ITS,E-power.,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,91.7,ESE,,147.27,147.87,127.3,,Ouray,On-Air,,,,,,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,91.8,NNE,,147.355,146.755,88.5,123,Mesa,On-Air,,Colorado Connection,,Full-time to the  Colorado Connection System .,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,92,SE,,146.7,146.1,100,100,La Plata,On-Air,Local.,Durango ARC,9,,,http://durangoarc.org/,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,92.1,SE,,445.1375,440.1375,,,La Plata,On-Air,,K2AD,,,,http://www.rmham.org/,CCARC,,,,,Rocky Mountain Ham Radio,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,92.9,NNE,,146.82,146.22,107.2,,Mesa,On-Air,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,CCARC,,,,,,,28515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,92.9,NNE,,145.22,144.62,107.2,,Mesa,,,KE0TY,,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,92.9,NNE,,449,444,,107.2,Mesa,On-Air,,KB0SW,,,,,CCARC,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,92.9,NNE,,447.5,442.5,114.8,,Mesa,,,KC0ARV,,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,92.9,NNE,,449.775,444.775,173.8,88.5,Mesa,On-Air,,,,,,,CCARC,,,7572,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,92.9,NNE,,147.105,147.705,,,Mesa,On-Air,,K0SSI,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,92.9,NNE,,147.39,147.99,107.2,,Mesa,,,KE0TY,Linked.,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,92.9,NNE,,446.775,441.775,,,Mesa,On-Air,,,,,,,,,,,,,,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,93.5,SE,,147.345,147.945,88.5,123,La Plata,On-Air,Durango and north towards Molas Divide.,Colorado Connection,,Full-time to the  Colorado Connection System .,,,CCARC,,,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,93.7,ESE,,147.375,147.975,156.7,,San Juan,On-Air,Wide area.,,13,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,96.9,NNE,,145.175,144.575,107.2,,Mesa,On-Air,Greater grand Junction area.,,"E-power,",,,,CCARC,,,,3161,,,,,,,,,,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,97.5,E,,448.65,443.65,,151.4,Montrose,On-Air,Wide area.,KB0YNA,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,97.5,E,,447.2,442.2,107.2,107.2,Montrose,On-Air,Delta/Montrose,,9,Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control op,GMRA Repeaters,CCARC,,,,3710,Grand Mesa Repeater Assoc,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,100,KB5ITS,"Lukachukai, Roof Butte",AZ,OPEN,,98.4,S,,145.25,144.65,100,,Apache,On-Air,,San Juan Connection,"E-power, linked.",Full-time to the  San Juan Connection System .,,,ARCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,100,NM5SJ,"Lukachukai, Roof Butte",AZ,OPEN,,98.4,S,,146.82,146.22,100,,Apache,On-Air,,Totah ARC,,,,,ARCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,100,WA7VHF,"Page, Navajo Mountain",UT,OPEN,,98.9,SW,,448.6,443.6,100,,San Juan,On-Air,Wide Area.,Utah VHF Society,,"Full-time to  
        448.87500 (W7ARA) at Flagstaff, Mt. Elden, AZ .
 


Full-time to the  Intermountain Intertie System .",,http://utahvhfs.org/snowlink.html,UVHFS,,,,,Intermountain Intertie,UVHFS: Tue at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,100.3,SE,,146.76,146.16,100,100,San Juan,On-Air,,,"Closed autopatch, e-power.",Full-time to the  San Juan Connection System .,,http://www.sjcham.com,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,100.3,SE,,442.325,447.325,,,San Juan,On-Air,,,AZ-TRBONET,,,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,,,,,,,,,1,,AZ-TrboNet,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,100.3,SE,,444.15,449.15,,,San Juan,On-Air,,San Juan County,DV only,,,,,,,,,,,,,,,,,,,,KF5VBF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,100.3,SE,,53.01,52.01,131.8,,San Juan,On-Air,,KB5ITS,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,100.3,SE,,449,444,100,,San Juan,,,K5WY,E-power.,,,,NMFCC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,100.3,SE,,146.85,146.25,100,100,San Juan,On-Air,,Totah ARC,Closed autopatch.,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,100.3,SE,,147,147.6,100,,San Juan,On-Air,,,"Autopatch, e-power.",,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,100.7,NE,,449.3,444.3,107.2,107.2,Mesa,On-Air,Wide Area I-70 West Rifle to Western Utah,,e-power Linked to GMRA Open System,,Closed IRLP out,http://www.gmra.org/,CCARC,,,,3710,,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,101.1,SE,,1291.7,1271.7,,,San Juan,On-Air,,San Juan County,DV only,,,,NMFCC,,,,,,,,,,,,,,,,KF5VBF (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,NA7DB,"Page (az), Navajo Mountain",UT,OPEN,,101.7,SW,,448.75,443.75,100,,San Juan,On-Air,"Wide area: Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",,10,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,100,W7CWI,"Page (AZ), Navajo Mountain",UT,OPEN,,101.7,SW,,449.925,444.925,100,,San Juan,On-Air,"Wide area: Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",Lake Powell ARG,10,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.96,-0.6,100,W7WAC,"Page (AZ), Navajo Mountain",UT,OPEN,,101.7,SW,,146.96,146.36,100,,San Juan,On-Air,"Wide area: Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",KE7OZE,,,10,,UVHFS,,,,,Intermountain Intertie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,103.5,NE,,446.9125,441.9125,,,Mesa,On-Air,"Grand Junction, I70",Bill Frost,,,Brandmeister network,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,,103.7,SE,,442.25,447.25,,,San Juan,On-Air,,,,,,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,,,,,,,,,1,,AZ-TrboNet,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,103.7,SE,,146.74,146.14,100,,San Juan,On-Air,,Totah ARC,"Closed autopatch, e-power.",,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,103.7,SE,,146.88,146.28,100,,San Juan,On-Air,,,,Full-time to the  San Juan Connection System .,,http://www.sjcham.com,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,103.7,SE,,447.45,442.45,107.2,,San Juan,On-Air,,KB5ITS,"E-power, remote base.",,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,103.8,SE,,147.06,147.66,100,,San Juan,On-Air,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,104.7,NE,,147.36,147.96,100,,Delta,,,W0ALC,,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,104.7,NE,,449.825,444.825,100,,Delta,,,W0ALC,,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,104.7,NE,,147.195,147.795,107.2,,Delta,,Local.,,,,,,,,Unknown,,,Colorado District 25 ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,105.8,SE,,1291.1,1271.1,,,Bernalillo,On-Air,,San Juan County,DV only,,,,NMFCC,,,,,,,,,,,,,,,,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
