Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,IRLP,Uplink Tone,Downlink Tone,YSF Digital Enabled,DG-ID,Coverage,Features,Mixed-Mode,Web links,EchoLink,Links,DMR Enabled,Color Code,Wide Network,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Nets,Talkgroup Network,Worldwide English,North America,Colorado,Affiliate,Commands,Notes,Worldwide,English,Northern Colorado,Southern Colorado,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Feed,Local Network,Denver Regional,AllStar,WIRES-X,On-air,P25 Digital Enabled,NAC,Default Reflector,Wyoming,WyLOCAL,Location Photo
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,38.3,SW,yes,145.3875,144.7875,yes,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",Boulder,On-Air,Boulder County ARES,CCARC,yes,,,,,,20,E-power.,,http://bouldercountyares.org/technical/d-star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,40.9,SW,yes,446.8625,441.8625,yes,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",Boulder,On-Air,Boulder County ARES,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,39.3,W,yes,146.685,146.085,,,,Larimer,On-Air,Estes Valley ARC,CCARC,yes,7268,123,,,,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),E-power.,,,625757,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .",,,,,,,,,,ARES D-10: Thu at 19:00.,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,42.8,W,yes,449.8,444.8,,,,Larimer,On-Air,Estes Valley ARC,CCARC,yes,7268,123,,,,,E-Power,,,625757,"Full-time to  
        146.68500 (N0FH) at Estes Park, CO .",,,,,,,,,,ARES D-10: Thu at 19:00.,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,39.9,SSW,yes,147.045,147.645,,,,Adams,On-Air,Northglenn RA,CCARC,yes,,123,CSQ,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,40,SSW,yes,449.825,444.825,,,,Boulder,On-Air,Rocky Mountain Radio League,CCARC,yes,,103.5,,,,Along the foothills and into Boulder where the 94 repeater is shadowed.,6,,Repeater,,,,,,,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,66,SW,yes,146.94,146.34,,,,Clear Creek,On-Air,Rocky Mtn Radio League,CCARC,yes,,103.5,103.5,,,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",11,,Repeater,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,,,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,Listen Live,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,40,SSW,yes,448.925,443.925,,,,Boulder,On-Air,W0LMA,CCARC,yes,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,WB7GR,"Cheyenne, Chalk Bluffs",WY,OPEN,,40.7,N,yes,449.3,444.3,,,,Laramie,On-Air,WU7G,,yes,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,103.3,NNE,yes,444.125,449.125,,,,Scotts Bluff,On-Air,SBCEMA,,yes,,114.8,,,,Wide area,Linked to Albin (147.165) and Cheyenne (146.775),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,40.9,SW,yes,446.8,441.8,,,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,yes,,,,,,Wide area.,,,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,yes,7,,,,,,,,,,,,,Rocky Mountain Ham Radio,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,41.8,SW,yes,445.05,440.05,,,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,yes,,,,,,Wide area,BrandMeister Network,,,,,yes,1,BrandMeister,,,,,,,,,,,,,,,,,,,,,,,,,,BrandMeister US,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,41.8,SW,yes,446.9875,441.9875,,,,Boulder,On-Air,Rocky Mountain Ham Radio,,yes,,,,,,,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,41.8,SW,yes,447.75,442.75,,,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,yes,3450,141.3,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,52.9,SW,yes,449.225,444.225,,,,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),CCARC,yes,,141.3,141.3,,,Wide area.,Emergency Power,,,,,,,,,,,,,,,,,,,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,55.3,SSW,yes,145.37,144.77,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,CCARC,yes,,,,,,,,,Rocky Mountain Ham Radio,,,yes,7,,,,,,,,,,,,,,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,63.4,SSW,yes,145.175,144.575,,,,Clear Creek,Off-Air,Rocky Mountain Ham Radio,CCARC,yes,,D073,D073,,,,,Yes; analog capable.,Rocky Mountain Ham Radio,,,yes,1,,,,,,,,,,,,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,66,SW,yes,446.9375,441.9375,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,yes,,,,,,,,,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,RMHAM,,,1,,,See the website for programming information.,,,2,2,,,,,,,,,2,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,66,SW,yes,448.225,443.225,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,CCARC,yes,,141.3,141.3,,,,E-power(gen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,91.1,SSW,yes,446.875,441.875,,,,Douglas,On-Air,W0VG,CCARC,yes,,,,,,,,,http://www.rmham.org,,Full-time to the  Colorado TRBO System .,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,RMHAM,,,1,RMHAM,,,,,2,2,,,,,,,,,2,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,94.7,SW,yes,445.0875,440.0875,,,,Fremont,On-Air,K2AD,,yes,,,,,,,,,http://www.rmham.org/,,,yes,7,,,,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,106.9,WSW,yes,445.075,440.075,,,,Eagle,On-Air,K2AD,CCARC,yes,,,,,,,,,http://www.rmham.org/,,,yes,7,,,,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,111.8,SW,yes,445.05,440.05,,,,Lake,On-Air,K2AD,CCARC,yes,,,,,,,,,http://www.rmham.org/,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,RMHAM,,,1,Rocky Mountain Ham Radio,,,,,2,2,,,,,,,,,2,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,113.3,SSW,yes,446.7625,441.7625,,,,Park,On-Air,K7PFJ,,yes,,,,,,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,1,RMHAM,,,,,,,,,,,,,,,2,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,116.2,S,yes,445.0625,440.0625,,,,El Paso,Off-Air,Rocky Mountain Ham Radio,CCARC,yes,,,,,,,The DMR-MARC Worldwide Network,,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,147.5,SSW,yes,446.8125,441.8125,,,,Chaffee,On-Air,RMHAM,,yes,,,,,,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,40.9,SW,yes,1299.5,1279.5,yes,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",Boulder,On-Air,Boulder County ARES,CCARC,yes,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,42.9,SW,yes,146.61,146.01,,,,Boulder,Off-Air,Boulder Amateur Radio Club,CCARC,yes,7007,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,42.9,SW,yes,448.9,443.9,,,,Boulder,On-Air,Boulder ARC,CCARC,yes,,100,,,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,43,SW,yes,146.7,146.1,,,,Boulder,On-Air,Boulder Co ARC,CCARC,yes,,100,,,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",6,,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,41.8,SW,yes,145.46,144.86,,,,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,yes,3990,107.2,107.2,,,Boulder/Denver Metro,"Closed autopatch, e-power.",,,347086,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,CRA VHF Link System,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,41.8,SW,yes,447.975,442.975,,,,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,yes,,107.2,107.2,,,Wide area: Boulder/Longmont area.,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,66,SW,yes,145.145,144.545,,,,Clear Creek,On-Air,Colorado Repeater Assoc,CCARC,yes,,107.2,107.2,,,Wide area. Denver metro.,E-power.,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,66,SW,yes,447.575,442.575,,,,Clear Creek,On-Air,Colorado Repeater Association (CRA),CCARC,yes,3291,107.2,107.2,,,Wide area: Denver metro.,,,http://www.w0cra.org,347088,,,,,,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,69.9,SSW,yes,1287.9,1267.9,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,yes,,CSQ,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,69.9,SSW,yes,224.98,223.38,,,,Jefferson,Off-Air,Colorado Repeater Association,CCARC,yes,3990,107.2,107.2,,,Wide area. Denver.,"Closed autopatch, e-power.",,,347086,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,69.9,SSW,yes,447.15,442.15,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,yes,,107.2,107.2,,,Wide area: Denver.,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,71.4,SSW,yes,53.05,51.35,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,yes,,107.2,107.2,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,87.9,SSW,yes,147.225,147.825,,,,Douglas,On-Air,Colorado Repeater Association (CRA),CCARC,yes,3990,107.2,107.2,,,Wide area,Closed autopatch,,Colorado Repeater Association,347086,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,,,,,,,,,"CRA Net, Sunday 9AM",,,,,CRA VHF Link System,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,87.9,SSW,yes,448.425,443.425,,,,Douglas,On-Air,Colorado Repeater Association (CRA),,yes,,107.2,107.2,,,Wide area,,,http://www.w0cra.org,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,,,,,,,,,,,ARESDEC,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,116.9,S,yes,145.16,144.56,,,,El Paso,On-Air,Colorado Repeater Association,CCARC,yes,3990,107.2,107.2,,,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.","Closed autopatch, e-power.",,http://www.w0cra.org/info/cosprgs.html#145160,347086,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,CRA VHF Link System,,Switch to this repeater at mile marker 170 on I-25.,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,43.3,S,yes,448.15,443.15,,,,Denver,On-Air,K0GUR,CCARC,yes,,141.3,141.3,,,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",E-power (batt).  2 meter and 70cm channel steerable remote bases.,,k0jsc.com,24340,Full-time to the  The Fun Machine System .,,,,,,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,,,,DM79pt,,,,,,Listen Live,,,29436,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,43.6,WSW,yes,147.03,147.63,,,,Boulder,On-Air,KI0HG,CCARC,yes,,100,,,,,,,,,,,,,,,,,,,,,,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,44.1,SSW,yes,449.3,444.3,,,,Adams,On-Air,N1UPS,CCARC,yes,3699,100,,,,,,,,43699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,44.6,WSW,yes,146.91,147.51,,,,Boulder,On-Air,,,yes,,123,127.3,,,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,,http://goldhilltown.com/,,,,,,,,,,,,"Summer Tue at 19:30P, Winter 19:00.",,,,,"Town of Gold Hill, Colorado",,There is a MOU With BCARES for repeater use.,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,48.4,S,yes,448.5,443.5,,,,Denver,On-Air,Castle Rock Repeater Group,CCARC,yes,,100,,,,Greater Denver area.,E-power.,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,56.4,S,yes,145.4,144.6,,,,Arapahoe,On-Air,Castle Rock Repeater Group,CCARC,yes,,100,,,,Greater Denver area.,"Autopatch, e-power.",,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,66,SW,yes,146.67,146.07,,,,Clear Creek,On-Air,Castle Rock Repeater Group,CCARC,yes,,100,100,,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",11,,,,,,,,,,,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,48.4,S,yes,448.275,443.275,,,,Arapahoe,On-Air,W0BG,CCARC,yes,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,48.4,SSW,yes,447.175,442.175,,,,Denver,On-Air,W0JRL,CCARC,yes,,100,100,,,,,,,201712,,,,,,,,,,,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,29997,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,48.4,S,yes,448.825,443.825,,,,Arapahoe,On-Air,,,yes,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30584,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,48.7,N,yes,146.775,146.175,,,,Laramie,On-Air,Shy-Wy Amateur Radio Club,WRCG,yes,,114.8,,,,,"E-power, WX.",,,,"Full-time to  
        147.16500 (KC7SNO) at Albin, WY .",,,,,,,,,,"Weather Net: Daily at 06:45. 
Shy-WY ARC: Sun at 07:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,114.8,KC7SNO,"Cheyenne, North Park",WY,OPEN,,49.9,N,yes,147.105,147.705,,,,Laramie,On-Air,ShyWyArc,WRCG,yes,,114.8,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DN71,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,75.8,NNE,yes,147.165,147.765,,,,Laramie,On-Air,Shy-Wy Amateur Radio Club,WRCG,yes,,114.8,,,,,E-power.,,,,"Full-time to  
        147.10500 (KC7SNO) at Cheyenne, North Park, WY .
 


Full-time to  
        146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,114.8,KC7SNO,"Laramie, Beacon Hill",WY,OPEN,,76.7,NW,yes,146.82,146.22,,,,Albany,On-Air,Shy-Wy Amateur Radio Club,WRCG,yes,,114.8,,,,Wide area.,,,,,,,,,,,,,,,Shy-WY ARC: Thu at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC7,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,49.4,SE,yes,448.2,443.2,,,,Morgan,On-Air,,CCARC,yes,,,,,,,Mixed Mode,,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,1,NEAHR,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,,2,,,,,,,,,,,,,,,,,,,
448.175,-5,CC7,W0FT,Akron,CO,OPEN,,80.9,SE,yes,448.175,443.175,,,,Morgan,On-Air,W0FT,CCARC,yes,,,,,,,,,http://www.rmham.org/,,,yes,7,,,,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,49.5,SSW,yes,146.715,146.115,,,,Denver,On-Air,EARS,CCARC,yes,,123,123,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,49.5,SSW,yes,448.075,443.075,,,,Denver,On-Air,W0IG,CCARC,yes,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,49.5,SSW,yes,448.55,443.55,,,,Denver,Off-Air,HPRA,CCARC,yes,,82.5,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,49.6,SSW,yes,447.925,442.925,,,,Denver,On-Air,RADOPS El Jebel Shriners,CCARC,yes,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,57.7,SW,yes,146.985,146.385,,,,Denver,On-Air,El Jebel RADOPS,CCARC,yes,3346,100,100,,,,E-power.,,,,,,,,,,,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,49.6,SSW,yes,447.9,442.9,,,,Denver,Off-Air,WB0TPT,CCARC,yes,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
