Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Coordination,Last update,EchoLink,Notes,Features,Affiliate,Links,IRLP,AllStar,Web links,Nets,Feed,On-air,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Mixed-Mode,Local Network,Worldwide,North America,Local/Cluster,Grid,Commands,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Location Photo,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,English,TAC 310,Mountain Reg USA,Europe,Southwest USA,Wyoming,WyLOCAL
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,60.6,W,yes,145.355,144.755,88.5,123,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,CCARC,yes,,Colorado Connection system of repeaters,E-power.,,Full-time to the  Colorado Connection System .,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,64.2,NNE,yes,147.075,147.675,88.5,123,Grand,On-Air,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Colorado Connection,CCARC,yes,,Part of the Colorado Connection system of Repeaters,,,Full-time to the  Colorado Connection System .,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,66.6,SE,yes,147.285,147.885,88.5,123,Chaffee,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,CCARC,yes,,,11,,Full-time to the  Colorado Connection System .,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,73.9,NE,yes,147.285,147.885,88.5,123,Grand,On-Air,,Colorado Connection,CCARC,yes,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,88.4,E,yes,145.31,144.71,88.5,123,Gilpin,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,CCARC,yes,,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",10,,Full-time to the  Colorado Connection System .,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,89.4,N,yes,147.165,147.765,88.5,123,Routt,On-Air,,Colorado Connection,,yes,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,89.4,N,yes,449.625,444.625,123,123,Routt,On-Air,Local Steamboat Area,"Colorado Connection Repeaters, Inc.",,yes,,,Statewide Linked System,,,,,http://colcon.org,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,94.2,W,yes,147.355,146.755,88.5,123,Mesa,On-Air,,Colorado Connection,CCARC,yes,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,99.3,NNW,yes,146.97,146.37,88.5,123,Moffat,On-Air,,Northwest Colorado Amateur Radio Association,CCARC,yes,,,,Colorado Connection,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,103.4,NNE,yes,145.16,144.56,88.5,123,Jackson,On-Air,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",Colorado Connection,CCARC,yes,,Part of the Colorado Connection system of repeaters.,8,,Full-time to the  Colorado Connection System .,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,109.5,SE,yes,145.13,144.53,88.5,123,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,CCARC,yes,,Linked into the Colorado Connection System,9,,Full-time to the  Colorado Connection System .,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,137.2,SSW,yes,147.345,147.945,88.5,123,La Plata,On-Air,Durango and north towards Molas Divide.,Colorado Connection,CCARC,yes,,,,,Full-time to the  Colorado Connection System .,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,203,E,yes,145.4,144.8,88.5,123,Washington,On-Air,Northeastern plains of Colorado.,Colorado Connection,CCARC,yes,,Part of the Colorado Connection system of repeaters,,,Full-time to the  Colorado Connection System .,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,34.2,WNW,yes,146.88,146.28,107.2,,Garfield,On-Air,,Ski Country ARC,CCARC,yes,,,,,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,34.2,WNW,yes,447.1,442.1,107.2,,Garfield,On-Air,,Ski Country ARC,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,36.8,NW,yes,224.02,222.42,,,Garfield,,,SCARC,CCARC,yes,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,36.8,NW,yes,447.6,442.6,,,Garfield,,40,Ski Country ARC (SCARC),CCARC,yes,,Link Hub for 146.880.,50,,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,34.2,WNW,yes,449.6,444.6,107.2,,Garfield,On-Air,Wide area.,,CCARC,yes,,,e-power Linked to GMRA open system,,,,,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,34.4,ESE,yes,445.05,440.05,,,Lake,On-Air,,K2AD,CCARC,yes,,,,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,,yes,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,36.5,NNE,yes,445.075,440.075,,,Eagle,On-Air,,K2AD,CCARC,yes,,,,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,48.5,E,yes,445.0875,440.0875,,,Fremont,On-Air,,K2AD,,yes,,,,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,51.8,ESE,yes,446.7625,441.7625,,,Park,On-Air,,K7PFJ,,yes,,,,RMHAM,,,,,,,,yes,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,63.2,SE,yes,446.8125,441.8125,,,Chaffee,On-Air,,RMHAM,,yes,,,,,,,,,,,,yes,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,78.3,E,yes,446.9375,441.9375,,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,CCARC,yes,,See the website for programming information.,,,Full-time to the  Colorado TRBO System .,,,Rocky Mountain Ham Radio,,,,yes,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,78.3,E,yes,448.225,443.225,141.3,141.3,Clear Creek,On-Air,,Rocky Mountain Ham Radio,CCARC,yes,,,E-power(gen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,85.7,E,yes,145.175,144.575,D073,D073,Clear Creek,Off-Air,,Rocky Mountain Ham Radio,CCARC,yes,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,Rocky Mountain Ham Radio,,,,yes,1,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,88.4,E,yes,449.225,444.225,141.3,141.3,Gilpin,On-Air,Wide area.,Rocky Mountain Ham Radio (RMHR),CCARC,yes,,"Emcomm Affiliated, Open repeater",Emergency Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,88.6,ESE,yes,446.875,441.875,,,Douglas,On-Air,,W0VG,CCARC,yes,,,,RMHAM,Full-time to the  Colorado TRBO System .,,,http://www.rmham.org,,,,yes,6,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,92.4,E,yes,145.37,144.77,,,Jefferson,On-Air,,Rocky Mountain Ham Radio,CCARC,yes,,See the website for programming information.,,,,,,Rocky Mountain Ham Radio,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,98.8,NE,yes,445.05,440.05,,,Boulder,On-Air,Wide area,Rocky Mountain Ham Radio,CCARC,yes,,,BrandMeister Network,,,,,,,,,yes,1,BrandMeister,,,,,,,,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,98.8,NE,yes,446.9875,441.9875,,,Boulder,On-Air,,Rocky Mountain Ham Radio,,yes,,,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,98.8,NE,yes,447.75,442.75,141.3,141.3,Boulder,On-Air,,Rocky Mountain Ham Radio,CCARC,yes,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,100.1,NE,yes,446.8,441.8,,,Boulder,On-Air,Wide area.,Rocky Mountain Ham Radio,CCARC,yes,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,,,Rocky Mountain Ham Radio,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,109.5,SE,yes,445.0625,440.0625,,,El Paso,Off-Air,,Rocky Mountain Ham Radio,CCARC,yes,,,The DMR-MARC Worldwide Network,,,,,,,,,yes,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,122.5,WNW,yes,445.2625,440.2625,,,Rio Blanco,On-Air,,RMHAM,,yes,,,,,,,,https://www.rmham.org,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,136.5,SSW,yes,445.1375,440.1375,,,La Plata,On-Air,,K2AD,CCARC,yes,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,36.8,NW,yes,449.85,444.85,131.8,131.8,Garfield,On-Air,Glenwood Springs,,CCARC,yes,,RACES net Wed 1930 Hrs Local,e-power  Linked to GMRA Open System,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,,,http://GMRA.org,Colorado State RACES  Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,68.4,WNW,yes,449.8,444.8,107.2,,Garfield,On-Air,,,CCARC,yes,,,8,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,72.2,SW,yes,447.2,442.2,107.2,107.2,Montrose,On-Air,Delta/Montrose,,CCARC,yes,,Closed IRLP out - Ask for a control op,9,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,3710,,GMRA Repeaters,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,77.6,W,yes,449.3,444.3,107.2,107.2,Mesa,On-Air,Wide Area I-70 West Rifle to Western Utah,,CCARC,yes,,Closed IRLP out,e-power Linked to GMRA Open System,,,3710,,http://www.gmra.org/,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,103.8,W,yes,449.575,444.575,131.8,131.8,Mesa,On-Air,Grand Junction,,CCARC,yes,,Closed IRLP out,e-power. Linked to GMRA Open System,Grand Mesa Repeater Assoc,,3710,,GMRA Repeaters,Wed RACES Net 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,37.8,NE,yes,146.61,146.01,107.2,,Eagle,On-Air,,ECHO,CCARC,yes,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,39,NE,yes,224.8,223.2,,,Eagle,Off-Air,,ECHO,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,39,NE,yes,449.9,444.9,107.2,107.2,Eagle,Off-Air,,ECHO,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,39.1,ESE,yes,447.125,442.125,103.5,103.5,Park,On-Air,"Covers Fairplay, Alma, and western South Park.",KC0UFO,CCARC,yes,,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",Emergency automatic generator.,"Park County Radio Club, AB0PC",,,,,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,,,,,,,,,,,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,42.6,SSE,yes,447.65,442.65,151.4,151.4,Gunnison,On-Air,Gunnison valley and along East and west on Highway 50.,KB0YNA,CCARC,yes,,,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
