Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Links,Last update,Coverage,Features,Nets,Web links,Notes,Coordination,Affiliate,Feed,On-air,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Northern Colorado,Southern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,EchoLink,Local Network,IRLP,Talkgroup Network,Denver Regional,Worldwide,North America,Local/Cluster,Commands,AllStar,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Grid,Worldwide English,DCI Bridge,N. Colorado,D-STAR Enabled,Node,Sources,English,TAC 310,Wyoming,WyLOCAL,P25 Digital Enabled,NAC,Default Reflector,Mountain Reg USA,WIRES-X,Location Photo
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,114.2,SSW,yes,145.355,144.755,88.5,123,Mesa,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,"Rifle to the east, several miles east of Green River, Utah to the west.",E-power.,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection system of repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,135.2,SW,yes,147.355,146.755,88.5,123,Mesa,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,146.6,SSE,yes,147.285,147.885,88.5,123,Chaffee,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",11,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,159.5,SE,yes,145.13,144.53,88.5,123,El Paso,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,9,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,Linked into the Colorado Connection System,CCARC,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,191.9,ESE,yes,145.4,144.8,88.5,123,Washington,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,Northeastern plains of Colorado.,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Part of the Colorado Connection system of repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,0,ESE,yes,147.21,147.81,107.2,107.2,Routt,On-Air,SSARC,,yes,,"Linked, WX.",,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,37.6,W,yes,145.265,144.665,107.2,,Moffat,,NW Colorado ARC,,yes,,E-power.,,,,CCARC,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,54.5,SE,yes,446.875,441.875,,,Clear Creek,On-Air,,,yes,,,,http://www.rmham.org,,,RMHAM,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,86.9,ESE,yes,446.75,441.75,,,Larimer,On-Air,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,yes,,,,http://www.rmham.org,See website for complete info on color codes/time slot assignment.,CCARC,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC7,K7PFJ,"Cheyenne, South",WY,OPEN,,109.6,E,yes,449.9375,444.9375,,,Laramie,On-Air,,Full-time to the  Rocky Mountain Ham System .,yes,,,,https://www.rmham.org/wordpress/,,WRCG,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,153.5,SE,yes,446.95,441.95,,,Teller,On-Air,Rocky Mountain Ham Radio,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",yes,Monument Hill through Pueblo.,,,,,,RMHAM,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,54.5,SE,yes,146.82,146.22,123,,Grand,,GCARA,,yes,,E-power.,,,,CCARC,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,146.2,N7UW,"Laramie, Jelm Mountain",WY,OPEN,E,61.5,NE,yes,147.015,147.615,146.2,,Albany,On-Air,"Albany County ARES/RACES, University Amateur Radio",,yes,Albany County,,,http://www.uwyo.edu/uarc/,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,82070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,,N7UW,"Laramie, University",WY,OPEN,,86.9,NE,yes,146.61,146.01,,,Albany,On-Air,University ARC,,yes,Laramie Valley  30 mi radius.,,,http://www.uwyo.edu/uarc,,WRCG,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,62.2,SSE,yes,445.075,440.075,,,Eagle,On-Air,K2AD,,yes,,,,http://www.rmham.org/,,CCARC,Rocky Mountain Ham Radio,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,82.9,SE,yes,445.05,440.05,,,Boulder,On-Air,Rocky Mountain Ham Radio,,yes,Wide area,BrandMeister Network,,,,CCARC,,,,yes,1,BrandMeister,,,,,,,,,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,82.9,SE,yes,446.9875,441.9875,,,Boulder,On-Air,Rocky Mountain Ham Radio,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",yes,,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,82.9,SE,yes,447.75,442.75,141.3,141.3,Boulder,On-Air,Rocky Mountain Ham Radio,,yes,,,,,,CCARC,,,,,,,,,,,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,84,SSE,yes,445.0875,440.0875,,,Fremont,On-Air,K2AD,,yes,,,,http://www.rmham.org/,,,Rocky Mountain Ham Radio,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,84.9,SE,yes,449.225,444.225,141.3,141.3,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),,yes,Wide area.,Emergency Power,,,"Emcomm Affiliated, Open repeater",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,88.5,SE,yes,446.8,441.8,,,Boulder,On-Air,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,yes,Wide area.,,,Rocky Mountain Ham Radio,See website for complete information regarding timeslot/colorcode/talkgroup programming.,CCARC,Rocky Mountain Ham Radio,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,90,SE,yes,446.9375,441.9375,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,yes,,,,Rocky Mountain Ham Radio,See the website for programming information.,CCARC,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,,,,,,,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,90,SE,yes,448.225,443.225,141.3,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,,yes,,E-power(gen).,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,91,SSE,yes,445.05,440.05,,,Lake,On-Air,K2AD,,yes,,,,http://www.rmham.org/,,CCARC,Rocky Mountain Ham Radio,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,,,,,,,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,99.3,SE,yes,145.37,144.77,,,Jefferson,On-Air,Rocky Mountain Ham Radio,,yes,,,,Rocky Mountain Ham Radio,See the website for programming information.,CCARC,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,99.4,SE,yes,145.175,144.575,D073,D073,Clear Creek,Off-Air,Rocky Mountain Ham Radio,,yes,,,,Rocky Mountain Ham Radio,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,CCARC,,,,yes,1,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,107.6,WSW,yes,445.2625,440.2625,,,Rio Blanco,On-Air,RMHAM,,yes,,,,https://www.rmham.org,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,111.7,SSE,yes,446.7625,441.7625,,,Park,On-Air,K7PFJ,,yes,,,,,,,RMHAM,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,127.7,SE,yes,446.875,441.875,,,Douglas,On-Air,W0VG,Full-time to the  Colorado TRBO System .,yes,,,,http://www.rmham.org,,CCARC,RMHAM,,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,,,,,,,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,141.9,SSE,yes,446.8125,441.8125,,,Chaffee,On-Air,RMHAM,,yes,,,,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,159.5,SE,yes,445.0625,440.0625,,,El Paso,Off-Air,Rocky Mountain Ham Radio,,yes,,The DMR-MARC Worldwide Network,,,,CCARC,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,63.2,SSE,yes,224.8,223.2,,,Eagle,Off-Air,ECHO,,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,63.2,SSE,yes,449.9,444.9,107.2,107.2,Eagle,Off-Air,ECHO,,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,65.7,SSE,yes,146.61,146.01,107.2,,Eagle,On-Air,ECHO,,yes,,11,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,66.1,SE,yes,447.45,442.45,103.5,,Grand,On-Air,W0IG,,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,69.3,ESE,yes,449.8,444.8,123,,Larimer,On-Air,Estes Valley ARC,"Full-time to  
        146.68500 (N0FH) at Estes Park, CO .",yes,,E-Power,ARES D-10: Thu at 19:00.,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",CCARC,,,,,,,,,,,,,,625757,,7268,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,73.1,ESE,yes,146.685,146.085,123,,Larimer,On-Air,Estes Valley ARC,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .",yes,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),E-power.,ARES D-10: Thu at 19:00.,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",CCARC,,,,,,,,,,,,,,625757,,7268,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,69.6,SSW,yes,449.85,444.85,131.8,131.8,Garfield,On-Air,,Full-time to the  GMRA Open System .,yes,Glenwood Springs,e-power  Linked to GMRA Open System,Colorado State RACES  Wed 1930 local,http://GMRA.org,RACES net Wed 1930 Hrs Local,CCARC,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,96.3,SW,yes,449.8,444.8,107.2,,Garfield,On-Air,,,yes,,8,,GMRA Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,124.4,SW,yes,449.3,444.3,107.2,107.2,Mesa,On-Air,,,yes,Wide Area I-70 West Rifle to Western Utah,e-power Linked to GMRA Open System,RACES Wed 1930 hrs,http://www.gmra.org/,Closed IRLP out,CCARC,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,141.3,SW,yes,449.575,444.575,131.8,131.8,Mesa,On-Air,,,yes,Grand Junction,e-power. Linked to GMRA Open System,Wed RACES Net 1930 Hrs,GMRA Repeaters,Closed IRLP out,CCARC,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,151.7,SSW,yes,447.2,442.2,107.2,107.2,Montrose,On-Air,,Full-time to the  GMRA Open System .,yes,Delta/Montrose,9,RACES Net Wed at 1930 Hrs.,GMRA Repeaters,Closed IRLP out - Ask for a control op,CCARC,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,69.6,SSW,yes,224.02,222.42,,,Garfield,,SCARC,,yes,,,,,,CCARC,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,69.6,SSW,yes,447.6,442.6,,,Garfield,,Ski Country ARC (SCARC),"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",yes,40,50,,,Link Hub for 146.880.,CCARC,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,78.7,SSW,yes,146.88,146.28,107.2,,Garfield,On-Air,Ski Country ARC,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,78.7,SSW,yes,447.1,442.1,107.2,,Garfield,On-Air,Ski Country ARC,,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
