Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,County,Op Status,Sponsor,Last update,Denver Regional,Affiliate,Talkgroup Network,Northern Colorado,Web links,Coordination,Links,Worldwide,North America,Local/Cluster,Features,Notes,Downlink Tone,Mixed-Mode,Coverage,Local Network,IRLP,D-STAR Enabled,Node,Sources,Nets,Feed,Grid,EchoLink,AllStar,Location Photo,Commands,On-air,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,Europe,Southwest USA,Mountain Reg USA,Wyoming,WyLOCAL
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,0,WSW,yes,446.8125,441.8125,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Chaffee,On-Air,RMHAM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,36.1,N,yes,446.7625,441.7625,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,Park,On-Air,K7PFJ,yes,2,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,51.4,N,yes,445.05,440.05,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Lake,On-Air,K2AD,yes,2,Rocky Mountain Ham Radio,RMHAM,2,http://www.rmham.org/,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,62,NE,yes,446.875,441.875,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Douglas,On-Air,W0VG,yes,2,RMHAM,RMHAM,2,http://www.rmham.org,CCARC,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63.1,E,yes,445.0625,440.0625,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,El Paso,Off-Air,Rocky Mountain Ham Radio,yes,,,,,,CCARC,,1,1,2,The DMR-MARC Worldwide Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,63.9,N,yes,445.0875,440.0875,,yes,7,,,,,Fremont,On-Air,K2AD,yes,,Rocky Mountain Ham Radio,,,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,79.7,NNW,yes,445.075,440.075,,yes,7,,,,,Eagle,On-Air,K2AD,yes,,Rocky Mountain Ham Radio,,,http://www.rmham.org/,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,83.6,NNE,yes,446.9375,441.9375,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Clear Creek,On-Air,Rocky Mountain Ham Radio,yes,2,,RMHAM,2,Rocky Mountain Ham Radio,CCARC,Full-time to the  Colorado TRBO System .,,,,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,83.6,NNE,yes,448.225,443.225,141.3,,,,,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,yes,,,,,,CCARC,,,,,E-power(gen).,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,84.3,NNE,yes,145.175,144.575,D073,yes,1,,,,,Clear Creek,Off-Air,Rocky Mountain Ham Radio,yes,,,,,Rocky Mountain Ham Radio,CCARC,,,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,D073,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,92.3,NNE,yes,145.37,144.77,,yes,7,,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,yes,,,,,Rocky Mountain Ham Radio,CCARC,,,,,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,98.4,NNE,yes,449.225,444.225,141.3,,,,,,,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),yes,,,,,,CCARC,,,,,Emergency Power,"Emcomm Affiliated, Open repeater",141.3,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,109.4,NNE,yes,446.8,441.8,,yes,7,,,,,Boulder,On-Air,Rocky Mountain Ham Radio,yes,,Rocky Mountain Ham Radio,,,Rocky Mountain Ham Radio,CCARC,Full-time to the  Colorado TRBO System .,,,,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,111.7,NNE,yes,445.05,440.05,,yes,1,BrandMeister,,,,Boulder,On-Air,Rocky Mountain Ham Radio,yes,,,,,,CCARC,,,,,BrandMeister Network,,,,Wide area,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,111.7,NNE,yes,446.9875,441.9875,,yes,7,,,,,Boulder,On-Air,Rocky Mountain Ham Radio,yes,,,,,,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,111.7,NNE,yes,447.75,442.75,141.3,,,,,,,Boulder,On-Air,Rocky Mountain Ham Radio,yes,,,,,,CCARC,,,,,,,141.3,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,126.4,SW,yes,445.1375,440.1375,,yes,7,,,,,La Plata,On-Air,K2AD,yes,,Rocky Mountain Ham Radio,,,http://www.rmham.org/,CCARC,,,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,184.4,NW,yes,445.2625,440.2625,,yes,7,,,,,Rio Blanco,On-Air,RMHAM,yes,,,,,https://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,0,WSW,yes,446.975,441.975,,,,,,,,Chaffee,On-Air,Crestone Amateur Radio Emergency Services,yes,,Crestone Amateur Radio Emergency Services,,,KD0QPG,CCARC,,,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,5.2,S,yes,147.285,147.885,88.5,,,,,,,Chaffee,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,11,,123,,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,52.6,N,yes,145.445,144.845,88.5,,,,,,,Lake,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,E-power (solar).,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,62.8,N,yes,147.39,147.99,88.5,,,,,,,Summit,On-Air,Colorado Connection,yes,,,,,Breckenridge Repeater,CCARC,Full-time to the  Colorado Connection System .,,,,12,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",123,,Wide area.,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63.1,E,yes,145.13,144.53,88.5,,,,,,,El Paso,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,9,Linked into the Colorado Connection System,123,,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,81.2,NNW,yes,147.345,147.945,88.5,,,,,,,Eagle,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,9,,123,,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,,,,,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
