Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,IRLP,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Affiliate,Web links,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Links,Notes,Downlink Tone,Mixed-Mode,Coverage,Local Network,Worldwide,North America,Local/Cluster,Nets,Feed,Grid,EchoLink,AllStar,Commands,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,P25 Digital Enabled,NAC,Default Reflector,On-air,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,WIRES-X,English,TAC 310,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,65.5,S,yes,446.8125,441.8125,,Chaffee,On-Air,RMHAM,,,,yes,yes,0,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,81,SE,yes,445.0625,440.0625,,El Paso,Off-Air,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,,CCARC,yes,yes,1,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,152.7,WNW,yes,445.2625,440.2625,,Rio Blanco,On-Air,RMHAM,,,,yes,yes,7,,,https://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,174,SSW,yes,445.1375,440.1375,,La Plata,On-Air,K2AD,,,CCARC,yes,yes,7,,Rocky Mountain Ham Radio,http://www.rmham.org/,,,,,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,4.5,SE,yes,147.39,147.99,88.5,Summit,On-Air,Colorado Connection,12,,CCARC,yes,,,,,Breckenridge Repeater,,,,,,,Full-time to the  Colorado Connection System .,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",123,,Wide area.,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,15.9,SSW,yes,145.445,144.845,88.5,Lake,On-Air,Colorado Connection,E-power (solar).,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,25.3,WNW,yes,147.345,147.945,88.5,Eagle,On-Air,Colorado Connection,9,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,123,,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,,,,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,31.6,NNE,yes,147.285,147.885,88.5,Grand,On-Air,Colorado Connection,,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,43,NE,yes,145.31,144.71,88.5,Gilpin,On-Air,Colorado Connection,10,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",123,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,44,NNW,yes,147.075,147.675,88.5,Grand,On-Air,Colorado Connection,,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of Repeaters,123,,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,70.6,S,yes,147.285,147.885,88.5,Chaffee,On-Air,Colorado Connection,11,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,123,,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,71.7,W,yes,146.85,146.25,88.5,Garfield,On-Air,Colorado Connection,70,,CCARC,yes,,,,,,,,,,,,,Part of the Colorado Connection System of Repeaters,123,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,81,SE,yes,145.13,144.53,88.5,El Paso,On-Air,Colorado Connection,9,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,Linked into the Colorado Connection System,123,,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,81.1,NNW,yes,147.165,147.765,88.5,Routt,On-Air,Colorado Connection,,,,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,81.1,NNW,yes,449.625,444.625,123,Routt,On-Air,"Colorado Connection Repeaters, Inc.",Statewide Linked System,,,yes,,,,,http://colcon.org,,,,,,,,,123,,Local Steamboat Area,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,82.7,NNW,yes,145.16,144.56,88.5,Jackson,On-Air,Colorado Connection,8,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters.,123,,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,105.5,WSW,yes,145.355,144.755,88.5,Mesa,On-Air,Colorado Connection,E-power.,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,Colorado Connection system of repeaters,123,,"Rifle to the east, several miles east of Green River, Utah to the west.",,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,107.1,NW,yes,146.97,146.37,88.5,Moffat,On-Air,Northwest Colorado Amateur Radio Association,,,CCARC,yes,,,,Colorado Connection,,,,,,,,Full-time to the  Colorado Connection System .,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,138.4,WSW,yes,147.355,146.755,88.5,Mesa,On-Air,Colorado Connection,,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,157,E,yes,145.4,144.8,88.5,Washington,On-Air,Colorado Connection,,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters,123,,Northeastern plains of Colorado.,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,174.5,SSW,yes,147.345,147.945,88.5,La Plata,On-Air,Colorado Connection,,,CCARC,yes,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,123,,Durango and north towards Molas Divide.,,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,18.9,S,yes,447.125,442.125,103.5,Park,On-Air,KC0UFO,Emergency automatic generator.,,CCARC,yes,,,,"Park County Radio Club, AB0PC",,,,,,,,,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",103.5,,"Covers Fairplay, Alma, and western South Park.",,,,,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,19,WNW,yes,146.61,146.01,107.2,Eagle,On-Air,ECHO,11,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,21,WNW,yes,224.8,223.2,,Eagle,Off-Air,ECHO,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,21,WNW,yes,449.9,444.9,107.2,Eagle,Off-Air,ECHO,,,CCARC,yes,,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,21,SW,yes,147.24,147.84,156.7,Lake,Off-Air,,,,CCARC,yes,,,,,,,,,,,,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,157.8,SSE,yes,449.75,444.75,100,Las Animas,On-Air,N0ZSN,,7301,CCARC,yes,,,,The Fun Machine,The Fun Machine,,,,,,,Full-time to the  The Fun Machine System .,,100,,,,,,,,,,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,30.6,ESE,yes,146.895,146.295,100,Park,On-Air,AB0RR,25,,CCARC,yes,,,,,Park County Radio Club (PCRC),,,,,,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,100,,285,,,,,Wed at 19:30.,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,32.1,E,yes,145.145,144.545,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,E-power.,,CCARC,yes,,,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,107.2,,Wide area. Denver metro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,32.1,E,yes,447.575,442.575,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),,3291,CCARC,yes,,,,,http://www.w0cra.org,,,,,,,,,107.2,,Wide area: Denver metro.,,,,,,,,347088,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,36.3,ESE,yes,53.05,51.35,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),10,,CCARC,yes,,,,,,,,,,,,,,107.2,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,39.2,ESE,yes,1287.9,1267.9,CSQ,Jefferson,Off-Air,Colorado Repeater Association (CRA),,,CCARC,yes,,,,,,,,,,,,,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,39.2,ESE,yes,224.98,223.38,107.2,Jefferson,Off-Air,Colorado Repeater Association,"Closed autopatch, e-power.",3990,CCARC,yes,,,,,,,,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,107.2,,Wide area. Denver.,,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,39.2,ESE,yes,447.15,442.15,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",,CCARC,yes,,,,,,,,,,,,,,107.2,,Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,54.6,NE,yes,145.46,144.86,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",3990,CCARC,yes,,,,CRA VHF Link System,,,,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,107.2,,Boulder/Denver Metro,,,,,,,,347086,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,54.6,NE,yes,447.975,442.975,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),Closed autopatch.,,CCARC,yes,,,,,,,,,,,,,,107.2,,Wide area: Boulder/Longmont area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,57.7,SE,yes,147.225,147.825,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),Closed autopatch,3990,CCARC,yes,,,,CRA VHF Link System,Colorado Repeater Association,,,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,107.2,,Wide area,,,,,"CRA Net, Sunday 9AM",,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,57.7,SE,yes,448.425,443.425,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),,,,yes,,,,ARESDEC,http://www.w0cra.org,,,,,,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,107.2,,Wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,80.6,SE,yes,145.16,144.56,107.2,El Paso,On-Air,Colorado Repeater Association,"Closed autopatch, e-power.",3990,CCARC,yes,,,,CRA VHF Link System,http://www.w0cra.org/info/cosprgs.html#145160,,,,,,,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",Switch to this repeater at mile marker 170 on I-25.,107.2,,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,32.1,E,yes,145.49,144.89,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",E-power.,,CCARC,yes,,,,,DRC Repeaters,,,,,,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,100,,,,,,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,32.1,E,yes,449.35,444.35,100,Clear Creek,On-Air,Denver Radio Club,11,,CCARC,yes,,,,,DRC Repeaters,,,,,,,,,100,,Wide area.,,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
