Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Affiliate,Links,Last update,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,Grid,Coverage,Features,Notes,Web links,Coordination,EchoLink,IRLP,AllStar,Nets,Feed,Sponsor,D-STAR Enabled,Node,Sources,Worldwide,North America,Local/Cluster,Denver Regional,Talkgroup Network,Northern Colorado,Mixed-Mode,Local Network,On-air,Commands,YSF Digital Enabled,DG-ID,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,Europe,TAC 310,Southwest USA,Mountain Reg USA,Texas,COMM 1,Texas/Oklahoma Regional USA
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.3,NE,yes,145.375,144.77,,,El Paso,Off-Air,,,yes,,,,,,,,,wide area,,Repeater off air for now.,http://www.cmrg.org,CCARC,,,,,,Cheyenne Mountain Repeater Group (CMRG),yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.3,NE,yes,927.85,902.85,D114,,Teller,On-Air,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",yes,,,,,,,,,,9,,http://www.cmrg.org,CCARC,,,,,,CMRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.4,NE,yes,446.9125,441.9125,,,El Paso,On-Air,,,yes,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,Cheyenne Mountain Repeater Group (CMRG),yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,63.2,N,yes,147.36,147.96,107.2,107.2,Park,On-Air,,,yes,,,,,,,,,Wide area.,E-power.,,CMRG Repeaters,CCARC,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,85.1,SE,yes,449.6,444.6,107.2,,Las Animas,Off-Air,,,yes,,,,,,,,,Wide area.,E-power.,,CMRG Repeaters,CCARC,,,,,,Cheyenne Mtn Rptr Grp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,24,NNE,yes,53.03,51.33,88.5,88.5,Fremont,On-Air,RGARC,,yes,,,,,,,,,,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",Split site Fremont peak transmitter and 8 mile mountain reciever.,Http://www.qsl.net/rghc,CCARC,,,,,,WB0WDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,28.6,NNE,yes,449,444,67,67,Fremont,On-Air,,Full-time to the  Mega-Link System .,yes,,,,,,,,,,"E-power (Solar, Wind)",North of the Royal Gorge Bridge.,Mega Link,CCARC,,,,,,WB0WDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,45.1,NNE,yes,1287.7,1267.7,67,,Teller,Testing,,,yes,,,,,,,,,,,Testing in Canon City,,CCARC,,,,,,WB0WDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,45.1,NNE,yes,145.46,144.86,67,,Teller,On-Air,RGARC,,yes,,,,,,,,,,"E-power, 100% Solar",,,CCARC,,,,,,WB0WDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,45.1,NNE,yes,224.94,223.34,67,,Teller,Testing,,,yes,,,,,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,45.1,NNE,yes,447.4,442.4,67,,Teller,On-Air,,,yes,,,,,,,,,,"E-power, Solar, Remote Base",,,CCARC,,,,,,WB0WDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,24,NNE,yes,145.49,144.89,103.5,103.5,Fremont,On-Air,Colorado ARES Region 5 District 1,,yes,,,,,,,yes,DM78ik,,E-power (Bat),,Royal Gorge Amateur Radio Club,CCARC,,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,24,NNE,yes,223.96,222.36,103.5,103.5,Fremont,On-Air,,,yes,,,,,,,yes,,"Wide area. 
   Repeater Coverage Map","E-power (Bat), Remote Base",,,CCARC,,,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,24,NNE,yes,447.75,442.75,103.5,103.5,Fremont,On-Air,,,yes,,,,,,,yes,,,E-power (Bat),,Royal Gorge Amateur Radio Club,CCARC,,3081,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,37.1,NW,yes,147.285,147.885,88.5,123,Chaffee,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",11,,,CCARC,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.4,NE,yes,145.13,144.53,88.5,123,El Paso,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,9,Linked into the Colorado Connection System,,CCARC,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,88.2,NNW,yes,145.445,144.845,88.5,,Lake,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,,E-power (solar).,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,CCARC,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,94.4,NNW,yes,147.39,147.99,88.5,123,Summit,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,Wide area.,12,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",Breckenridge Repeater,CCARC,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,117.8,NNW,yes,147.345,147.945,88.5,123,Eagle,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,9,,,CCARC,,,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,121.1,N,yes,145.31,144.71,88.5,123,Gilpin,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",10,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,CCARC,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,122.1,N,yes,147.285,147.885,88.5,123,Grand,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,,,,,CCARC,,,,,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,136.4,NW,yes,146.85,146.25,88.5,123,Garfield,On-Air,,,yes,,,,,,,,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",70,Part of the Colorado Connection System of Repeaters,,CCARC,,,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,136.9,WSW,yes,147.345,147.945,88.5,123,La Plata,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,Durango and north towards Molas Divide.,,,,CCARC,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
