Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,IRLP,Coordination,Last update,Coverage,Web links,Downlink Tone,Notes,Affiliate,Links,EchoLink,AllStar,Grid,Nets,Feed,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Mixed-Mode,WIRES-X,On-air,Commands,Worldwide,North America,Local/Cluster,Talkgroup Network,Denver Regional,Northern Colorado,Local Network,P25 Digital Enabled,NAC,Default Reflector,English,Europe,TAC 310,DCI Bridge,Southwest USA,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X,N. Colorado,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Hytera USA,Parrott,Audio Test
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,14.9,WSW,yes,145.355,144.755,100,Huerfano,On-Air,N0JPX,"E-power, linked.",3974,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,20.5,E,yes,146.73,146.13,88.5,Huerfano,On-Air,Pueblo Ham Club,6,,CCARC,yes,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,36.3,NW,yes,224.32,222.72,88.5,Custer,Off-Air,Pueblo Ham Club,11,,CCARC,yes,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,36.3,NW,yes,447.175,442.175,88.5,Pueblo,Off-Air,Pueblo HC,11,,CCARC,yes,Wide area: Southeast Colorado.,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,44.5,NNE,yes,145.115,144.515,88.5,Pueblo,Off-Air,Pueblo Ham Club,E-power.,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,44.5,NNE,yes,146.88,146.28,88.5,Pueblo,On-Air,Pueblo HC,E-power.,,CCARC,yes,Wide area.,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,51.4,NW,yes,919.1,894.1,88.5,Pueblo,Off-Air,Pueblo HC,,,CCARC,yes,Wide area.,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,54.5,NNE,yes,146.79,146.19,88.5,Pueblo,On-Air,Pueblo HC,E-power.,,CCARC,yes,Wide area.,Pueblo Ham Club,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,54.5,NNE,yes,224.26,222.66,88.5,Pueblo,Off-Air,Pueblo Ham Club,E-power.,,CCARC,yes,Wide area.,PHC repeaters,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,54.5,NNE,yes,447.95,442.95,88.5,Pueblo,On-Air,Pueblo Ham Club,E-power.,,CCARC,yes,Wide area.,Pueblo Ham Club,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,23.7,SW,yes,449.75,444.75,100,Las Animas,On-Air,N0ZSN,,7301,CCARC,yes,,The Fun Machine,100,,The Fun Machine,Full-time to the  The Fun Machine System .,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,139,NW,yes,147.24,147.84,156.7,Lake,Off-Air,,,,CCARC,yes,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,32.5,NNE,yes,449.975,444.975,100,Pueblo,On-Air,K0JSC,2,7301,CCARC,yes,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",K0JSC dot Com,100,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",363976,28368,DM78SA18,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,42.9,NNE,yes,446.9875,441.9875,,Pueblo,Off-Air,,,,CCARC,yes,,Rocky Mountain Ham Radio,,,RMHAM,Full-time to the  Colorado TRBO System .,,,,,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,42.9,NNE,yes,447.275,442.275,100,Pueblo,On-Air,,,,CCARC,yes,,The Fun Machine,100,"Moved to Pueblo.  Now called ""Pueblo Metro""",The Fun Machine,Full-time to the  The Fun Machine System .,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,47,N,yes,448.975,443.975,100,Pueblo,On-Air,,,7301,CCARC,yes,,http://www.k0jsc.com,100,Off air.  Will return to service,,Full-time to the  The Fun Machine System .,363976,28368,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,51.4,NW,yes,448.325,443.325,100,Custer,On-Air,,,,,yes,,,100,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,60.9,NNW,yes,447.975,442.975,100,Fremont,On-Air,K0JSC,Autopatch.,7301,CCARC,yes,"Canon City area. 
   Repeater Coverage Map",http://www.k0jsc.com,100,,,Full-time to the  The Fun Machine System .,363976,28368,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,61.3,NNW,yes,449.975,444.975,100,Fremont,On-Air,K0JSC,Simulcast TX / Voted RX with Cedarwood and Salida,,CCARC,yes,,http://www.k0jsc.com,100,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,63.7,NNW,yes,446.7375,441.7375,,Fremont,On-Air,,IPSC Link to the Colorado network on Talk Slot 2.,,CCARC,yes,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",http://www.k0jsc.com,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,,,DM78ii,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,63.7,NNW,yes,447.25,442.25,100,Fremont,On-Air,,,7301,CCARC,yes,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",K0JSC dot Com,100,,,Full-time to the  The Fun Machine System .,363976,28368,DM78ik,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Listen Live,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,87.8,NW,yes,449.975,444.975,100,Chaffee,On-Air,,2,7301,CCARC,yes,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,K0JSC.COM,100,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,,Full-time to the  The Fun Machine System .,363976,28368,DM68xk,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,108,N,yes,449.975,444.975,100,Douglas,On-Air,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,,CCARC,yes,,The Fun Machine,100,"Can be linked to Allstar, Echolink and others by a Sysop",The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,35,SSE,yes,449.6,444.6,107.2,Las Animas,Off-Air,Cheyenne Mtn Rptr Grp,E-power.,,CCARC,yes,Wide area.,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,36.3,NW,yes,449.625,444.625,107.2,Custer,On-Air,,E-power.,,CCARC,yes,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,77.1,N,yes,146.76,146.16,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",,CCARC,yes,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,77.1,N,yes,147.345,147.945,107.2,El Paso,On-Air,,"Closed autopatch, e-power.",3854,CCARC,yes,Wide area.,http://www.cmrg.org/,107.2,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,77.1,N,yes,448,443,107.2,El Paso,On-Air,,,,CCARC,yes,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,77.1,N,yes,448.1,443.1,107.2,El Paso,On-Air,,"Closed autopatch, e-power.",,CCARC,yes,Wide area.,CMRG Repeaters,107.2,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,77.5,N,yes,145.375,144.77,,El Paso,Off-Air,Cheyenne Mountain Repeater Group (CMRG),,,CCARC,yes,wide area,http://www.cmrg.org,,Repeater off air for now.,,,,,,,,,,,,,,,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,77.6,N,yes,446.9125,441.9125,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,,yes,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,,,,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,77.6,N,yes,927.85,902.85,D114,Teller,On-Air,CMRG,9,,CCARC,yes,,http://www.cmrg.org,,,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,88.4,NW,yes,145.295,144.695,107.2,Chaffee,On-Air,Cheyenne Mtn Repeater Group,,,CCARC,yes,Wide area.,CMRG Repeaters,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
