Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Features,Coverage,Sponsor,Links,Notes,Downlink Tone,Nets,Affiliate,Feed,Grid,IRLP,EchoLink,Location Photo,AllStar,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Mixed-Mode
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,86.2,SSE,yes,147.27,147.87,127.3,Ouray,On-Air,http://www.sjcham.com,CCARC,yes,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,97.8,SE,yes,147.135,146.535,123,Hinsdale,On-Air,http://www.sjcham.com,CCARC,yes,E-power (solar),,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,98.9,SSE,yes,145.325,144.725,127.3,San Juan,On-Air,http://www.sjcham.com,CCARC,yes,Solar powered,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,98.9,SSE,yes,444,449,67,San Juan,On-Air,http://www.sjcham.com,,yes,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,98.9,SSE,yes,447.525,442.525,127.3,San Juan,On-Air,,CCARC,yes,E-power.,Wide area.,KB5ITS,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,101,SSE,yes,147.375,147.975,156.7,San Juan,On-Air,http://www.sjcham.com,CCARC,yes,13,Wide area.,,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,109.9,S,yes,447.275,442.275,100,Montezuma,On-Air,http://www.sjcham.com,,yes,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,109.9,S,yes,145.19,144.59,100,Montezuma,On-Air,http://www.sjcham.com,CCARC,yes,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,119.7,S,yes,442.375,447.375,100,Montezuma,On-Air,,,yes,,,San Juan Connection,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,121.2,S,yes,145.325,144.725,100,Montezuma,On-Air,http://www.sjcham.com,CCARC,yes,E-power.,Wide area.,,,Full time to the San Juan Connection,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,129.3,SSE,yes,147.135,147.735,100,La Plata,On-Air,http://www.sjcham.com,CCARC,yes,,,,,,100,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,143.6,SSE,yes,147.15,147.75,100,La Plata,On-Air,http://www.sjcham.com,CCARC,yes,E-power.,Bayfield,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,157.8,SSE,yes,146.88,146.28,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,yes,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,157.8,SSE,yes,447.45,442.45,107.2,San Juan,On-Air,,NMFCC,yes,"E-power, remote base.",,KB5ITS,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,162.4,S,yes,53.01,52.01,131.8,San Juan,On-Air,,NMFCC,yes,,,KB5ITS,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,162.4,S,yes,146.76,146.16,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,yes,"Closed autopatch, e-power.",,,Full-time to the  San Juan Connection System .,,100,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,162.4,S,yes,147,147.6,100,San Juan,On-Air,,NMFCC,yes,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,164.4,SSE,yes,147.36,147.96,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,yes,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,
